species,model,backend,energy_eV,energy_hartree,max_force_eV_per_A,n_atoms,charge,spin_multiplicity,device,repeats,mean_time_seconds,median_time_seconds,min_time_seconds,stdev_time_seconds,status,input_file,output_file,error
1-P1,gxtb,gxtb,-16783.812325077444,-616.793726470000,,28,0,3,cpu,1,0.18856494,0.18856494,0.18856494,0.00000000,completed,structures/reference/1-P1.xyz,calculations/gxtb/raw_outputs/1-P1/gxtb.out,
1-R1,gxtb,gxtb,-16783.607666608801,-616.786205410000,,28,0,3,cpu,1,0.12107418,0.12107418,0.12107418,0.00000000,completed,structures/reference/1-R1.xyz,calculations/gxtb/raw_outputs/1-R1/gxtb.out,
1-TS,gxtb,gxtb,-16783.243425604953,-616.772819800000,,28,0,3,cpu,1,0.15845132,0.15845132,0.15845132,0.00000000,completed,structures/reference/1-TS.xyz,calculations/gxtb/raw_outputs/1-TS/gxtb.out,
10-P1,gxtb,gxtb,-4167.916466809501,-153.168105040000,,6,0,2,cpu,1,0.02457557,0.02457557,0.02457557,0.00000000,completed,structures/reference/10-P1.xyz,calculations/gxtb/raw_outputs/10-P1/gxtb.out,
10-P2,gxtb,gxtb,-1083.576533457253,-39.820703130000,,4,0,2,cpu,1,0.02144434,0.02144434,0.02144434,0.00000000,completed,structures/reference/10-P2.xyz,calculations/gxtb/raw_outputs/10-P2/gxtb.out,
10-R1,gxtb,gxtb,-5252.173902893485,-193.013830880000,,10,0,3,cpu,1,0.03393827,0.03393827,0.03393827,0.00000000,completed,structures/reference/10-R1.xyz,calculations/gxtb/raw_outputs/10-R1/gxtb.out,
10-TS,gxtb,gxtb,-5251.264783540473,-192.980421360000,,10,0,3,cpu,1,0.03374316,0.03374316,0.03374316,0.00000000,completed,structures/reference/10-TS.xyz,calculations/gxtb/raw_outputs/10-TS/gxtb.out,
11-P1,gxtb,gxtb,-9385.536944093379,-344.912120950000,,13,0,2,cpu,1,0.05796306,0.05796306,0.05796306,0.00000000,completed,structures/reference/11-P1.xyz,calculations/gxtb/raw_outputs/11-P1/gxtb.out,
11-P2,gxtb,gxtb,-5535.852147900850,-203.438814100000,,6,0,2,cpu,1,0.03060655,0.03060655,0.03060655,0.00000000,completed,structures/reference/11-P2.xyz,calculations/gxtb/raw_outputs/11-P2/gxtb.out,
11-R1,gxtb,gxtb,-14922.193849422369,-548.380509340000,,19,0,3,cpu,1,0.10308040,0.10308040,0.10308040,0.00000000,completed,structures/reference/11-R1.xyz,calculations/gxtb/raw_outputs/11-R1/gxtb.out,
11-TS,gxtb,gxtb,-14921.417469116259,-548.351977890000,,19,0,3,cpu,1,0.08296011,0.08296011,0.08296011,0.00000000,completed,structures/reference/11-TS.xyz,calculations/gxtb/raw_outputs/11-TS/gxtb.out,
12-P1,gxtb,gxtb,-21866.928646437747,-803.594805820000,,24,0,3,cpu,1,0.09998114,0.09998114,0.09998114,0.00000000,completed,structures/reference/12-P1.xyz,calculations/gxtb/raw_outputs/12-P1/gxtb.out,
12-R1,gxtb,gxtb,-17588.073114398332,-646.349765330000,,12,0,3,cpu,1,0.05913830,0.05913830,0.05913830,0.00000000,completed,structures/reference/12-R1.xyz,calculations/gxtb/raw_outputs/12-R1/gxtb.out,
12-R2,gxtb,gxtb,-4277.379202768883,-157.190786390000,,12,0,1,cpu,1,0.03976270,0.03976270,0.03976270,0.00000000,completed,structures/reference/12-R2.xyz,calculations/gxtb/raw_outputs/12-R2/gxtb.out,
12-TS,gxtb,gxtb,-21865.490238682974,-803.541945310000,,24,0,3,cpu,1,0.10530074,0.10530074,0.10530074,0.00000000,completed,structures/reference/12-TS.xyz,calculations/gxtb/raw_outputs/12-TS/gxtb.out,
13-P1,gxtb,gxtb,-12411.990205146423,-456.132226890000,,18,0,3,cpu,1,0.10039216,0.10039216,0.10039216,0.00000000,completed,structures/reference/13-P1.xyz,calculations/gxtb/raw_outputs/13-P1/gxtb.out,
13-R2,gxtb,gxtb,-7158.982795723114,-263.087765210000,,8,0,1,cpu,1,0.03842697,0.03842697,0.03842697,0.00000000,completed,structures/reference/13-R2.xyz,calculations/gxtb/raw_outputs/13-R2/gxtb.out,
13-TS,gxtb,gxtb,-12410.908900848888,-456.092489690000,,18,0,3,cpu,1,0.22869307,0.22869307,0.22869307,0.00000000,completed,structures/reference/13-TS.xyz,calculations/gxtb/raw_outputs/13-TS/gxtb.out,
14-P1,gxtb,gxtb,-10567.116349080761,-388.334363180000,,23,0,3,cpu,1,0.09924811,0.09924811,0.09924811,0.00000000,completed,structures/reference/14-P1.xyz,calculations/gxtb/raw_outputs/14-P1/gxtb.out,
14-R1,gxtb,gxtb,-5251.954869737948,-193.005781560000,,10,0,3,cpu,1,0.03525441,0.03525441,0.03525441,0.00000000,completed,structures/reference/14-R1.xyz,calculations/gxtb/raw_outputs/14-R1/gxtb.out,
14-R2,gxtb,gxtb,-5313.255447997113,-195.258536260000,,13,0,1,cpu,1,0.04077196,0.04077196,0.04077196,0.00000000,completed,structures/reference/14-R2.xyz,calculations/gxtb/raw_outputs/14-R2/gxtb.out,
14-TS,gxtb,gxtb,-10565.828143007906,-388.287022480000,,23,0,3,cpu,1,0.08550713,0.08550713,0.08550713,0.00000000,completed,structures/reference/14-TS.xyz,calculations/gxtb/raw_outputs/14-TS/gxtb.out,
15-P1,gxtb,gxtb,-10475.784117047824,-384.977965560000,,18,0,3,cpu,1,0.06989724,0.06989724,0.06989724,0.00000000,completed,structures/reference/15-P1.xyz,calculations/gxtb/raw_outputs/15-P1/gxtb.out,
15-R1,gxtb,gxtb,-8337.742418089616,-306.406382340000,,12,0,3,cpu,1,0.05081791,0.05081791,0.05081791,0.00000000,completed,structures/reference/15-R1.xyz,calculations/gxtb/raw_outputs/15-R1/gxtb.out,
15-R2,gxtb,gxtb,-2138.018274580587,-78.570722390000,,6,0,1,cpu,1,0.02448848,0.02448848,0.02448848,0.00000000,completed,structures/reference/15-R2.xyz,calculations/gxtb/raw_outputs/15-R2/gxtb.out,
15-TS,gxtb,gxtb,-10474.420275566330,-384.927845310000,,18,0,3,cpu,1,0.07067475,0.07067475,0.07067475,0.00000000,completed,structures/reference/15-TS.xyz,calculations/gxtb/raw_outputs/15-TS/gxtb.out,
16-P1,gxtb,gxtb,-12522.826298681184,-460.205378200000,,19,0,3,cpu,1,0.07382038,0.07382038,0.07382038,0.00000000,completed,structures/reference/16-P1.xyz,calculations/gxtb/raw_outputs/16-P1/gxtb.out,
16-R1,gxtb,gxtb,-10384.761721477875,-381.632954220000,,13,0,3,cpu,1,0.05846043,0.05846043,0.05846043,0.00000000,completed,structures/reference/16-R1.xyz,calculations/gxtb/raw_outputs/16-R1/gxtb.out,
16-TS,gxtb,gxtb,-12521.757143995495,-460.166087490000,,19,0,3,cpu,1,0.07136610,0.07136610,0.07136610,0.00000000,completed,structures/reference/16-TS.xyz,calculations/gxtb/raw_outputs/16-TS/gxtb.out,
17-P1,gxtb,gxtb,-17623.089435620510,-647.636591400000,,20,0,3,cpu,1,0.09242608,0.09242608,0.09242608,0.00000000,completed,structures/reference/17-P1.xyz,calculations/gxtb/raw_outputs/17-P1/gxtb.out,
17-R2,gxtb,gxtb,-9285.221913454741,-341.225611570000,,8,0,1,cpu,1,0.03587562,0.03587562,0.03587562,0.00000000,completed,structures/reference/17-R2.xyz,calculations/gxtb/raw_outputs/17-R2/gxtb.out,
17-TS,gxtb,gxtb,-17622.402280089333,-647.611338900000,,20,0,3,cpu,1,0.08958074,0.08958074,0.08958074,0.00000000,completed,structures/reference/17-TS.xyz,calculations/gxtb/raw_outputs/17-TS/gxtb.out,
18-P1,gxtb,gxtb,-15110.202215045425,-555.289689340000,,13,0,3,cpu,1,0.05399801,0.05399801,0.05399801,0.00000000,completed,structures/reference/18-P1.xyz,calculations/gxtb/raw_outputs/18-P1/gxtb.out,
18-R1,gxtb,gxtb,-10832.738390035480,-398.095793140000,,1,0,3,cpu,1,0.02238187,0.02238187,0.02238187,0.00000000,completed,structures/reference/18-R1.xyz,calculations/gxtb/raw_outputs/18-R1/gxtb.out,
18-TS,gxtb,gxtb,-15109.917121351724,-555.279212340000,,13,0,3,cpu,1,0.05019787,0.05019787,0.05019787,0.00000000,completed,structures/reference/18-TS.xyz,calculations/gxtb/raw_outputs/18-TS/gxtb.out,
19-P1,gxtb,gxtb,-15076.751510727010,-554.060398630000,,11,0,3,cpu,1,0.05024575,0.05024575,0.05024575,0.00000000,completed,structures/reference/19-P1.xyz,calculations/gxtb/raw_outputs/19-P1/gxtb.out,
19-R2,gxtb,gxtb,-4244.080801123515,-155.967092700000,,10,0,1,cpu,1,0.03661584,0.03661584,0.03661584,0.00000000,completed,structures/reference/19-R2.xyz,calculations/gxtb/raw_outputs/19-R2/gxtb.out,
19-TS,gxtb,gxtb,-15076.565261305395,-554.053554090000,,11,0,3,cpu,1,0.06213477,0.06213477,0.06213477,0.00000000,completed,structures/reference/19-TS.xyz,calculations/gxtb/raw_outputs/19-TS/gxtb.out,
2-P1,gxtb,gxtb,-16784.353831119512,-616.813626450000,,28,0,3,cpu,1,0.18706229,0.18706229,0.18706229,0.00000000,completed,structures/reference/2-P1.xyz,calculations/gxtb/raw_outputs/2-P1/gxtb.out,
2-TS,gxtb,gxtb,-16783.616662693094,-616.786536010000,,28,0,3,cpu,1,0.12568042,0.12568042,0.12568042,0.00000000,completed,structures/reference/2-TS.xyz,calculations/gxtb/raw_outputs/2-TS/gxtb.out,
20-P1,gxtb,gxtb,-21231.998836073584,-780.261565660000,,14,0,2,cpu,1,0.06080583,0.06080583,0.06080583,0.00000000,completed,structures/reference/20-P1.xyz,calculations/gxtb/raw_outputs/20-P1/gxtb.out,
20-P2,gxtb,gxtb,-6300.564491863943,-231.541474400000,,11,0,2,cpu,1,0.06732108,0.06732108,0.06732108,0.00000000,completed,structures/reference/20-P2.xyz,calculations/gxtb/raw_outputs/20-P2/gxtb.out,
20-R1,gxtb,gxtb,-27532.765987185619,-1011.810487650000,,25,0,3,cpu,1,0.13360612,0.13360612,0.13360612,0.00000000,completed,structures/reference/20-R1.xyz,calculations/gxtb/raw_outputs/20-R1/gxtb.out,
20-TS,gxtb,gxtb,-27532.344335054844,-1011.794992220000,,25,0,3,cpu,1,0.12600228,0.12600228,0.12600228,0.00000000,completed,structures/reference/20-TS.xyz,calculations/gxtb/raw_outputs/20-TS/gxtb.out,
21-P1,gxtb,gxtb,-24887.117635216604,-914.584704000000,,22,0,3,cpu,1,0.11761069,0.11761069,0.11761069,0.00000000,completed,structures/reference/21-P1.xyz,calculations/gxtb/raw_outputs/21-P1/gxtb.out,
21-R1,gxtb,gxtb,-24886.737651609474,-914.570739860000,,22,0,3,cpu,1,0.12341736,0.12341736,0.12341736,0.00000000,completed,structures/reference/21-R1.xyz,calculations/gxtb/raw_outputs/21-R1/gxtb.out,
21-TS,gxtb,gxtb,-24886.417913195146,-914.558989690000,,22,0,3,cpu,1,0.10802969,0.10802969,0.10802969,0.00000000,completed,structures/reference/21-TS.xyz,calculations/gxtb/raw_outputs/21-TS/gxtb.out,
22-P1,gxtb,gxtb,-16196.494697643806,-595.210201760000,,28,0,3,cpu,1,0.10931494,0.10931494,0.10931494,0.00000000,completed,structures/reference/22-P1.xyz,calculations/gxtb/raw_outputs/22-P1/gxtb.out,
22-R1,gxtb,gxtb,-16195.947757760019,-595.190102090000,,28,0,3,cpu,1,0.11713134,0.11713134,0.11713134,0.00000000,completed,structures/reference/22-R1.xyz,calculations/gxtb/raw_outputs/22-R1/gxtb.out,
22-TS,gxtb,gxtb,-16195.495461254506,-595.173480500000,,28,0,3,cpu,1,0.11523268,0.11523268,0.11523268,0.00000000,completed,structures/reference/22-TS.xyz,calculations/gxtb/raw_outputs/22-TS/gxtb.out,
23-P1,gxtb,gxtb,-8461.027812806404,-310.937037030000,,19,0,3,cpu,1,0.06589439,0.06589439,0.06589439,0.00000000,completed,structures/reference/23-P1.xyz,calculations/gxtb/raw_outputs/23-P1/gxtb.out,
