species,model,backend,energy_eV,energy_hartree,max_force_eV_per_A,n_atoms,charge,spin_multiplicity,device,repeats,mean_time_seconds,median_time_seconds,min_time_seconds,stdev_time_seconds,status,input_file,error
1-P1,aimnet2-nse,aimnet,-16795.400095531091,-617.219569179699,,28,0,3,cuda,1,0.00450748,0.00450748,0.00450748,0.00000000,completed,structures/reference/1-P1.xyz,
1-R1,aimnet2-nse,aimnet,-16795.513719098020,-617.223744768767,,28,0,3,cuda,1,0.00348474,0.00348474,0.00348474,0.00000000,completed,structures/reference/1-R1.xyz,
1-TS,aimnet2-nse,aimnet,-16794.767626026933,-617.196326354124,,28,0,3,cuda,1,0.00335264,0.00335264,0.00335264,0.00000000,completed,structures/reference/1-TS.xyz,
10-P1,aimnet2-nse,aimnet,-4170.940854104785,-153.279249223098,,6,0,2,cuda,1,0.11027549,0.11027549,0.11027549,0.00000000,completed,structures/reference/10-P1.xyz,
10-P2,aimnet2-nse,aimnet,-1084.583172013447,-39.857696414616,,4,0,2,cuda,1,0.00406610,0.00406610,0.00406610,0.00000000,completed,structures/reference/10-P2.xyz,
10-R1,aimnet2-nse,aimnet,-5255.842562272790,-193.148651625483,,10,0,3,cuda,1,0.00386710,0.00386710,0.00386710,0.00000000,completed,structures/reference/10-R1.xyz,
10-TS,aimnet2-nse,aimnet,-5254.987242325406,-193.117219197173,,10,0,3,cuda,1,0.00359197,0.00359197,0.00359197,0.00000000,completed,structures/reference/10-TS.xyz,
11-P1,aimnet2-nse,aimnet,-9392.227503982747,-345.157994490910,,13,0,2,cuda,1,0.00352990,0.00352990,0.00352990,0.00000000,completed,structures/reference/11-P1.xyz,
11-P2,aimnet2-nse,aimnet,-5539.475604484218,-203.571973673372,,6,0,2,cuda,1,0.00325782,0.00325782,0.00325782,0.00000000,completed,structures/reference/11-P2.xyz,
11-R1,aimnet2-nse,aimnet,-14931.766165989437,-548.732285485490,,19,0,3,cuda,1,0.00341729,0.00341729,0.00341729,0.00000000,completed,structures/reference/11-R1.xyz,
11-TS,aimnet2-nse,aimnet,-14931.186080348985,-548.710967731400,,19,0,3,cuda,1,0.00332134,0.00332134,0.00332134,0.00000000,completed,structures/reference/11-TS.xyz,
12-P1,aimnet2-nse,aimnet,-21877.085615082553,-803.968067533056,,24,0,3,cuda,1,0.00339711,0.00339711,0.00339711,0.00000000,completed,structures/reference/12-P1.xyz,
12-R1,aimnet2-nse,aimnet,-17594.559817152360,-646.588147259365,,12,0,3,cuda,1,0.00338359,0.00338359,0.00338359,0.00000000,completed,structures/reference/12-R1.xyz,
12-R2,aimnet2-nse,aimnet,-4281.067421557983,-157.326325930535,,12,0,1,cuda,1,0.00326478,0.00326478,0.00326478,0.00000000,completed,structures/reference/12-R2.xyz,
12-TS,aimnet2-nse,aimnet,-21875.346038354011,-803.904139267410,,24,0,3,cuda,1,0.00337311,0.00337311,0.00337311,0.00000000,completed,structures/reference/12-TS.xyz,
13-P1,aimnet2-nse,aimnet,-12420.413563694956,-456.441779607101,,18,0,3,cuda,1,0.00370209,0.00370209,0.00370209,0.00000000,completed,structures/reference/13-P1.xyz,
13-R2,aimnet2-nse,aimnet,-7163.507960260757,-263.254061939492,,8,0,1,cuda,1,0.00392046,0.00392046,0.00392046,0.00000000,completed,structures/reference/13-R2.xyz,
13-TS,aimnet2-nse,aimnet,-12419.373788806159,-456.403568584723,,18,0,3,cuda,1,0.00335843,0.00335843,0.00335843,0.00000000,completed,structures/reference/13-TS.xyz,
14-P1,aimnet2-nse,aimnet,-10575.269671992994,-388.633992270504,,23,0,3,cuda,1,0.00342267,0.00342267,0.00342267,0.00000000,completed,structures/reference/14-P1.xyz,
14-R1,aimnet2-nse,aimnet,-5255.749164029359,-193.145219303344,,10,0,3,cuda,1,0.00329499,0.00329499,0.00329499,0.00000000,completed,structures/reference/14-R1.xyz,
14-R2,aimnet2-nse,aimnet,-5317.618736248257,-195.418884145687,,13,0,1,cuda,1,0.00331682,0.00331682,0.00331682,0.00000000,completed,structures/reference/14-R2.xyz,
14-TS,aimnet2-nse,aimnet,-10573.246359166955,-388.559636895598,,23,0,3,cuda,1,0.00331282,0.00331282,0.00331282,0.00000000,completed,structures/reference/14-TS.xyz,
15-P1,aimnet2-nse,aimnet,-10482.993887226379,-385.242919727104,,18,0,3,cuda,1,0.00331257,0.00331257,0.00331257,0.00000000,completed,structures/reference/15-P1.xyz,
15-R1,aimnet2-nse,aimnet,-8342.700367980020,-306.588583637853,,12,0,3,cuda,1,0.00327848,0.00327848,0.00327848,0.00000000,completed,structures/reference/15-R1.xyz,
15-R2,aimnet2-nse,aimnet,-2139.836115758172,-78.637526821099,,6,0,1,cuda,1,0.00329745,0.00329745,0.00329745,0.00000000,completed,structures/reference/15-R2.xyz,
15-TS,aimnet2-nse,aimnet,-10481.387601338956,-385.183889809521,,18,0,3,cuda,1,0.00330374,0.00330374,0.00330374,0.00000000,completed,structures/reference/15-TS.xyz,
16-P1,aimnet2-nse,aimnet,-12530.951527176752,-460.503974839734,,19,0,3,cuda,1,0.00330246,0.00330246,0.00330246,0.00000000,completed,structures/reference/16-P1.xyz,
16-R1,aimnet2-nse,aimnet,-10390.759208386296,-381.853357798642,,13,0,3,cuda,1,0.00328162,0.00328162,0.00328162,0.00000000,completed,structures/reference/16-R1.xyz,
16-TS,aimnet2-nse,aimnet,-12529.720447941547,-460.458733512296,,19,0,3,cuda,1,0.00327676,0.00327676,0.00327676,0.00000000,completed,structures/reference/16-TS.xyz,
17-P1,aimnet2-nse,aimnet,-17633.574784546014,-648.021920865787,,20,0,3,cuda,1,0.00336255,0.00336255,0.00336255,0.00000000,completed,structures/reference/17-P1.xyz,
17-R2,aimnet2-nse,aimnet,-9290.177612140760,-341.407730137618,,8,0,1,cuda,1,0.00325058,0.00325058,0.00325058,0.00000000,completed,structures/reference/17-R2.xyz,
17-TS,aimnet2-nse,aimnet,-17632.330376067574,-647.976189697695,,20,0,3,cuda,1,0.00327915,0.00327915,0.00327915,0.00000000,completed,structures/reference/17-TS.xyz,
18-P1,aimnet2-nse,aimnet,-15115.797871238303,-555.495325912216,,13,0,3,cuda,1,0.00324752,0.00324752,0.00324752,0.00000000,completed,structures/reference/18-P1.xyz,
18-R1,aimnet2-nse,aimnet,-10834.960135950067,-398.177440796408,,1,0,3,cuda,1,0.08752440,0.08752440,0.08752440,0.00000000,completed,structures/reference/18-R1.xyz,
18-TS,aimnet2-nse,aimnet,-15115.599895875139,-555.488050451813,,13,0,3,cuda,1,0.00436636,0.00436636,0.00436636,0.00000000,completed,structures/reference/18-TS.xyz,
19-P1,aimnet2-nse,aimnet,-15082.023234145594,-554.254130892331,,11,0,3,cuda,1,0.00380305,0.00380305,0.00380305,0.00000000,completed,structures/reference/19-P1.xyz,
19-R2,aimnet2-nse,aimnet,-4247.517677847141,-156.093395589995,,10,0,1,cuda,1,0.00330045,0.00330045,0.00330045,0.00000000,completed,structures/reference/19-R2.xyz,
19-TS,aimnet2-nse,aimnet,-15081.836106588638,-554.247254081452,,11,0,3,cuda,1,0.00326819,0.00326819,0.00326819,0.00000000,completed,structures/reference/19-TS.xyz,
2-P1,aimnet2-nse,aimnet,-16796.332325873034,-617.253828012877,,28,0,3,cuda,1,0.00332701,0.00332701,0.00332701,0.00000000,completed,structures/reference/2-P1.xyz,
2-TS,aimnet2-nse,aimnet,-16795.165269652523,-617.210939487832,,28,0,3,cuda,1,0.00330432,0.00330432,0.00330432,0.00000000,completed,structures/reference/2-TS.xyz,
20-P1,aimnet2-nse,aimnet,-21240.070733824381,-780.558202431013,,14,0,2,cuda,1,0.00337781,0.00337781,0.00337781,0.00000000,completed,structures/reference/20-P1.xyz,
20-P2,aimnet2-nse,aimnet,-6305.373964728165,-231.718219267782,,11,0,2,cuda,1,0.00327517,0.00327517,0.00327517,0.00000000,completed,structures/reference/20-P2.xyz,
20-R1,aimnet2-nse,aimnet,-27545.236142807753,-1012.268757416538,,25,0,3,cuda,1,0.00336798,0.00336798,0.00336798,0.00000000,completed,structures/reference/20-R1.xyz,
20-TS,aimnet2-nse,aimnet,-27544.578358041781,-1012.244584272251,,25,0,3,cuda,1,0.00330466,0.00330466,0.00330466,0.00000000,completed,structures/reference/20-TS.xyz,
21-P1,aimnet2-nse,aimnet,-24898.327129011752,-914.996645298904,,22,0,3,cuda,1,0.00340093,0.00340093,0.00340093,0.00000000,completed,structures/reference/21-P1.xyz,
21-R1,aimnet2-nse,aimnet,-24897.831737550892,-914.978439998506,,22,0,3,cuda,1,0.00328966,0.00328966,0.00328966,0.00000000,completed,structures/reference/21-R1.xyz,
21-TS,aimnet2-nse,aimnet,-24897.430948425448,-914.963711269810,,22,0,3,cuda,1,0.00329389,0.00329389,0.00329389,0.00000000,completed,structures/reference/21-TS.xyz,
22-P1,aimnet2-nse,aimnet,-16207.920313689780,-595.630085405129,,28,0,3,cuda,1,0.00329261,0.00329261,0.00329261,0.00000000,completed,structures/reference/22-P1.xyz,
22-R1,aimnet2-nse,aimnet,-16207.314017472108,-595.607804430092,,28,0,3,cuda,1,0.00328919,0.00328919,0.00328919,0.00000000,completed,structures/reference/22-R1.xyz,
22-TS,aimnet2-nse,aimnet,-16206.184298616878,-595.566288027913,,28,0,3,cuda,1,0.00328842,0.00328842,0.00328842,0.00000000,completed,structures/reference/22-TS.xyz,
23-P1,aimnet2-nse,aimnet,-8467.425961800198,-311.172164668701,,19,0,3,cuda,1,0.00349085,0.00349085,0.00349085,0.00000000,completed,structures/reference/23-P1.xyz,
23-R1,aimnet2-nse,aimnet,-8467.215568883195,-311.164432871610,,19,0,3,cuda,1,0.00334990,0.00334990,0.00334990,0.00000000,completed,structures/reference/23-R1.xyz,
23-TS,aimnet2-nse,aimnet,-8466.406119405177,-311.134686151958,,19,0,3,cuda,1,0.00334198,0.00334198,0.00334198,0.00000000,completed,structures/reference/23-TS.xyz,
24-P1,aimnet2-nse,aimnet,-12618.782824270609,-463.731715473742,,23,0,3,cuda,1,0.00337588,0.00337588,0.00337588,0.00000000,completed,structures/reference/24-P1.xyz,
24-R1,aimnet2-nse,aimnet,-12618.141019369819,-463.708129578669,,23,0,3,cuda,1,0.00361020,0.00361020,0.00361020,0.00000000,completed,structures/reference/24-R1.xyz,
