species,model,backend,energy_eV,energy_hartree,max_force_eV_per_A,n_atoms,charge,spin_multiplicity,device,repeats,mean_time_seconds,median_time_seconds,min_time_seconds,stdev_time_seconds,status,input_file,error
1-P1,allscaip-md-conserving-all-omol,fairchem,-16783.545165004543,-616.783908518409,,28,0,3,cuda,1,0.05570123,0.05570123,0.05570123,0.00000000,completed,structures/reference/1-P1.xyz,
1-R1,allscaip-md-conserving-all-omol,fairchem,-16783.445537032894,-616.780247257981,,28,0,3,cuda,1,0.05935305,0.05935305,0.05935305,0.00000000,completed,structures/reference/1-R1.xyz,
1-TS,allscaip-md-conserving-all-omol,fairchem,-16783.090448083691,-616.767197979785,,28,0,3,cuda,1,0.05885653,0.05885653,0.05885653,0.00000000,completed,structures/reference/1-TS.xyz,
10-P1,allscaip-md-conserving-all-omol,fairchem,-4168.302742934157,-153.182300425754,,6,0,2,cuda,1,0.06195763,0.06195763,0.06195763,0.00000000,completed,structures/reference/10-P1.xyz,
10-P2,allscaip-md-conserving-all-omol,fairchem,-1083.506096335578,-39.818114613522,,4,0,2,cuda,1,0.05618454,0.05618454,0.05618454,0.00000000,completed,structures/reference/10-P2.xyz,
10-R1,allscaip-md-conserving-all-omol,fairchem,-5252.206374832251,-193.015024201739,,10,0,3,cuda,1,0.05995195,0.05995195,0.05995195,0.00000000,completed,structures/reference/10-R1.xyz,
10-TS,allscaip-md-conserving-all-omol,fairchem,-5251.427766033270,-192.986410856137,,10,0,3,cuda,1,0.06104355,0.06104355,0.06104355,0.00000000,completed,structures/reference/10-TS.xyz,
11-P1,allscaip-md-conserving-all-omol,fairchem,-9385.882502135222,-344.924819973810,,13,0,2,cuda,1,0.06191796,0.06191796,0.06191796,0.00000000,completed,structures/reference/11-P1.xyz,
11-P2,allscaip-md-conserving-all-omol,fairchem,-5536.172702884375,-203.450594278365,,6,0,2,cuda,1,0.05722940,0.05722940,0.05722940,0.00000000,completed,structures/reference/11-P2.xyz,
11-R1,allscaip-md-conserving-all-omol,fairchem,-14922.241576584462,-548.382263280856,,19,0,3,cuda,1,0.06682041,0.06682041,0.06682041,0.00000000,completed,structures/reference/11-R1.xyz,
11-TS,allscaip-md-conserving-all-omol,fairchem,-14921.743052872303,-548.363942872346,,19,0,3,cuda,1,0.05893170,0.05893170,0.05893170,0.00000000,completed,structures/reference/11-TS.xyz,
12-P1,allscaip-md-conserving-all-omol,fairchem,-21866.893987890722,-803.593532141889,,24,0,3,cuda,1,0.05967340,0.05967340,0.05967340,0.00000000,completed,structures/reference/12-P1.xyz,
12-R1,allscaip-md-conserving-all-omol,fairchem,-17588.017906471632,-646.347736476115,,12,0,3,cuda,1,0.05820545,0.05820545,0.05820545,0.00000000,completed,structures/reference/12-R1.xyz,
