species,model,backend,energy_eV,energy_hartree,max_force_eV_per_A,n_atoms,charge,spin_multiplicity,device,repeats,mean_time_seconds,median_time_seconds,min_time_seconds,stdev_time_seconds,status,input_file,error
1-P1,allscaip-md-direct-all-omol,fairchem,-16783.550342860035,-616.784098801088,,28,0,3,cuda,1,0.02047630,0.02047630,0.02047630,0.00000000,completed,structures/reference/1-P1.xyz,
1-R1,allscaip-md-direct-all-omol,fairchem,-16783.573602380566,-616.784953572702,,28,0,3,cuda,1,0.02037696,0.02037696,0.02037696,0.00000000,completed,structures/reference/1-R1.xyz,
1-TS,allscaip-md-direct-all-omol,fairchem,-16783.172772826962,-616.770223358299,,28,0,3,cuda,1,0.02532201,0.02532201,0.02532201,0.00000000,completed,structures/reference/1-TS.xyz,
10-P1,allscaip-md-direct-all-omol,fairchem,-4168.309702968528,-153.182556202299,,6,0,2,cuda,1,0.01989387,0.01989387,0.01989387,0.00000000,completed,structures/reference/10-P1.xyz,
10-P2,allscaip-md-direct-all-omol,fairchem,-1083.517474743056,-39.818532762285,,4,0,2,cuda,1,0.01956084,0.01956084,0.01956084,0.00000000,completed,structures/reference/10-P2.xyz,
10-R1,allscaip-md-direct-all-omol,fairchem,-5252.194352098562,-193.014582374426,,10,0,3,cuda,1,0.01955755,0.01955755,0.01955755,0.00000000,completed,structures/reference/10-R1.xyz,
10-TS,allscaip-md-direct-all-omol,fairchem,-5251.449374862768,-192.987204965974,,10,0,3,cuda,1,0.01904424,0.01904424,0.01904424,0.00000000,completed,structures/reference/10-TS.xyz,
11-P1,allscaip-md-direct-all-omol,fairchem,-9385.887086924498,-344.924988461708,,13,0,2,cuda,1,0.02010555,0.02010555,0.02010555,0.00000000,completed,structures/reference/11-P1.xyz,
11-P2,allscaip-md-direct-all-omol,fairchem,-5536.160044765174,-203.450129101064,,6,0,2,cuda,1,0.01971020,0.01971020,0.01971020,0.00000000,completed,structures/reference/11-P2.xyz,
11-R1,allscaip-md-direct-all-omol,fairchem,-14922.192443283680,-548.380457665356,,19,0,3,cuda,1,0.02131526,0.02131526,0.02131526,0.00000000,completed,structures/reference/11-R1.xyz,
11-TS,allscaip-md-direct-all-omol,fairchem,-14921.727691563252,-548.363378354651,,19,0,3,cuda,1,0.02015816,0.02015816,0.02015816,0.00000000,completed,structures/reference/11-TS.xyz,
12-P1,allscaip-md-direct-all-omol,fairchem,-21866.892478462698,-803.593476671433,,24,0,3,cuda,1,0.01913728,0.01913728,0.01913728,0.00000000,completed,structures/reference/12-P1.xyz,
