species,model,backend,energy_eV,energy_hartree,max_force_eV_per_A,n_atoms,charge,spin_multiplicity,device,repeats,mean_time_seconds,median_time_seconds,min_time_seconds,stdev_time_seconds,status,input_file,error
1-P1,esen-md-direct-all-omol,fairchem,-16783.553317139602,-616.784208103846,,28,0,3,cuda,1,0.02621213,0.02621213,0.02621213,0.00000000,completed,structures/reference/1-P1.xyz,
1-R1,esen-md-direct-all-omol,fairchem,-16783.560875560132,-616.784485870677,,28,0,3,cuda,1,0.02623922,0.02623922,0.02623922,0.00000000,completed,structures/reference/1-R1.xyz,
1-TS,esen-md-direct-all-omol,fairchem,-16783.120241971857,-616.768292884980,,28,0,3,cuda,1,0.02606100,0.02606100,0.02606100,0.00000000,completed,structures/reference/1-TS.xyz,
10-P1,esen-md-direct-all-omol,fairchem,-4168.307820007917,-153.182487004773,,6,0,2,cuda,1,0.02912365,0.02912365,0.02912365,0.00000000,completed,structures/reference/10-P1.xyz,
10-P2,esen-md-direct-all-omol,fairchem,-1083.518961634772,-39.818587404547,,4,0,2,cuda,1,0.02597116,0.02597116,0.02597116,0.00000000,completed,structures/reference/10-P2.xyz,
10-R1,esen-md-direct-all-omol,fairchem,-5252.274549943357,-193.017529590862,,10,0,3,cuda,1,0.02572965,0.02572965,0.02572965,0.00000000,completed,structures/reference/10-R1.xyz,
10-TS,esen-md-direct-all-omol,fairchem,-5251.473770468112,-192.988101487934,,10,0,3,cuda,1,0.02518043,0.02518043,0.02518043,0.00000000,completed,structures/reference/10-TS.xyz,
11-P1,esen-md-direct-all-omol,fairchem,-9385.883169548986,-344.924844500813,,13,0,2,cuda,1,0.02541448,0.02541448,0.02541448,0.00000000,completed,structures/reference/11-P1.xyz,
11-P2,esen-md-direct-all-omol,fairchem,-5536.163293589603,-203.450248493160,,6,0,2,cuda,1,0.02516985,0.02516985,0.02516985,0.00000000,completed,structures/reference/11-P2.xyz,
11-R1,esen-md-direct-all-omol,fairchem,-14922.209269950656,-548.381076033962,,19,0,3,cuda,1,0.02645364,0.02645364,0.02645364,0.00000000,completed,structures/reference/11-R1.xyz,
11-TS,esen-md-direct-all-omol,fairchem,-14921.730155459165,-548.363468901155,,19,0,3,cuda,1,0.02741790,0.02741790,0.02741790,0.00000000,completed,structures/reference/11-TS.xyz,
12-P1,esen-md-direct-all-omol,fairchem,-21866.902743805447,-803.593853915821,,24,0,3,cuda,1,0.02620951,0.02620951,0.02620951,0.00000000,completed,structures/reference/12-P1.xyz,
12-R1,esen-md-direct-all-omol,fairchem,-17588.020472499917,-646.347830775915,,12,0,3,cuda,1,0.02590314,0.02590314,0.02590314,0.00000000,completed,structures/reference/12-R1.xyz,
12-R2,esen-md-direct-all-omol,fairchem,-4277.230071140430,-157.185305903739,,12,0,1,cuda,1,0.02577053,0.02577053,0.02577053,0.00000000,completed,structures/reference/12-R2.xyz,
12-TS,esen-md-direct-all-omol,fairchem,-21865.329764944898,-803.536048008899,,24,0,3,cuda,1,0.02574529,0.02574529,0.02574529,0.00000000,completed,structures/reference/12-TS.xyz,
13-P1,esen-md-direct-all-omol,fairchem,-12412.143736656937,-456.137869068944,,18,0,3,cuda,1,0.02591403,0.02591403,0.02591403,0.00000000,completed,structures/reference/13-P1.xyz,
13-R2,esen-md-direct-all-omol,fairchem,-7158.972715868096,-263.087394782160,,8,0,1,cuda,1,0.02578771,0.02578771,0.02578771,0.00000000,completed,structures/reference/13-R2.xyz,
13-TS,esen-md-direct-all-omol,fairchem,-12410.734376506660,-456.086076038720,,18,0,3,cuda,1,0.02587403,0.02587403,0.02587403,0.00000000,completed,structures/reference/13-TS.xyz,
14-P1,esen-md-direct-all-omol,fairchem,-10567.193304581839,-388.337191242502,,23,0,3,cuda,1,0.02830121,0.02830121,0.02830121,0.00000000,completed,structures/reference/14-P1.xyz,
14-R1,esen-md-direct-all-omol,fairchem,-5252.046243814278,-193.009139495370,,10,0,3,cuda,1,0.02524140,0.02524140,0.02524140,0.00000000,completed,structures/reference/14-R1.xyz,
