species,model,backend,energy_eV,energy_hartree,max_force_eV_per_A,n_atoms,charge,spin_multiplicity,device,repeats,mean_time_seconds,median_time_seconds,min_time_seconds,stdev_time_seconds,status,input_file,error
1-P1,esen-sm-conserving-all-omol,fairchem,-16783.509700107894,-616.782605207496,,28,0,3,cuda,1,0.04336151,0.04336151,0.04336151,0.00000000,completed,structures/reference/1-P1.xyz,
1-R1,esen-sm-conserving-all-omol,fairchem,-16783.408504417795,-616.778886334477,,28,0,3,cuda,1,0.03629195,0.03629195,0.03629195,0.00000000,completed,structures/reference/1-R1.xyz,
1-TS,esen-sm-conserving-all-omol,fairchem,-16783.010513833997,-616.764260450291,,28,0,3,cuda,1,0.03751369,0.03751369,0.03751369,0.00000000,completed,structures/reference/1-TS.xyz,
10-P1,esen-sm-conserving-all-omol,fairchem,-4168.306218558681,-153.182428152599,,6,0,2,cuda,1,0.03940273,0.03940273,0.03940273,0.00000000,completed,structures/reference/10-P1.xyz,
10-P2,esen-sm-conserving-all-omol,fairchem,-1083.525676110334,-39.818834156973,,4,0,2,cuda,1,0.03670235,0.03670235,0.03670235,0.00000000,completed,structures/reference/10-P2.xyz,
10-R1,esen-sm-conserving-all-omol,fairchem,-5252.239003286745,-193.016223275326,,10,0,3,cuda,1,0.03684014,0.03684014,0.03684014,0.00000000,completed,structures/reference/10-R1.xyz,
10-TS,esen-sm-conserving-all-omol,fairchem,-5251.332914770540,-192.982925136524,,10,0,3,cuda,1,0.03513743,0.03513743,0.03513743,0.00000000,completed,structures/reference/10-TS.xyz,
11-P1,esen-sm-conserving-all-omol,fairchem,-9385.869629733908,-344.924346921787,,13,0,2,cuda,1,0.03559852,0.03559852,0.03559852,0.00000000,completed,structures/reference/11-P1.xyz,
11-P2,esen-sm-conserving-all-omol,fairchem,-5536.193040553489,-203.451341673919,,6,0,2,cuda,1,0.03516227,0.03516227,0.03516227,0.00000000,completed,structures/reference/11-P2.xyz,
11-R1,esen-sm-conserving-all-omol,fairchem,-14922.231911301647,-548.381908088264,,19,0,3,cuda,1,0.03577719,0.03577719,0.03577719,0.00000000,completed,structures/reference/11-R1.xyz,
11-TS,esen-sm-conserving-all-omol,fairchem,-14921.653941218403,-548.360668079467,,19,0,3,cuda,1,0.03552677,0.03552677,0.03552677,0.00000000,completed,structures/reference/11-TS.xyz,
12-P1,esen-sm-conserving-all-omol,fairchem,-21866.876648145793,-803.592894918016,,24,0,3,cuda,1,0.03597388,0.03597388,0.03597388,0.00000000,completed,structures/reference/12-P1.xyz,
12-R1,esen-sm-conserving-all-omol,fairchem,-17587.966745443071,-646.345856342994,,12,0,3,cuda,1,0.03681040,0.03681040,0.03681040,0.00000000,completed,structures/reference/12-R1.xyz,
12-R2,esen-sm-conserving-all-omol,fairchem,-4277.230012288554,-157.185303740973,,12,0,1,cuda,1,0.03634602,0.03634602,0.03634602,0.00000000,completed,structures/reference/12-R2.xyz,
12-TS,esen-sm-conserving-all-omol,fairchem,-21865.236420410667,-803.532617660537,,24,0,3,cuda,1,0.03706611,0.03706611,0.03706611,0.00000000,completed,structures/reference/12-TS.xyz,
13-P1,esen-sm-conserving-all-omol,fairchem,-12412.125978998209,-456.137216487022,,18,0,3,cuda,1,0.03538817,0.03538817,0.03538817,0.00000000,completed,structures/reference/13-P1.xyz,
13-R2,esen-sm-conserving-all-omol,fairchem,-7158.973430950419,-263.087421060951,,8,0,1,cuda,1,0.03584723,0.03584723,0.03584723,0.00000000,completed,structures/reference/13-R2.xyz,
13-TS,esen-sm-conserving-all-omol,fairchem,-12410.824529354715,-456.089389094778,,18,0,3,cuda,1,0.03527955,0.03527955,0.03527955,0.00000000,completed,structures/reference/13-TS.xyz,
14-P1,esen-sm-conserving-all-omol,fairchem,-10567.152543128414,-388.335693286718,,23,0,3,cuda,1,0.03928915,0.03928915,0.03928915,0.00000000,completed,structures/reference/14-P1.xyz,
14-R1,esen-sm-conserving-all-omol,fairchem,-5252.066503474084,-193.009884024135,,10,0,3,cuda,1,0.03672338,0.03672338,0.03672338,0.00000000,completed,structures/reference/14-R1.xyz,
14-R2,esen-sm-conserving-all-omol,fairchem,-5313.134000165878,-195.254073134522,,13,0,1,cuda,1,0.03481041,0.03481041,0.03481041,0.00000000,completed,structures/reference/14-R2.xyz,
14-TS,esen-sm-conserving-all-omol,fairchem,-10565.694937057549,-388.282127251615,,23,0,3,cuda,1,0.03594313,0.03594313,0.03594313,0.00000000,completed,structures/reference/14-TS.xyz,
15-P1,esen-sm-conserving-all-omol,fairchem,-10475.880915204270,-384.981522826637,,18,0,3,cuda,1,0.03672516,0.03672516,0.03672516,0.00000000,completed,structures/reference/15-P1.xyz,
15-R1,esen-sm-conserving-all-omol,fairchem,-8337.385520473043,-306.393266594505,,12,0,3,cuda,1,0.03522473,0.03522473,0.03522473,0.00000000,completed,structures/reference/15-R1.xyz,
15-R2,esen-sm-conserving-all-omol,fairchem,-2137.904650529437,-78.566546783137,,6,0,1,cuda,1,0.03491650,0.03491650,0.03491650,0.00000000,completed,structures/reference/15-R2.xyz,
15-TS,esen-sm-conserving-all-omol,fairchem,-10474.289154175063,-384.923026687748,,18,0,3,cuda,1,0.03601184,0.03601184,0.03601184,0.00000000,completed,structures/reference/15-TS.xyz,
16-P1,esen-sm-conserving-all-omol,fairchem,-12522.938541008263,-460.209503029440,,19,0,3,cuda,1,0.03689354,0.03689354,0.03689354,0.00000000,completed,structures/reference/16-P1.xyz,
16-R1,esen-sm-conserving-all-omol,fairchem,-10384.614312730911,-381.627537048466,,13,0,3,cuda,1,0.03598318,0.03598318,0.03598318,0.00000000,completed,structures/reference/16-R1.xyz,
16-TS,esen-sm-conserving-all-omol,fairchem,-12521.633720591592,-460.161551763566,,19,0,3,cuda,1,0.03591908,0.03591908,0.03591908,0.00000000,completed,structures/reference/16-TS.xyz,
17-P1,esen-sm-conserving-all-omol,fairchem,-17623.446322662690,-647.649706756893,,20,0,3,cuda,1,0.03685383,0.03685383,0.03685383,0.00000000,completed,structures/reference/17-P1.xyz,
17-R2,esen-sm-conserving-all-omol,fairchem,-9285.198177076123,-341.224739274175,,8,0,1,cuda,1,0.03527588,0.03527588,0.03527588,0.00000000,completed,structures/reference/17-R2.xyz,
17-TS,esen-sm-conserving-all-omol,fairchem,-17622.483437493065,-647.614321379577,,20,0,3,cuda,1,0.03585364,0.03585364,0.03585364,0.00000000,completed,structures/reference/17-TS.xyz,
18-P1,esen-sm-conserving-all-omol,fairchem,-15110.170734473075,-555.288532450304,,13,0,3,cuda,1,0.03454284,0.03454284,0.03454284,0.00000000,completed,structures/reference/18-P1.xyz,
18-R1,esen-sm-conserving-all-omol,fairchem,-10832.622070312500,-398.091518469025,,1,0,3,cuda,1,0.00112565,0.00112565,0.00112565,0.00000000,completed,structures/reference/18-R1.xyz,
18-TS,esen-sm-conserving-all-omol,fairchem,-15109.827838459158,-555.275931254216,,13,0,3,cuda,1,0.03605193,0.03605193,0.03605193,0.00000000,completed,structures/reference/18-TS.xyz,
19-P1,esen-sm-conserving-all-omol,fairchem,-15076.718893123258,-554.059199955171,,11,0,3,cuda,1,0.03735797,0.03735797,0.03735797,0.00000000,completed,structures/reference/19-P1.xyz,
19-R2,esen-sm-conserving-all-omol,fairchem,-4243.964912321682,-155.962833865085,,10,0,1,cuda,1,0.03614511,0.03614511,0.03614511,0.00000000,completed,structures/reference/19-R2.xyz,
19-TS,esen-sm-conserving-all-omol,fairchem,-15076.495351474681,-554.050984951108,,11,0,3,cuda,1,0.03541925,0.03541925,0.03541925,0.00000000,completed,structures/reference/19-TS.xyz,
2-P1,esen-sm-conserving-all-omol,fairchem,-16784.165040160962,-616.806688510241,,28,0,3,cuda,1,0.03562758,0.03562758,0.03562758,0.00000000,completed,structures/reference/2-P1.xyz,
2-TS,esen-sm-conserving-all-omol,fairchem,-16783.349814583140,-616.776729522835,,28,0,3,cuda,1,0.03482735,0.03482735,0.03482735,0.00000000,completed,structures/reference/2-TS.xyz,
20-P1,esen-sm-conserving-all-omol,fairchem,-21231.734314307912,-780.251844664411,,14,0,2,cuda,1,0.03579359,0.03579359,0.03579359,0.00000000,completed,structures/reference/20-P1.xyz,
20-P2,esen-sm-conserving-all-omol,fairchem,-6300.615121522705,-231.543335005641,,11,0,2,cuda,1,0.03626485,0.03626485,0.03626485,0.00000000,completed,structures/reference/20-P2.xyz,
20-R1,esen-sm-conserving-all-omol,fairchem,-27532.215268712062,-1011.790249119387,,25,0,3,cuda,1,0.03715284,0.03715284,0.03715284,0.00000000,completed,structures/reference/20-R1.xyz,
20-TS,esen-sm-conserving-all-omol,fairchem,-27531.780899949932,-1011.774286361805,,25,0,3,cuda,1,0.03664404,0.03664404,0.03664404,0.00000000,completed,structures/reference/20-TS.xyz,
21-P1,esen-sm-conserving-all-omol,fairchem,-24886.979108971653,-914.579613254394,,22,0,3,cuda,1,0.03593890,0.03593890,0.03593890,0.00000000,completed,structures/reference/21-P1.xyz,
21-R1,esen-sm-conserving-all-omol,fairchem,-24886.590396140273,-914.565328321320,,22,0,3,cuda,1,0.03613062,0.03613062,0.03613062,0.00000000,completed,structures/reference/21-R1.xyz,
21-TS,esen-sm-conserving-all-omol,fairchem,-24886.263104172282,-914.553300563343,,22,0,3,cuda,1,0.03658876,0.03658876,0.03658876,0.00000000,completed,structures/reference/21-TS.xyz,
22-P1,esen-sm-conserving-all-omol,fairchem,-16196.561949864066,-595.212673233509,,28,0,3,cuda,1,0.03508613,0.03508613,0.03508613,0.00000000,completed,structures/reference/22-P1.xyz,
22-R1,esen-sm-conserving-all-omol,fairchem,-16195.939689931862,-595.189805602784,,28,0,3,cuda,1,0.03489997,0.03489997,0.03489997,0.00000000,completed,structures/reference/22-R1.xyz,
22-TS,esen-sm-conserving-all-omol,fairchem,-16195.566504584225,-595.176091294212,,28,0,3,cuda,1,0.03558742,0.03558742,0.03558742,0.00000000,completed,structures/reference/22-TS.xyz,
23-P1,esen-sm-conserving-all-omol,fairchem,-8460.908190122709,-310.932640977457,,19,0,3,cuda,1,0.03613099,0.03613099,0.03613099,0.00000000,completed,structures/reference/23-P1.xyz,
23-R1,esen-sm-conserving-all-omol,fairchem,-8460.779423980086,-310.927908908997,,19,0,3,cuda,1,0.03808451,0.03808451,0.03808451,0.00000000,completed,structures/reference/23-R1.xyz,
23-TS,esen-sm-conserving-all-omol,fairchem,-8460.332598259351,-310.911488366629,,19,0,3,cuda,1,0.03747813,0.03747813,0.03747813,0.00000000,completed,structures/reference/23-TS.xyz,
24-P1,esen-sm-conserving-all-omol,fairchem,-12609.559715929498,-463.392772493854,,23,0,3,cuda,1,0.03588046,0.03588046,0.03588046,0.00000000,completed,structures/reference/24-P1.xyz,
24-R1,esen-sm-conserving-all-omol,fairchem,-12609.120345223957,-463.376625918241,,23,0,3,cuda,1,0.03508060,0.03508060,0.03508060,0.00000000,completed,structures/reference/24-R1.xyz,
24-TS,esen-sm-conserving-all-omol,fairchem,-12608.876367292516,-463.367659894635,,23,0,3,cuda,1,0.03628039,0.03628039,0.03628039,0.00000000,completed,structures/reference/24-TS.xyz,
25-P1,esen-sm-conserving-all-omol,fairchem,-10488.389002655271,-385.441186562175,,18,0,2,cuda,1,0.03462512,0.03462512,0.03462512,0.00000000,completed,structures/reference/25-P1.xyz,
25-R1,esen-sm-conserving-all-omol,fairchem,-10470.508190483055,-384.784078834896,,17,0,3,cuda,1,0.03582011,0.03582011,0.03582011,0.00000000,completed,structures/reference/25-R1.xyz,
25-R2,esen-sm-conserving-all-omol,fairchem,-1101.818679656207,-40.491089637841,,5,0,1,cuda,1,0.03637607,0.03637607,0.03637607,0.00000000,completed,structures/reference/25-R2.xyz,
25-TS,esen-sm-conserving-all-omol,fairchem,-11571.267987669784,-425.236255259720,,22,0,3,cuda,1,0.03675108,0.03675108,0.03675108,0.00000000,completed,structures/reference/25-TS.xyz,
26-P2,esen-sm-conserving-all-omol,fairchem,-3130.604565386453,-115.047595777963,,5,0,2,cuda,1,0.03445158,0.03445158,0.03445158,0.00000000,completed,structures/reference/26-P2.xyz,
26-R2,esen-sm-conserving-all-omol,fairchem,-3148.820109887627,-115.717004691442,,6,0,1,cuda,1,0.03638810,0.03638810,0.03638810,0.00000000,completed,structures/reference/26-R2.xyz,
26-TS,esen-sm-conserving-all-omol,fairchem,-13618.550462116629,-500.472498497739,,23,0,3,cuda,1,0.03665195,0.03665195,0.03665195,0.00000000,completed,structures/reference/26-TS.xyz,
27-P1,esen-sm-conserving-all-omol,fairchem,-2061.056476075311,-75.742428461512,,2,0,2,cuda,1,0.03560778,0.03560778,0.03560778,0.00000000,completed,structures/reference/27-P1.xyz,
27-P2,esen-sm-conserving-all-omol,fairchem,-14945.282912370463,-549.229016753014,,4,0,2,cuda,1,0.03488347,0.03488347,0.03488347,0.00000000,completed,structures/reference/27-P2.xyz,
27-R1,esen-sm-conserving-all-omol,fairchem,-14926.597808296112,-548.542351843500,,3,0,3,cuda,1,0.03652173,0.03652173,0.03652173,0.00000000,completed,structures/reference/27-R1.xyz,
27-R2,esen-sm-conserving-all-omol,fairchem,-2079.863741854243,-76.433582730865,,3,0,1,cuda,1,0.03478118,0.03478118,0.03478118,0.00000000,completed,structures/reference/27-R2.xyz,
27-TS,esen-sm-conserving-all-omol,fairchem,-17006.194016680558,-624.966102900690,,6,0,3,cuda,1,0.03516571,0.03516571,0.03516571,0.00000000,completed,structures/reference/27-TS.xyz,
28-TS,esen-sm-conserving-all-omol,fairchem,-16028.170468613169,-589.024400437384,,8,0,3,cuda,1,0.03669378,0.03669378,0.03669378,0.00000000,completed,structures/reference/28-TS.xyz,
29-P1,esen-sm-conserving-all-omol,fairchem,-4292.459081146315,-157.744961698862,,13,0,2,cuda,1,0.03428013,0.03428013,0.03428013,0.00000000,completed,structures/reference/29-P1.xyz,
29-R1,esen-sm-conserving-all-omol,fairchem,-4310.368476345066,-158.403119832992,,14,0,1,cuda,1,0.03560313,0.03560313,0.03560313,0.00000000,completed,structures/reference/29-R1.xyz,
29-TS,esen-sm-conserving-all-omol,fairchem,-19236.971918614752,-706.945678721201,,17,0,3,cuda,1,0.03617684,0.03617684,0.03617684,0.00000000,completed,structures/reference/29-TS.xyz,
3-P1,esen-sm-conserving-all-omol,fairchem,-22701.132890924157,-834.251246360930,,21,0,3,cuda,1,0.03580042,0.03580042,0.03580042,0.00000000,completed,structures/reference/3-P1.xyz,
3-R1,esen-sm-conserving-all-omol,fairchem,-22700.499563818099,-834.227972019067,,21,0,3,cuda,1,0.03587282,0.03587282,0.03587282,0.00000000,completed,structures/reference/3-R1.xyz,
3-TS,esen-sm-conserving-all-omol,fairchem,-22699.944764816810,-834.207583531826,,21,0,3,cuda,1,0.03575083,0.03575083,0.03575083,0.00000000,completed,structures/reference/3-TS.xyz,
30-P1,esen-sm-conserving-all-omol,fairchem,-3190.013599062320,-117.230837496662,,8,0,2,cuda,1,0.03949682,0.03949682,0.03949682,0.00000000,completed,structures/reference/30-P1.xyz,
30-R1,esen-sm-conserving-all-omol,fairchem,-3207.554598501452,-117.875457336334,,9,0,1,cuda,1,0.03687077,0.03687077,0.03687077,0.00000000,completed,structures/reference/30-R1.xyz,
30-TS,esen-sm-conserving-all-omol,fairchem,-18134.092150825469,-666.415594813702,,12,0,3,cuda,1,0.03540600,0.03540600,0.03540600,0.00000000,completed,structures/reference/30-TS.xyz,
31-P1,esen-sm-conserving-all-omol,fairchem,-20521.153469304340,-754.138480259525,,26,0,3,cuda,1,0.03620639,0.03620639,0.03620639,0.00000000,completed,structures/reference/31-P1.xyz,
31-R1,esen-sm-conserving-all-omol,fairchem,-20520.484477863291,-754.113895277525,,26,0,3,cuda,1,0.03596593,0.03596593,0.03596593,0.00000000,completed,structures/reference/31-R1.xyz,
31-TS,esen-sm-conserving-all-omol,fairchem,-20520.327670930445,-754.108132729031,,26,0,3,cuda,1,0.03571374,0.03571374,0.03571374,0.00000000,completed,structures/reference/31-TS.xyz,
32-P1,esen-sm-conserving-all-omol,fairchem,-15303.064964827305,-562.377264667417,,19,0,3,cuda,1,0.03592435,0.03592435,0.03592435,0.00000000,completed,structures/reference/32-P1.xyz,
32-R1,esen-sm-conserving-all-omol,fairchem,-15302.682135767525,-562.363195958961,,19,0,3,cuda,1,0.03497995,0.03497995,0.03497995,0.00000000,completed,structures/reference/32-R1.xyz,
32-TS,esen-sm-conserving-all-omol,fairchem,-15302.382550263577,-562.352186394757,,19,0,3,cuda,1,0.03545175,0.03545175,0.03545175,0.00000000,completed,structures/reference/32-TS.xyz,
33-P1,esen-sm-conserving-all-omol,fairchem,-18478.389907707689,-679.068304005722,,26,0,3,cuda,1,0.03729943,0.03729943,0.03729943,0.00000000,completed,structures/reference/33-P1.xyz,
33-R1,esen-sm-conserving-all-omol,fairchem,-18478.047336527281,-679.055714747045,,26,0,3,cuda,1,0.03592286,0.03592286,0.03592286,0.00000000,completed,structures/reference/33-R1.xyz,
33-TS,esen-sm-conserving-all-omol,fairchem,-18477.725592307113,-679.043890865040,,26,0,3,cuda,1,0.03574281,0.03574281,0.03574281,0.00000000,completed,structures/reference/33-TS.xyz,
34-P1,esen-sm-conserving-all-omol,fairchem,-31018.086904551830,-1139.893668927840,,28,0,3,cuda,1,0.03468930,0.03468930,0.03468930,0.00000000,completed,structures/reference/34-P1.xyz,
34-R1,esen-sm-conserving-all-omol,fairchem,-31017.734148819483,-1139.880705393783,,28,0,3,cuda,1,0.03556686,0.03556686,0.03556686,0.00000000,completed,structures/reference/34-R1.xyz,
34-TS,esen-sm-conserving-all-omol,fairchem,-31017.432878944968,-1139.869633930103,,28,0,3,cuda,1,0.03581088,0.03581088,0.03581088,0.00000000,completed,structures/reference/34-TS.xyz,
35-P1,esen-sm-conserving-all-omol,fairchem,-88538.140902718762,-3253.716664867549,,28,0,3,cuda,1,0.03541741,0.03541741,0.03541741,0.00000000,completed,structures/reference/35-P1.xyz,
35-R1,esen-sm-conserving-all-omol,fairchem,-88537.722245479323,-3253.701279497775,,28,0,3,cuda,1,0.03731745,0.03731745,0.03731745,0.00000000,completed,structures/reference/35-R1.xyz,
35-TS,esen-sm-conserving-all-omol,fairchem,-88537.455207988765,-3253.691466051002,,28,0,3,cuda,1,0.03625766,0.03625766,0.03625766,0.00000000,completed,structures/reference/35-TS.xyz,
36-P1,esen-sm-conserving-all-omol,fairchem,-29249.684853533014,-1074.906092218861,,23,0,3,cuda,1,0.03584424,0.03584424,0.03584424,0.00000000,completed,structures/reference/36-P1.xyz,
36-R1,esen-sm-conserving-all-omol,fairchem,-29248.920768612988,-1074.878012615965,,23,0,3,cuda,1,0.03514870,0.03514870,0.03514870,0.00000000,completed,structures/reference/36-R1.xyz,
36-TS,esen-sm-conserving-all-omol,fairchem,-29248.780436079611,-1074.872855490484,,23,0,3,cuda,1,0.03588479,0.03588479,0.03588479,0.00000000,completed,structures/reference/36-TS.xyz,
37-P1,esen-sm-conserving-all-omol,fairchem,-20461.350568375521,-751.940764186253,,23,0,3,cuda,1,0.03550092,0.03550092,0.03550092,0.00000000,completed,structures/reference/37-P1.xyz,
37-R1,esen-sm-conserving-all-omol,fairchem,-20460.717600941465,-751.917503062093,,23,0,3,cuda,1,0.03594115,0.03594115,0.03594115,0.00000000,completed,structures/reference/37-R1.xyz,
37-TS,esen-sm-conserving-all-omol,fairchem,-20460.428562884423,-751.906881109413,,23,0,3,cuda,1,0.03809815,0.03809815,0.03809815,0.00000000,completed,structures/reference/37-TS.xyz,
38-P1,esen-sm-conserving-all-omol,fairchem,-9477.506883378210,-348.291953879254,,18,0,2,cuda,1,0.03669256,0.03669256,0.03669256,0.00000000,completed,structures/reference/38-P1.xyz,
38-P2,esen-sm-conserving-all-omol,fairchem,-12520.669921875000,-460.126132814017,,1,0,2,cuda,1,0.00098555,0.00098555,0.00098555,0.00000000,completed,structures/reference/38-P2.xyz,
38-R1,esen-sm-conserving-all-omol,fairchem,-21998.654477668999,-808.435640830773,,19,0,3,cuda,1,0.03553713,0.03553713,0.03553713,0.00000000,completed,structures/reference/38-R1.xyz,
38-TS,esen-sm-conserving-all-omol,fairchem,-21998.276334679744,-808.421744332233,,19,0,3,cuda,1,0.03532987,0.03532987,0.03532987,0.00000000,completed,structures/reference/38-TS.xyz,
39-P2,esen-sm-conserving-all-omol,fairchem,-70041.250000000000,-2573.968461835595,,1,0,2,cuda,1,0.00087357,0.00087357,0.00087357,0.00000000,completed,structures/reference/39-P2.xyz,
39-R1,esen-sm-conserving-all-omol,fairchem,-79518.730933839484,-2922.259462086890,,19,0,3,cuda,1,0.03588264,0.03588264,0.03588264,0.00000000,completed,structures/reference/39-R1.xyz,
39-TS,esen-sm-conserving-all-omol,fairchem,-79518.619317072473,-2922.255360246359,,19,0,3,cuda,1,0.03624888,0.03624888,0.03624888,0.00000000,completed,structures/reference/39-TS.xyz,
4-P1,esen-sm-conserving-all-omol,fairchem,-22701.315485189840,-834.257956576427,,21,0,3,cuda,1,0.03722313,0.03722313,0.03722313,0.00000000,completed,structures/reference/4-P1.xyz,
4-TS,esen-sm-conserving-all-omol,fairchem,-22699.855409774813,-834.204299794599,,21,0,3,cuda,1,0.03585708,0.03585708,0.03585708,0.00000000,completed,structures/reference/4-TS.xyz,
40-P1,esen-sm-conserving-all-omol,fairchem,-12593.919466276093,-462.818003920433,,22,0,2,cuda,1,0.03605242,0.03605242,0.03605242,0.00000000,completed,structures/reference/40-P1.xyz,
40-R1,esen-sm-conserving-all-omol,fairchem,-25115.212274964084,-922.967027402620,,23,0,3,cuda,1,0.03549499,0.03549499,0.03549499,0.00000000,completed,structures/reference/40-R1.xyz,
40-TS,esen-sm-conserving-all-omol,fairchem,-25114.851109766110,-922.953754826401,,23,0,3,cuda,1,0.03453201,0.03453201,0.03453201,0.00000000,completed,structures/reference/40-TS.xyz,
41-P1,esen-sm-conserving-all-omol,fairchem,-22386.988183292997,-822.706641290416,,21,0,2,cuda,1,0.03619566,0.03619566,0.03619566,0.00000000,completed,structures/reference/41-P1.xyz,
41-R1,esen-sm-conserving-all-omol,fairchem,-34908.315747850225,-1282.856942027239,,22,0,3,cuda,1,0.03579073,0.03579073,0.03579073,0.00000000,completed,structures/reference/41-R1.xyz,
41-TS,esen-sm-conserving-all-omol,fairchem,-34908.059619825057,-1282.847529495923,,22,0,3,cuda,1,0.03541519,0.03541519,0.03541519,0.00000000,completed,structures/reference/41-TS.xyz,
42-P1,esen-sm-conserving-all-omol,fairchem,-13860.993958786677,-509.382132666259,,17,0,3,cuda,1,0.03674215,0.03674215,0.03674215,0.00000000,completed,structures/reference/42-P1.xyz,
42-R1,esen-sm-conserving-all-omol,fairchem,-11722.234417916263,-430.784169242556,,11,0,3,cuda,1,0.03613346,0.03613346,0.03613346,0.00000000,completed,structures/reference/42-R1.xyz,
42-TS,esen-sm-conserving-all-omol,fairchem,-13859.601914026229,-509.330975964874,,17,0,3,cuda,1,0.03489580,0.03489580,0.03489580,0.00000000,completed,structures/reference/42-TS.xyz,
43-P1,esen-sm-conserving-all-omol,fairchem,-8291.799674577172,-304.718017657028,,15,0,3,cuda,1,0.03585955,0.03585955,0.03585955,0.00000000,completed,structures/reference/43-P1.xyz,
43-R1,esen-sm-conserving-all-omol,fairchem,-8290.933549333835,-304.686188141416,,15,0,3,cuda,1,0.03539088,0.03539088,0.03539088,0.00000000,completed,structures/reference/43-R1.xyz,
43-TS,esen-sm-conserving-all-omol,fairchem,-8290.421434118107,-304.667368254362,,15,0,3,cuda,1,0.03633284,0.03633284,0.03633284,0.00000000,completed,structures/reference/43-TS.xyz,
44-P1,esen-sm-conserving-all-omol,fairchem,-2981.078013316634,-109.552596342135,,2,0,1,cuda,1,0.03398204,0.03398204,0.03398204,0.00000000,completed,structures/reference/44-P1.xyz,
44-P2,esen-sm-conserving-all-omol,fairchem,-5311.356543173573,-195.188752794859,,13,0,3,cuda,1,0.03542432,0.03542432,0.03542432,0.00000000,completed,structures/reference/44-P2.xyz,
44-TS,esen-sm-conserving-all-omol,fairchem,-8291.695554623791,-304.714191319316,,15,0,3,cuda,1,0.03576504,0.03576504,0.03576504,0.00000000,completed,structures/reference/44-TS.xyz,
45-P1,esen-sm-conserving-all-omol,fairchem,-11500.167151401227,-422.623347720728,,24,0,3,cuda,1,0.03554225,0.03554225,0.03554225,0.00000000,completed,structures/reference/45-P1.xyz,
45-R1,esen-sm-conserving-all-omol,fairchem,-11499.632482959449,-422.603699017904,,24,0,3,cuda,1,0.03602700,0.03602700,0.03602700,0.00000000,completed,structures/reference/45-R1.xyz,
45-TS,esen-sm-conserving-all-omol,fairchem,-11499.033538927799,-422.581688230720,,24,0,3,cuda,1,0.03629608,0.03629608,0.03629608,0.00000000,completed,structures/reference/45-TS.xyz,
46-P1,esen-sm-conserving-all-omol,fairchem,-8520.338985506298,-313.116682424164,,22,0,3,cuda,1,0.03673411,0.03673411,0.03673411,0.00000000,completed,structures/reference/46-P1.xyz,
46-TS,esen-sm-conserving-all-omol,fairchem,-11500.160057232273,-422.623087014828,,24,0,3,cuda,1,0.03585910,0.03585910,0.03585910,0.00000000,completed,structures/reference/46-TS.xyz,
47-P1,esen-sm-conserving-all-omol,fairchem,-8422.439519996160,-309.518943425308,,16,0,3,cuda,1,0.03652609,0.03652609,0.03652609,0.00000000,completed,structures/reference/47-P1.xyz,
47-R1,esen-sm-conserving-all-omol,fairchem,-11403.428851273629,-419.068280762614,,18,0,3,cuda,1,0.03622053,0.03622053,0.03622053,0.00000000,completed,structures/reference/47-R1.xyz,
47-TS,esen-sm-conserving-all-omol,fairchem,-11402.870925581568,-419.047777371606,,18,0,3,cuda,1,0.03498439,0.03498439,0.03498439,0.00000000,completed,structures/reference/47-TS.xyz,
48-P1,esen-sm-conserving-all-omol,fairchem,-25892.375170937310,-951.527237049705,,34,0,3,cuda,1,0.03612267,0.03612267,0.03612267,0.00000000,completed,structures/reference/48-P1.xyz,
48-R1,esen-sm-conserving-all-omol,fairchem,-28872.350770351000,-1061.039320428149,,36,0,3,cuda,1,0.03637337,0.03637337,0.03637337,0.00000000,completed,structures/reference/48-R1.xyz,
