species,model,backend,energy_eV,energy_hartree,max_force_eV_per_A,n_atoms,charge,spin_multiplicity,device,repeats,mean_time_seconds,median_time_seconds,min_time_seconds,stdev_time_seconds,status,input_file,error
1-P1,esen-sm-direct-all-omol,fairchem,-16783.452478949945,-616.780502368727,,28,0,3,cuda,1,0.01392626,0.01392626,0.01392626,0.00000000,completed,structures/reference/1-P1.xyz,
1-R1,esen-sm-direct-all-omol,fairchem,-16783.308795424458,-616.775222096558,,28,0,3,cuda,1,0.01338690,0.01338690,0.01338690,0.00000000,completed,structures/reference/1-R1.xyz,
1-TS,esen-sm-direct-all-omol,fairchem,-16783.022076820205,-616.764685382196,,28,0,3,cuda,1,0.01303364,0.01303364,0.01303364,0.00000000,completed,structures/reference/1-TS.xyz,
10-P1,esen-sm-direct-all-omol,fairchem,-4168.309701815309,-153.182556159919,,6,0,2,cuda,1,0.01330728,0.01330728,0.01330728,0.00000000,completed,structures/reference/10-P1.xyz,
10-P2,esen-sm-direct-all-omol,fairchem,-1083.515354575588,-39.818454847567,,4,0,2,cuda,1,0.01311101,0.01311101,0.01311101,0.00000000,completed,structures/reference/10-P2.xyz,
10-R1,esen-sm-direct-all-omol,fairchem,-5252.305714547841,-193.018674868952,,10,0,3,cuda,1,0.01400422,0.01400422,0.01400422,0.00000000,completed,structures/reference/10-R1.xyz,
10-TS,esen-sm-direct-all-omol,fairchem,-5251.419344729495,-192.986101378931,,10,0,3,cuda,1,0.01334940,0.01334940,0.01334940,0.00000000,completed,structures/reference/10-TS.xyz,
11-P1,esen-sm-direct-all-omol,fairchem,-9385.889489089483,-344.925076739643,,13,0,2,cuda,1,0.01322924,0.01322924,0.01322924,0.00000000,completed,structures/reference/11-P1.xyz,
11-P2,esen-sm-direct-all-omol,fairchem,-5536.210880147564,-203.451997266909,,6,0,2,cuda,1,0.01271269,0.01271269,0.01271269,0.00000000,completed,structures/reference/11-P2.xyz,
11-R1,esen-sm-direct-all-omol,fairchem,-14922.269219330257,-548.383279133027,,19,0,3,cuda,1,0.01294994,0.01294994,0.01294994,0.00000000,completed,structures/reference/11-R1.xyz,
11-TS,esen-sm-direct-all-omol,fairchem,-14921.582591971619,-548.358046043010,,19,0,3,cuda,1,0.01297827,0.01297827,0.01297827,0.00000000,completed,structures/reference/11-TS.xyz,
12-P1,esen-sm-direct-all-omol,fairchem,-21866.848865411965,-803.591873921380,,24,0,3,cuda,1,0.01298369,0.01298369,0.01298369,0.00000000,completed,structures/reference/12-P1.xyz,
12-R1,esen-sm-direct-all-omol,fairchem,-17587.971774992657,-646.346041175532,,12,0,3,cuda,1,0.01295731,0.01295731,0.01295731,0.00000000,completed,structures/reference/12-R1.xyz,
12-R2,esen-sm-direct-all-omol,fairchem,-4277.231250442283,-157.185349242283,,12,0,1,cuda,1,0.01262821,0.01262821,0.01262821,0.00000000,completed,structures/reference/12-R2.xyz,
12-TS,esen-sm-direct-all-omol,fairchem,-21865.137988195936,-803.529000343365,,24,0,3,cuda,1,0.01289484,0.01289484,0.01289484,0.00000000,completed,structures/reference/12-TS.xyz,
13-P1,esen-sm-direct-all-omol,fairchem,-12412.138098172019,-456.137661858445,,18,0,3,cuda,1,0.01285497,0.01285497,0.01285497,0.00000000,completed,structures/reference/13-P1.xyz,
13-R2,esen-sm-direct-all-omol,fairchem,-7158.968437748006,-263.087237564147,,8,0,1,cuda,1,0.01278587,0.01278587,0.01278587,0.00000000,completed,structures/reference/13-R2.xyz,
13-TS,esen-sm-direct-all-omol,fairchem,-12410.722294388972,-456.085632029084,,18,0,3,cuda,1,0.01282850,0.01282850,0.01282850,0.00000000,completed,structures/reference/13-TS.xyz,
14-P1,esen-sm-direct-all-omol,fairchem,-10567.155009820372,-388.335783935976,,23,0,3,cuda,1,0.01288198,0.01288198,0.01288198,0.00000000,completed,structures/reference/14-P1.xyz,
14-R1,esen-sm-direct-all-omol,fairchem,-5252.064741463235,-193.009819271431,,10,0,3,cuda,1,0.01262868,0.01262868,0.01262868,0.00000000,completed,structures/reference/14-R1.xyz,
14-R2,esen-sm-direct-all-omol,fairchem,-5313.135331745622,-195.254122069175,,13,0,1,cuda,1,0.01266770,0.01266770,0.01266770,0.00000000,completed,structures/reference/14-R2.xyz,
14-TS,esen-sm-direct-all-omol,fairchem,-10565.500218479863,-388.274971475870,,23,0,3,cuda,1,0.01282885,0.01282885,0.01282885,0.00000000,completed,structures/reference/14-TS.xyz,
15-P1,esen-sm-direct-all-omol,fairchem,-10475.890137194270,-384.981861728519,,18,0,3,cuda,1,0.01270797,0.01270797,0.01270797,0.00000000,completed,structures/reference/15-P1.xyz,
15-R1,esen-sm-direct-all-omol,fairchem,-8337.320191265719,-306.390865790417,,12,0,3,cuda,1,0.01252089,0.01252089,0.01252089,0.00000000,completed,structures/reference/15-R1.xyz,
