species,model,backend,energy_eV,energy_hartree,max_force_eV_per_A,n_atoms,charge,spin_multiplicity,device,repeats,mean_time_seconds,median_time_seconds,min_time_seconds,stdev_time_seconds,status,input_file,error
1-P1,extra_large,mace,-16783.503393838226,-616.782373456360,,28,0,3,cuda,1,0.35547172,0.35547172,0.35547172,0.00000000,completed,structures/reference/1-P1.xyz,
1-R1,extra_large,mace,-16783.385457929086,-616.778039391639,,28,0,3,cuda,1,0.43358249,0.43358249,0.43358249,0.00000000,completed,structures/reference/1-R1.xyz,
1-TS,extra_large,mace,-16782.957538197606,-616.762313631561,,28,0,3,cuda,1,0.31249228,0.31249228,0.31249228,0.00000000,completed,structures/reference/1-TS.xyz,
10-P1,extra_large,mace,-4168.375550906081,-153.184976069371,,6,0,2,cuda,1,0.37839032,0.37839032,0.37839032,0.00000000,completed,structures/reference/10-P1.xyz,
10-P2,extra_large,mace,-1083.660486440312,-39.823788345222,,4,0,2,cuda,1,0.12323946,0.12323946,0.12323946,0.00000000,completed,structures/reference/10-P2.xyz,
10-R1,extra_large,mace,-5252.204136133297,-193.014941931070,,10,0,3,cuda,1,0.14664073,0.14664073,0.14664073,0.00000000,completed,structures/reference/10-R1.xyz,
10-TS,extra_large,mace,-5251.427133354165,-192.986387605609,,10,0,3,cuda,1,0.04248130,0.04248130,0.04248130,0.00000000,completed,structures/reference/10-TS.xyz,
11-P1,extra_large,mace,-9385.941595562521,-344.926991617208,,13,0,2,cuda,1,0.04814810,0.04814810,0.04814810,0.00000000,completed,structures/reference/11-P1.xyz,
11-P2,extra_large,mace,-5536.141339148325,-203.449441682324,,6,0,2,cuda,1,0.03621837,0.03621837,0.03621837,0.00000000,completed,structures/reference/11-P2.xyz,
11-R1,extra_large,mace,-14922.191851318154,-548.380435911024,,19,0,3,cuda,1,0.06689028,0.06689028,0.06689028,0.00000000,completed,structures/reference/11-R1.xyz,
11-TS,extra_large,mace,-14921.741893063168,-548.363900250146,,19,0,3,cuda,1,0.06692239,0.06692239,0.06692239,0.00000000,completed,structures/reference/11-TS.xyz,
12-P1,extra_large,mace,-21866.922167166675,-803.594567711180,,24,0,3,cuda,1,0.08286503,0.08286503,0.08286503,0.00000000,completed,structures/reference/12-P1.xyz,
12-R1,extra_large,mace,-17587.962536623836,-646.345701671740,,12,0,3,cuda,1,0.04435265,0.04435265,0.04435265,0.00000000,completed,structures/reference/12-R1.xyz,
12-R2,extra_large,mace,-4277.228690208331,-157.185255155421,,12,0,1,cuda,1,0.04551535,0.04551535,0.04551535,0.00000000,completed,structures/reference/12-R2.xyz,
12-TS,extra_large,mace,-21865.206074278190,-803.531502460738,,24,0,3,cuda,1,0.08281063,0.08281063,0.08281063,0.00000000,completed,structures/reference/12-TS.xyz,
13-P1,extra_large,mace,-12412.144213557487,-456.137886594716,,18,0,3,cuda,1,0.06368575,0.06368575,0.06368575,0.00000000,completed,structures/reference/13-P1.xyz,
13-R2,extra_large,mace,-7158.975893015802,-263.087511540185,,8,0,1,cuda,1,0.03969513,0.03969513,0.03969513,0.00000000,completed,structures/reference/13-R2.xyz,
13-TS,extra_large,mace,-12410.878938704642,-456.091388601508,,18,0,3,cuda,1,0.06261677,0.06261677,0.06261677,0.00000000,completed,structures/reference/13-TS.xyz,
14-P1,extra_large,mace,-10567.217493809634,-388.338080180228,,23,0,3,cuda,1,0.07993168,0.07993168,0.07993168,0.00000000,completed,structures/reference/14-P1.xyz,
14-R1,extra_large,mace,-5252.018547510897,-193.008121674994,,10,0,3,cuda,1,0.04205277,0.04205277,0.04205277,0.00000000,completed,structures/reference/14-R1.xyz,
14-R2,extra_large,mace,-5313.134634181080,-195.254096434151,,13,0,1,cuda,1,0.04745273,0.04745273,0.04745273,0.00000000,completed,structures/reference/14-R2.xyz,
14-TS,extra_large,mace,-10565.605589784504,-388.278843799892,,23,0,3,cuda,1,0.07932052,0.07932052,0.07932052,0.00000000,completed,structures/reference/14-TS.xyz,
15-P1,extra_large,mace,-10475.891094091216,-384.981896893833,,18,0,3,cuda,1,0.06411429,0.06411429,0.06411429,0.00000000,completed,structures/reference/15-P1.xyz,
15-R1,extra_large,mace,-8337.384763055526,-306.393238759924,,12,0,3,cuda,1,0.04584695,0.04584695,0.04584695,0.00000000,completed,structures/reference/15-R1.xyz,
15-R2,extra_large,mace,-2137.906674224865,-78.566621152573,,6,0,1,cuda,1,0.04091162,0.04091162,0.04091162,0.00000000,completed,structures/reference/15-R2.xyz,
15-TS,extra_large,mace,-10474.264927586364,-384.922136377035,,18,0,3,cuda,1,0.06365066,0.06365066,0.06365066,0.00000000,completed,structures/reference/15-TS.xyz,
16-P1,extra_large,mace,-12522.939604624626,-460.209542116620,,19,0,3,cuda,1,0.06890561,0.06890561,0.06890561,0.00000000,completed,structures/reference/16-P1.xyz,
16-R1,extra_large,mace,-10384.620325216662,-381.627758003242,,13,0,3,cuda,1,0.04799469,0.04799469,0.04799469,0.00000000,completed,structures/reference/16-R1.xyz,
16-TS,extra_large,mace,-12521.616900057024,-460.160933620322,,19,0,3,cuda,1,0.06739408,0.06739408,0.06739408,0.00000000,completed,structures/reference/16-TS.xyz,
17-P1,extra_large,mace,-17623.452044704769,-647.649917038061,,20,0,3,cuda,1,0.07079948,0.07079948,0.07079948,0.00000000,completed,structures/reference/17-P1.xyz,
17-R2,extra_large,mace,-9285.200028167235,-341.224807300519,,8,0,1,cuda,1,0.03694941,0.03694941,0.03694941,0.00000000,completed,structures/reference/17-R2.xyz,
17-TS,extra_large,mace,-17622.307947132540,-647.607872227779,,20,0,3,cuda,1,0.07075275,0.07075275,0.07075275,0.00000000,completed,structures/reference/17-TS.xyz,
18-P1,extra_large,mace,-15110.192021036817,-555.289314717093,,13,0,3,cuda,1,0.04815817,0.04815817,0.04815817,0.00000000,completed,structures/reference/18-P1.xyz,
18-R1,extra_large,mace,-10832.687885007212,-398.093937114445,,1,0,3,cuda,1,0.03664458,0.03664458,0.03664458,0.00000000,completed,structures/reference/18-R1.xyz,
18-TS,extra_large,mace,-15109.831839579678,-555.276078292683,,13,0,3,cuda,1,0.04768563,0.04768563,0.04768563,0.00000000,completed,structures/reference/18-TS.xyz,
19-P1,extra_large,mace,-15076.710293676408,-554.058883931328,,11,0,3,cuda,1,0.04217842,0.04217842,0.04217842,0.00000000,completed,structures/reference/19-P1.xyz,
19-R2,extra_large,mace,-4243.968059448255,-155.962949519853,,10,0,1,cuda,1,0.04165811,0.04165811,0.04165811,0.00000000,completed,structures/reference/19-R2.xyz,
19-TS,extra_large,mace,-15076.438009295114,-554.048877664877,,11,0,3,cuda,1,0.04220525,0.04220525,0.04220525,0.00000000,completed,structures/reference/19-TS.xyz,
2-P1,extra_large,mace,-16784.129847393495,-616.805395199891,,28,0,3,cuda,1,0.10502351,0.10502351,0.10502351,0.00000000,completed,structures/reference/2-P1.xyz,
2-TS,extra_large,mace,-16783.304723519101,-616.775072456796,,28,0,3,cuda,1,0.10497401,0.10497401,0.10497401,0.00000000,completed,structures/reference/2-TS.xyz,
20-P1,extra_large,mace,-21231.800417839935,-780.254273924406,,14,0,2,cuda,1,0.05116578,0.05116578,0.05116578,0.00000000,completed,structures/reference/20-P1.xyz,
20-P2,extra_large,mace,-6300.713806199481,-231.546961600622,,11,0,2,cuda,1,0.04222072,0.04222072,0.04222072,0.00000000,completed,structures/reference/20-P2.xyz,
20-R1,extra_large,mace,-27532.220505306050,-1011.790441560667,,25,0,3,cuda,1,0.08919314,0.08919314,0.08919314,0.00000000,completed,structures/reference/20-R1.xyz,
20-TS,extra_large,mace,-27531.876781474130,-1011.777809942828,,25,0,3,cuda,1,0.08955301,0.08955301,0.08955301,0.00000000,completed,structures/reference/20-TS.xyz,
21-P1,extra_large,mace,-24886.986518106143,-914.579885535065,,22,0,3,cuda,1,0.07422876,0.07422876,0.07422876,0.00000000,completed,structures/reference/21-P1.xyz,
