species,model,backend,energy_eV,energy_hartree,max_force_eV_per_A,n_atoms,charge,spin_multiplicity,device,repeats,mean_time_seconds,median_time_seconds,min_time_seconds,stdev_time_seconds,status,input_file,error
1-P1,orbmol_v1_conservative,orb,-16783.565405249596,-616.784652333695,,28,0,3,cuda,1,0.01439037,0.01439037,0.01439037,0.00000000,completed,structures/reference/1-P1.xyz,
1-R1,orbmol_v1_conservative,orb,-16783.451586008072,-616.780469553718,,28,0,3,cuda,1,0.01235696,0.01235696,0.01235696,0.00000000,completed,structures/reference/1-R1.xyz,
1-TS,orbmol_v1_conservative,orb,-16783.001294612885,-616.763921650164,,28,0,3,cuda,1,0.06087796,0.06087796,0.06087796,0.00000000,completed,structures/reference/1-TS.xyz,
10-P1,orbmol_v1_conservative,orb,-4168.297936916351,-153.182123807857,,6,0,2,cuda,1,0.01382422,0.01382422,0.01382422,0.00000000,completed,structures/reference/10-P1.xyz,
10-P2,orbmol_v1_conservative,orb,-1083.503223776817,-39.818009048935,,4,0,2,cuda,1,0.01258395,0.01258395,0.01258395,0.00000000,completed,structures/reference/10-P2.xyz,
10-R1,orbmol_v1_conservative,orb,-5252.331725358963,-193.019630748630,,10,0,3,cuda,1,0.01189977,0.01189977,0.01189977,0.00000000,completed,structures/reference/10-R1.xyz,
10-TS,orbmol_v1_conservative,orb,-5251.406863927841,-192.985642717930,,10,0,3,cuda,1,0.01145054,0.01145054,0.01145054,0.00000000,completed,structures/reference/10-TS.xyz,
11-P1,orbmol_v1_conservative,orb,-9385.869999766350,-344.924360520228,,13,0,2,cuda,1,0.01267146,0.01267146,0.01267146,0.00000000,completed,structures/reference/11-P1.xyz,
11-P2,orbmol_v1_conservative,orb,-5536.098746299744,-203.447876424009,,6,0,2,cuda,1,0.01064321,0.01064321,0.01064321,0.00000000,completed,structures/reference/11-P2.xyz,
11-R1,orbmol_v1_conservative,orb,-14922.143917560577,-548.378674377924,,19,0,3,cuda,1,0.01186682,0.01186682,0.01186682,0.00000000,completed,structures/reference/11-R1.xyz,
11-TS,orbmol_v1_conservative,orb,-14921.746034622192,-548.364052449633,,19,0,3,cuda,1,0.01162715,0.01162715,0.01162715,0.00000000,completed,structures/reference/11-TS.xyz,
12-P1,orbmol_v1_conservative,orb,-21866.857153058052,-803.592178486756,,24,0,3,cuda,1,0.01228114,0.01228114,0.01228114,0.00000000,completed,structures/reference/12-P1.xyz,
