species,model,backend,energy_eV,energy_hartree,max_force_eV_per_A,n_atoms,charge,spin_multiplicity,device,repeats,mean_time_seconds,median_time_seconds,min_time_seconds,stdev_time_seconds,status,input_file,error
1-P1,orbmol_v1_direct,orb,-16783.541860973462,-616.783787097506,,28,0,3,cuda,1,0.15319107,0.15319107,0.15319107,0.00000000,completed,structures/reference/1-P1.xyz,
1-R1,orbmol_v1_direct,orb,-16783.417325388407,-616.779210499168,,28,0,3,cuda,1,0.00931140,0.00931140,0.00931140,0.00000000,completed,structures/reference/1-R1.xyz,
1-TS,orbmol_v1_direct,orb,-16782.941104267724,-616.761709695778,,28,0,3,cuda,1,0.05945404,0.05945404,0.05945404,0.00000000,completed,structures/reference/1-TS.xyz,
10-P1,orbmol_v1_direct,orb,-4168.332187624648,-153.183382498171,,6,0,2,cuda,1,0.15280352,0.15280352,0.15280352,0.00000000,completed,structures/reference/10-P1.xyz,
10-P2,orbmol_v1_direct,orb,-1083.563158988953,-39.820211627355,,4,0,2,cuda,1,0.00879185,0.00879185,0.00879185,0.00000000,completed,structures/reference/10-P2.xyz,
10-R1,orbmol_v1_direct,orb,-5252.229643344879,-193.015879303806,,10,0,3,cuda,1,0.01341710,0.01341710,0.01341710,0.00000000,completed,structures/reference/10-R1.xyz,
10-TS,orbmol_v1_direct,orb,-5251.334250242915,-192.982974214229,,10,0,3,cuda,1,0.00932244,0.00932244,0.00932244,0.00000000,completed,structures/reference/10-TS.xyz,
11-P1,orbmol_v1_direct,orb,-9385.928133280948,-344.926496887486,,13,0,2,cuda,1,0.00873541,0.00873541,0.00873541,0.00000000,completed,structures/reference/11-P1.xyz,
11-P2,orbmol_v1_direct,orb,-5536.175821669400,-203.450708891600,,6,0,2,cuda,1,0.00840779,0.00840779,0.00840779,0.00000000,completed,structures/reference/11-P2.xyz,
11-R1,orbmol_v1_direct,orb,-14922.157008007169,-548.379155442963,,19,0,3,cuda,1,0.00859172,0.00859172,0.00859172,0.00000000,completed,structures/reference/11-R1.xyz,
11-TS,orbmol_v1_direct,orb,-14921.619918264449,-548.359417758971,,19,0,3,cuda,1,0.00851403,0.00851403,0.00851403,0.00000000,completed,structures/reference/11-TS.xyz,
12-P1,orbmol_v1_direct,orb,-21866.865802093176,-803.592496332935,,24,0,3,cuda,1,0.00859575,0.00859575,0.00859575,0.00000000,completed,structures/reference/12-P1.xyz,
12-R1,orbmol_v1_direct,orb,-17587.981664700783,-646.346404615602,,12,0,3,cuda,1,0.00845521,0.00845521,0.00845521,0.00000000,completed,structures/reference/12-R1.xyz,
12-R2,orbmol_v1_direct,orb,-4277.228294276632,-157.185240605199,,12,0,1,cuda,1,0.00836762,0.00836762,0.00836762,0.00000000,completed,structures/reference/12-R2.xyz,
12-TS,orbmol_v1_direct,orb,-21865.238823660649,-803.532705978345,,24,0,3,cuda,1,0.00844955,0.00844955,0.00844955,0.00000000,completed,structures/reference/12-TS.xyz,
13-P1,orbmol_v1_direct,orb,-12412.091170787811,-456.135937308884,,18,0,3,cuda,1,0.00849827,0.00849827,0.00849827,0.00000000,completed,structures/reference/13-P1.xyz,
13-R2,orbmol_v1_direct,orb,-7158.970599696040,-263.087317014272,,8,0,1,cuda,1,0.00838852,0.00838852,0.00838852,0.00000000,completed,structures/reference/13-R2.xyz,
13-TS,orbmol_v1_direct,orb,-12410.536370649934,-456.078799457698,,18,0,3,cuda,1,0.00840463,0.00840463,0.00840463,0.00000000,completed,structures/reference/13-TS.xyz,
14-P1,orbmol_v1_direct,orb,-10567.160978210566,-388.336003270270,,23,0,3,cuda,1,0.00846176,0.00846176,0.00846176,0.00000000,completed,structures/reference/14-P1.xyz,
14-R1,orbmol_v1_direct,orb,-5252.056158542633,-193.009503854916,,10,0,3,cuda,1,0.00831978,0.00831978,0.00831978,0.00000000,completed,structures/reference/14-R1.xyz,
14-R2,orbmol_v1_direct,orb,-5313.137304976583,-195.254194584076,,13,0,1,cuda,1,0.00841111,0.00841111,0.00841111,0.00000000,completed,structures/reference/14-R2.xyz,
14-TS,orbmol_v1_direct,orb,-10565.332140631508,-388.268794728870,,23,0,3,cuda,1,0.00840249,0.00840249,0.00840249,0.00000000,completed,structures/reference/14-TS.xyz,
15-P1,orbmol_v1_direct,orb,-10475.861874463852,-384.980823092333,,18,0,3,cuda,1,0.00838579,0.00838579,0.00838579,0.00000000,completed,structures/reference/15-P1.xyz,
15-R1,orbmol_v1_direct,orb,-8337.327344529098,-306.391128667998,,12,0,3,cuda,1,0.00843728,0.00843728,0.00843728,0.00000000,completed,structures/reference/15-R1.xyz,
15-R2,orbmol_v1_direct,orb,-2137.902372488286,-78.566463066669,,6,0,1,cuda,1,0.00962253,0.00962253,0.00962253,0.00000000,completed,structures/reference/15-R2.xyz,
15-TS,orbmol_v1_direct,orb,-10474.055691340007,-384.914447086807,,18,0,3,cuda,1,0.00854960,0.00854960,0.00854960,0.00000000,completed,structures/reference/15-TS.xyz,
16-P1,orbmol_v1_direct,orb,-12522.920238705527,-460.208830432220,,19,0,3,cuda,1,0.00847465,0.00847465,0.00847465,0.00000000,completed,structures/reference/16-P1.xyz,
16-R1,orbmol_v1_direct,orb,-10384.615226580761,-381.627570631829,,13,0,3,cuda,1,0.00852137,0.00852137,0.00852137,0.00000000,completed,structures/reference/16-R1.xyz,
16-TS,orbmol_v1_direct,orb,-12521.392540908419,-460.152688573687,,19,0,3,cuda,1,0.00849555,0.00849555,0.00849555,0.00000000,completed,structures/reference/16-TS.xyz,
17-P1,orbmol_v1_direct,orb,-17623.420632028952,-647.648762643517,,20,0,3,cuda,1,0.00861946,0.00861946,0.00861946,0.00000000,completed,structures/reference/17-P1.xyz,
17-R2,orbmol_v1_direct,orb,-9285.197512283921,-341.224714843512,,8,0,1,cuda,1,0.00840997,0.00840997,0.00840997,0.00000000,completed,structures/reference/17-R2.xyz,
17-TS,orbmol_v1_direct,orb,-17622.009001243860,-647.596886169003,,20,0,3,cuda,1,0.00852685,0.00852685,0.00852685,0.00000000,completed,structures/reference/17-TS.xyz,
18-P1,orbmol_v1_direct,orb,-15110.209088683128,-555.289941941527,,13,0,3,cuda,1,0.00836486,0.00836486,0.00836486,0.00000000,completed,structures/reference/18-P1.xyz,
18-R1,orbmol_v1_direct,orb,-10832.504585981369,-398.087200999490,,1,0,3,cuda,1,0.02697411,0.02697411,0.02697411,0.00000000,completed,structures/reference/18-R1.xyz,
18-TS,orbmol_v1_direct,orb,-15109.920238634222,-555.279326898019,,13,0,3,cuda,1,0.00901341,0.00901341,0.00901341,0.00000000,completed,structures/reference/18-TS.xyz,
19-P1,orbmol_v1_direct,orb,-15076.733380921651,-554.059732371942,,11,0,3,cuda,1,0.00866559,0.00866559,0.00866559,0.00000000,completed,structures/reference/19-P1.xyz,
19-R2,orbmol_v1_direct,orb,-4243.962425017729,-155.962742458351,,10,0,1,cuda,1,0.00840955,0.00840955,0.00840955,0.00000000,completed,structures/reference/19-R2.xyz,
19-TS,orbmol_v1_direct,orb,-15076.499694468454,-554.051144553185,,11,0,3,cuda,1,0.00839203,0.00839203,0.00839203,0.00000000,completed,structures/reference/19-TS.xyz,
2-P1,orbmol_v1_direct,orb,-16784.193890217692,-616.807748730270,,28,0,3,cuda,1,0.00856100,0.00856100,0.00856100,0.00000000,completed,structures/reference/2-P1.xyz,
2-TS,orbmol_v1_direct,orb,-16783.446351891384,-616.780277203478,,28,0,3,cuda,1,0.00859668,0.00859668,0.00859668,0.00000000,completed,structures/reference/2-TS.xyz,
20-P1,orbmol_v1_direct,orb,-21231.707575963810,-780.250862048389,,14,0,2,cuda,1,0.00853710,0.00853710,0.00853710,0.00000000,completed,structures/reference/20-P1.xyz,
20-P2,orbmol_v1_direct,orb,-6300.618713192758,-231.543466997081,,11,0,2,cuda,1,0.00839073,0.00839073,0.00839073,0.00000000,completed,structures/reference/20-P2.xyz,
20-R1,orbmol_v1_direct,orb,-27532.282495547086,-1011.792719660006,,25,0,3,cuda,1,0.00861735,0.00861735,0.00861735,0.00000000,completed,structures/reference/20-R1.xyz,
20-TS,orbmol_v1_direct,orb,-27531.468214383349,-1011.762795379179,,25,0,3,cuda,1,0.00855424,0.00855424,0.00855424,0.00000000,completed,structures/reference/20-TS.xyz,
21-P1,orbmol_v1_direct,orb,-24887.053583327448,-914.582350136489,,22,0,3,cuda,1,0.00856906,0.00856906,0.00856906,0.00000000,completed,structures/reference/21-P1.xyz,
21-R1,orbmol_v1_direct,orb,-24886.502463342622,-914.562096850610,,22,0,3,cuda,1,0.00851007,0.00851007,0.00851007,0.00000000,completed,structures/reference/21-R1.xyz,
21-TS,orbmol_v1_direct,orb,-24886.075829299167,-914.546418338696,,22,0,3,cuda,1,0.00848908,0.00848908,0.00848908,0.00000000,completed,structures/reference/21-TS.xyz,
22-P1,orbmol_v1_direct,orb,-16196.559346768074,-595.212577571496,,28,0,3,cuda,1,0.00858857,0.00858857,0.00858857,0.00000000,completed,structures/reference/22-P1.xyz,
22-R1,orbmol_v1_direct,orb,-16195.917990790214,-595.189008174036,,28,0,3,cuda,1,0.00850660,0.00850660,0.00850660,0.00000000,completed,structures/reference/22-R1.xyz,
22-TS,orbmol_v1_direct,orb,-16195.389677922241,-595.169593034242,,28,0,3,cuda,1,0.00854111,0.00854111,0.00854111,0.00000000,completed,structures/reference/22-TS.xyz,
23-P1,orbmol_v1_direct,orb,-8460.904071807861,-310.932489632178,,19,0,3,cuda,1,0.00851988,0.00851988,0.00851988,0.00000000,completed,structures/reference/23-P1.xyz,
23-R1,orbmol_v1_direct,orb,-8460.764570713043,-310.927363061501,,19,0,3,cuda,1,0.00846123,0.00846123,0.00846123,0.00000000,completed,structures/reference/23-R1.xyz,
23-TS,orbmol_v1_direct,orb,-8460.074539899826,-310.902004896835,,19,0,3,cuda,1,0.00828520,0.00828520,0.00828520,0.00000000,completed,structures/reference/23-TS.xyz,
24-P1,orbmol_v1_direct,orb,-12609.592167737603,-463.393965075805,,23,0,3,cuda,1,0.00811700,0.00811700,0.00811700,0.00000000,completed,structures/reference/24-P1.xyz,
24-R1,orbmol_v1_direct,orb,-12609.141506081680,-463.377403565419,,23,0,3,cuda,1,0.00788734,0.00788734,0.00788734,0.00000000,completed,structures/reference/24-R1.xyz,
24-TS,orbmol_v1_direct,orb,-12608.705805236939,-463.361391854704,,23,0,3,cuda,1,0.00780482,0.00780482,0.00780482,0.00000000,completed,structures/reference/24-TS.xyz,
25-P1,orbmol_v1_direct,orb,-10488.384073740279,-385.441005427890,,18,0,2,cuda,1,0.00807642,0.00807642,0.00807642,0.00000000,completed,structures/reference/25-P1.xyz,
25-R1,orbmol_v1_direct,orb,-10470.117309698835,-384.769714231025,,17,0,3,cuda,1,0.00869480,0.00869480,0.00869480,0.00000000,completed,structures/reference/25-R1.xyz,
25-R2,orbmol_v1_direct,orb,-1101.816918015480,-40.491024898738,,5,0,1,cuda,1,0.00808173,0.00808173,0.00808173,0.00000000,completed,structures/reference/25-R2.xyz,
25-TS,orbmol_v1_direct,orb,-11571.258078825835,-425.235891116421,,22,0,3,cuda,1,0.00809001,0.00809001,0.00809001,0.00000000,completed,structures/reference/25-TS.xyz,
26-P2,orbmol_v1_direct,orb,-3130.610281944275,-115.047805857588,,5,0,2,cuda,1,0.00820020,0.00820020,0.00820020,0.00000000,completed,structures/reference/26-P2.xyz,
26-R2,orbmol_v1_direct,orb,-3148.819649070501,-115.716987756725,,6,0,1,cuda,1,0.00806792,0.00806792,0.00806792,0.00000000,completed,structures/reference/26-R2.xyz,
26-TS,orbmol_v1_direct,orb,-13618.432140736724,-500.468150267229,,23,0,3,cuda,1,0.00777066,0.00777066,0.00777066,0.00000000,completed,structures/reference/26-TS.xyz,
27-P1,orbmol_v1_direct,orb,-2061.059777259827,-75.742549777805,,2,0,2,cuda,1,0.01083595,0.01083595,0.01083595,0.00000000,completed,structures/reference/27-P1.xyz,
27-P2,orbmol_v1_direct,orb,-14945.272120779380,-549.228620169356,,4,0,2,cuda,1,0.00756134,0.00756134,0.00756134,0.00000000,completed,structures/reference/27-P2.xyz,
27-R1,orbmol_v1_direct,orb,-14927.536030562129,-548.576830875826,,3,0,3,cuda,1,0.00756093,0.00756093,0.00756093,0.00000000,completed,structures/reference/27-R1.xyz,
27-R2,orbmol_v1_direct,orb,-2079.864184454083,-76.433598996109,,3,0,1,cuda,1,0.00747981,0.00747981,0.00747981,0.00000000,completed,structures/reference/27-R2.xyz,
27-TS,orbmol_v1_direct,orb,-17006.091953542549,-624.962352149549,,6,0,3,cuda,1,0.00753723,0.00753723,0.00753723,0.00000000,completed,structures/reference/27-TS.xyz,
28-TS,orbmol_v1_direct,orb,-16027.990604273975,-589.017790544835,,8,0,3,cuda,1,0.00751315,0.00751315,0.00751315,0.00000000,completed,structures/reference/28-TS.xyz,
29-P1,orbmol_v1_direct,orb,-4292.481555521488,-157.745787616916,,13,0,2,cuda,1,0.00748607,0.00748607,0.00748607,0.00000000,completed,structures/reference/29-P1.xyz,
29-R1,orbmol_v1_direct,orb,-4310.365793943405,-158.403021256549,,14,0,1,cuda,1,0.00754650,0.00754650,0.00754650,0.00000000,completed,structures/reference/29-R1.xyz,
29-TS,orbmol_v1_direct,orb,-19236.810123417992,-706.939732857389,,17,0,3,cuda,1,0.00768066,0.00768066,0.00768066,0.00000000,completed,structures/reference/29-TS.xyz,
3-P1,orbmol_v1_direct,orb,-22701.125701606274,-834.250982158371,,21,0,3,cuda,1,0.00761899,0.00761899,0.00761899,0.00000000,completed,structures/reference/3-P1.xyz,
3-R1,orbmol_v1_direct,orb,-22700.442906621844,-834.225889905508,,21,0,3,cuda,1,0.00761076,0.00761076,0.00761076,0.00000000,completed,structures/reference/3-R1.xyz,
3-TS,orbmol_v1_direct,orb,-22699.824476238340,-834.203163008102,,21,0,3,cuda,1,0.00763730,0.00763730,0.00763730,0.00000000,completed,structures/reference/3-TS.xyz,
30-P1,orbmol_v1_direct,orb,-3190.031405180460,-117.231491859434,,8,0,2,cuda,1,0.00752659,0.00752659,0.00752659,0.00000000,completed,structures/reference/30-P1.xyz,
30-R1,orbmol_v1_direct,orb,-3207.553073755000,-117.875401302935,,9,0,1,cuda,1,0.00759150,0.00759150,0.00759150,0.00000000,completed,structures/reference/30-R1.xyz,
30-TS,orbmol_v1_direct,orb,-18133.944037323818,-666.410151742911,,12,0,3,cuda,1,0.00797987,0.00797987,0.00797987,0.00000000,completed,structures/reference/30-TS.xyz,
31-P1,orbmol_v1_direct,orb,-20521.076902652741,-754.135666486978,,26,0,3,cuda,1,0.00825351,0.00825351,0.00825351,0.00000000,completed,structures/reference/31-P1.xyz,
31-R1,orbmol_v1_direct,orb,-20520.456978420552,-754.112884691645,,26,0,3,cuda,1,0.00827536,0.00827536,0.00827536,0.00000000,completed,structures/reference/31-R1.xyz,
31-TS,orbmol_v1_direct,orb,-20520.099869553407,-754.099761182834,,26,0,3,cuda,1,0.00794272,0.00794272,0.00794272,0.00000000,completed,structures/reference/31-TS.xyz,
32-P1,orbmol_v1_direct,orb,-15303.059767007828,-562.377073651075,,19,0,3,cuda,1,0.00768616,0.00768616,0.00768616,0.00000000,completed,structures/reference/32-P1.xyz,
32-R1,orbmol_v1_direct,orb,-15302.653809900681,-562.362155002554,,19,0,3,cuda,1,0.00762142,0.00762142,0.00762142,0.00000000,completed,structures/reference/32-R1.xyz,
32-TS,orbmol_v1_direct,orb,-15302.263101100922,-562.347796718995,,19,0,3,cuda,1,0.00758241,0.00758241,0.00758241,0.00000000,completed,structures/reference/32-TS.xyz,
33-P1,orbmol_v1_direct,orb,-18478.394011767581,-679.068454827141,,26,0,3,cuda,1,0.00765704,0.00765704,0.00765704,0.00000000,completed,structures/reference/33-P1.xyz,
33-R1,orbmol_v1_direct,orb,-18478.050585121848,-679.055834130693,,26,0,3,cuda,1,0.00765592,0.00765592,0.00765592,0.00000000,completed,structures/reference/33-R1.xyz,
33-TS,orbmol_v1_direct,orb,-18477.593586856965,-679.039039754223,,26,0,3,cuda,1,0.00762172,0.00762172,0.00762172,0.00000000,completed,structures/reference/33-TS.xyz,
34-P1,orbmol_v1_direct,orb,-31018.087585568428,-1139.893693954739,,28,0,3,cuda,1,0.00755723,0.00755723,0.00755723,0.00000000,completed,structures/reference/34-P1.xyz,
34-R1,orbmol_v1_direct,orb,-31017.702854586059,-1139.879555351917,,28,0,3,cuda,1,0.00766292,0.00766292,0.00766292,0.00000000,completed,structures/reference/34-R1.xyz,
34-TS,orbmol_v1_direct,orb,-31017.278396606445,-1139.863956808874,,28,0,3,cuda,1,0.00767478,0.00767478,0.00767478,0.00000000,completed,structures/reference/34-TS.xyz,
35-P1,orbmol_v1_direct,orb,-88538.104735374451,-3253.715335742161,,28,0,3,cuda,1,0.00762652,0.00762652,0.00762652,0.00000000,completed,structures/reference/35-P1.xyz,
35-R1,orbmol_v1_direct,orb,-88537.730886399469,-3253.701597045734,,28,0,3,cuda,1,0.00767915,0.00767915,0.00767915,0.00000000,completed,structures/reference/35-R1.xyz,
35-TS,orbmol_v1_direct,orb,-88537.297361135483,-3253.685665286137,,28,0,3,cuda,1,0.00771616,0.00771616,0.00771616,0.00000000,completed,structures/reference/35-TS.xyz,
36-P1,orbmol_v1_direct,orb,-29249.645622236072,-1074.904650495290,,23,0,3,cuda,1,0.00764631,0.00764631,0.00764631,0.00000000,completed,structures/reference/36-P1.xyz,
36-R1,orbmol_v1_direct,orb,-29249.000606778020,-1074.880946614414,,23,0,3,cuda,1,0.00763212,0.00763212,0.00763212,0.00000000,completed,structures/reference/36-R1.xyz,
36-TS,orbmol_v1_direct,orb,-29248.616222056793,-1074.866820736454,,23,0,3,cuda,1,0.00761302,0.00761302,0.00761302,0.00000000,completed,structures/reference/36-TS.xyz,
37-P1,orbmol_v1_direct,orb,-20461.246395381051,-751.936935899318,,23,0,3,cuda,1,0.00755253,0.00755253,0.00755253,0.00000000,completed,structures/reference/37-P1.xyz,
37-R1,orbmol_v1_direct,orb,-20460.608773688553,-751.913503734314,,23,0,3,cuda,1,0.00757396,0.00757396,0.00757396,0.00000000,completed,structures/reference/37-R1.xyz,
37-TS,orbmol_v1_direct,orb,-20460.365439883200,-751.904561381905,,23,0,3,cuda,1,0.00761800,0.00761800,0.00761800,0.00000000,completed,structures/reference/37-TS.xyz,
38-P1,orbmol_v1_direct,orb,-9477.496219287161,-348.291561981136,,18,0,2,cuda,1,0.00813659,0.00813659,0.00813659,0.00000000,completed,structures/reference/38-P1.xyz,
38-P2,orbmol_v1_direct,orb,-12520.683690905571,-460.126638816558,,1,0,2,cuda,1,0.00705435,0.00705435,0.00705435,0.00000000,completed,structures/reference/38-P2.xyz,
38-R1,orbmol_v1_direct,orb,-21998.560955385212,-808.432203950236,,19,0,3,cuda,1,0.00808067,0.00808067,0.00808067,0.00000000,completed,structures/reference/38-R1.xyz,
38-TS,orbmol_v1_direct,orb,-21998.336365984404,-808.423950441988,,19,0,3,cuda,1,0.00769160,0.00769160,0.00769160,0.00000000,completed,structures/reference/38-TS.xyz,
39-P2,orbmol_v1_direct,orb,-70041.266946196556,-2573.969084596832,,1,0,2,cuda,1,0.00643644,0.00643644,0.00643644,0.00000000,completed,structures/reference/39-P2.xyz,
39-R1,orbmol_v1_direct,orb,-79518.660749805509,-2922.256882871214,,19,0,3,cuda,1,0.00757557,0.00757557,0.00757557,0.00000000,completed,structures/reference/39-R1.xyz,
