species,model,backend,energy_eV,energy_hartree,max_force_eV_per_A,n_atoms,charge,spin_multiplicity,device,repeats,mean_time_seconds,median_time_seconds,min_time_seconds,stdev_time_seconds,status,input_file,error
1-P1,orbmol_v2,orb,-16783.583018302917,-616.785299601466,,28,0,3,cuda,1,0.01844292,0.01844292,0.01844292,0.00000000,completed,structures/reference/1-P1.xyz,
1-R1,orbmol_v2,orb,-16783.527721881866,-616.783267495474,,28,0,3,cuda,1,0.01549673,0.01549673,0.01549673,0.00000000,completed,structures/reference/1-R1.xyz,
1-TS,orbmol_v2,orb,-16783.227793693542,-616.772245337851,,28,0,3,cuda,1,0.01498217,0.01498217,0.01498217,0.00000000,completed,structures/reference/1-TS.xyz,
10-P1,orbmol_v2,orb,-4168.325731277466,-153.183145231788,,6,0,2,cuda,1,0.01517181,0.01517181,0.01517181,0.00000000,completed,structures/reference/10-P1.xyz,
10-P2,orbmol_v2,orb,-1083.532753944397,-39.819094262577,,4,0,2,cuda,1,0.01459664,0.01459664,0.01459664,0.00000000,completed,structures/reference/10-P2.xyz,
10-R1,orbmol_v2,orb,-5252.410567760468,-193.022528153444,,10,0,3,cuda,1,0.06288123,0.06288123,0.06288123,0.00000000,completed,structures/reference/10-R1.xyz,
10-TS,orbmol_v2,orb,-5251.474822282791,-192.988140141411,,10,0,3,cuda,1,0.01564268,0.01564268,0.01564268,0.00000000,completed,structures/reference/10-TS.xyz,
11-P1,orbmol_v2,orb,-9385.867912054062,-344.924283798217,,13,0,2,cuda,1,0.01600362,0.01600362,0.01600362,0.00000000,completed,structures/reference/11-P1.xyz,
11-P2,orbmol_v2,orb,-5536.182217597961,-203.450943937640,,6,0,2,cuda,1,0.01525390,0.01525390,0.01525390,0.00000000,completed,structures/reference/11-P2.xyz,
11-R1,orbmol_v2,orb,-14922.226146221161,-548.381696225464,,19,0,3,cuda,1,0.01614047,0.01614047,0.01614047,0.00000000,completed,structures/reference/11-R1.xyz,
11-TS,orbmol_v2,orb,-14921.703562736511,-548.362491636623,,19,0,3,cuda,1,0.01482379,0.01482379,0.01482379,0.00000000,completed,structures/reference/11-TS.xyz,
12-P1,orbmol_v2,orb,-21866.892050683498,-803.593460950837,,24,0,3,cuda,1,0.01500585,0.01500585,0.01500585,0.00000000,completed,structures/reference/12-P1.xyz,
12-R1,orbmol_v2,orb,-17588.029652595520,-646.348168138206,,12,0,3,cuda,1,0.01529539,0.01529539,0.01529539,0.00000000,completed,structures/reference/12-R1.xyz,
12-R2,orbmol_v2,orb,-4277.230800807476,-157.185332718509,,12,0,1,cuda,1,0.01511583,0.01511583,0.01511583,0.00000000,completed,structures/reference/12-R2.xyz,
12-TS,orbmol_v2,orb,-21865.303834199905,-803.535095071597,,24,0,3,cuda,1,0.01473125,0.01473125,0.01473125,0.00000000,completed,structures/reference/12-TS.xyz,
13-P1,orbmol_v2,orb,-12412.146296024323,-456.137963123961,,18,0,3,cuda,1,0.01530941,0.01530941,0.01530941,0.00000000,completed,structures/reference/13-P1.xyz,
13-R2,orbmol_v2,orb,-7158.973000764847,-263.087405251923,,8,0,1,cuda,1,0.01529372,0.01529372,0.01529372,0.00000000,completed,structures/reference/13-R2.xyz,
13-TS,orbmol_v2,orb,-12410.722034454346,-456.085622476663,,18,0,3,cuda,1,0.01496292,0.01496292,0.01496292,0.00000000,completed,structures/reference/13-TS.xyz,
14-P1,orbmol_v2,orb,-10567.147076129913,-388.335492378229,,23,0,3,cuda,1,0.01492547,0.01492547,0.01492547,0.00000000,completed,structures/reference/14-P1.xyz,
14-R1,orbmol_v2,orb,-5252.011866331100,-193.007876146165,,10,0,3,cuda,1,0.01546412,0.01546412,0.01546412,0.00000000,completed,structures/reference/14-R1.xyz,
14-R2,orbmol_v2,orb,-5313.135788619518,-195.254138858981,,13,0,1,cuda,1,0.01492574,0.01492574,0.01492574,0.00000000,completed,structures/reference/14-R2.xyz,
14-TS,orbmol_v2,orb,-10565.648385047913,-388.280416496815,,23,0,3,cuda,1,0.01519242,0.01519242,0.01519242,0.00000000,completed,structures/reference/14-TS.xyz,
15-P1,orbmol_v2,orb,-10475.872669696808,-384.981219809827,,18,0,3,cuda,1,0.01467927,0.01467927,0.01467927,0.00000000,completed,structures/reference/15-P1.xyz,
15-R1,orbmol_v2,orb,-8337.345847606659,-306.391808643556,,12,0,3,cuda,1,0.01438951,0.01438951,0.01438951,0.00000000,completed,structures/reference/15-R1.xyz,
15-R2,orbmol_v2,orb,-2137.903777182102,-78.566514688215,,6,0,1,cuda,1,0.02113577,0.02113577,0.02113577,0.00000000,completed,structures/reference/15-R2.xyz,
15-TS,orbmol_v2,orb,-10474.358746051788,-384.925584142047,,18,0,3,cuda,1,0.01571210,0.01571210,0.01571210,0.00000000,completed,structures/reference/15-TS.xyz,
16-P1,orbmol_v2,orb,-12522.920052528381,-460.208823590336,,19,0,3,cuda,1,0.01594807,0.01594807,0.01594807,0.00000000,completed,structures/reference/16-P1.xyz,
16-R1,orbmol_v2,orb,-10384.656808376312,-381.629098734630,,13,0,3,cuda,1,0.01625504,0.01625504,0.01625504,0.00000000,completed,structures/reference/16-R1.xyz,
16-TS,orbmol_v2,orb,-12521.650168895721,-460.162156227594,,19,0,3,cuda,1,0.01538286,0.01538286,0.01538286,0.00000000,completed,structures/reference/16-TS.xyz,
17-P1,orbmol_v2,orb,-17623.407993078232,-647.648298170645,,20,0,3,cuda,1,0.01511702,0.01511702,0.01511702,0.00000000,completed,structures/reference/17-P1.xyz,
17-R2,orbmol_v2,orb,-9285.199636220932,-341.224792896758,,8,0,1,cuda,1,0.01631253,0.01631253,0.01631253,0.00000000,completed,structures/reference/17-R2.xyz,
17-TS,orbmol_v2,orb,-17622.395733356476,-647.611098312005,,20,0,3,cuda,1,0.01492997,0.01492997,0.01492997,0.00000000,completed,structures/reference/17-TS.xyz,
