species,model,backend,energy_eV,energy_hartree,max_force_eV_per_A,n_atoms,charge,spin_multiplicity,device,repeats,mean_time_seconds,median_time_seconds,min_time_seconds,stdev_time_seconds,status,input_file,error
1-P1,polar-1-l,mace,-16783.486998169596,-616.781770926651,,28,0,3,cuda,1,0.49959145,0.49959145,0.49959145,0.00000000,completed,structures/reference/1-P1.xyz,
1-R1,polar-1-l,mace,-16783.502146029445,-616.782327600233,,28,0,3,cuda,1,0.59129105,0.59129105,0.59129105,0.00000000,completed,structures/reference/1-R1.xyz,
1-TS,polar-1-l,mace,-16782.987319161421,-616.763408061795,,28,0,3,cuda,1,0.42349104,0.42349104,0.42349104,0.00000000,completed,structures/reference/1-TS.xyz,
10-P1,polar-1-l,mace,-4168.304804753905,-153.182376196232,,6,0,2,cuda,1,0.47284808,0.47284808,0.47284808,0.00000000,completed,structures/reference/10-P1.xyz,
10-P2,polar-1-l,mace,-1083.493720567915,-39.817659812449,,4,0,2,cuda,1,0.21964244,0.21964244,0.21964244,0.00000000,completed,structures/reference/10-P2.xyz,
10-R1,polar-1-l,mace,-5252.148546426086,-193.012899047010,,10,0,3,cuda,1,0.28293865,0.28293865,0.28293865,0.00000000,completed,structures/reference/10-R1.xyz,
10-TS,polar-1-l,mace,-5251.462270823121,-192.987678883776,,10,0,3,cuda,1,0.17145988,0.17145988,0.17145988,0.00000000,completed,structures/reference/10-TS.xyz,
11-P1,polar-1-l,mace,-9385.841170030977,-344.923301046995,,13,0,2,cuda,1,0.13624635,0.13624635,0.13624635,0.00000000,completed,structures/reference/11-P1.xyz,
11-P2,polar-1-l,mace,-5536.085277864021,-203.447381468125,,6,0,2,cuda,1,0.14162147,0.14162147,0.14162147,0.00000000,completed,structures/reference/11-P2.xyz,
11-R1,polar-1-l,mace,-14922.254514402390,-548.382738736896,,19,0,3,cuda,1,0.16227948,0.16227948,0.16227948,0.00000000,completed,structures/reference/11-R1.xyz,
