species,model,backend,energy_eV,energy_hartree,max_force_eV_per_A,n_atoms,charge,spin_multiplicity,device,repeats,mean_time_seconds,median_time_seconds,min_time_seconds,stdev_time_seconds,status,input_file,error
1-P1,polar-1-m,mace,-16783.453436082556,-616.780537542702,,28,0,3,cuda,1,0.36893323,0.36893323,0.36893323,0.00000000,completed,structures/reference/1-P1.xyz,
1-R1,polar-1-m,mace,-16783.394618499286,-616.778376036384,,28,0,3,cuda,1,0.42402861,0.42402861,0.42402861,0.00000000,completed,structures/reference/1-R1.xyz,
1-TS,polar-1-m,mace,-16782.888435945446,-616.759774170634,,28,0,3,cuda,1,0.31673289,0.31673289,0.31673289,0.00000000,completed,structures/reference/1-TS.xyz,
10-P1,polar-1-m,mace,-4168.265502891390,-153.180931879424,,6,0,2,cuda,1,0.41391088,0.41391088,0.41391088,0.00000000,completed,structures/reference/10-P1.xyz,
10-P2,polar-1-m,mace,-1083.484676233825,-39.817327439302,,4,0,2,cuda,1,0.11127487,0.11127487,0.11127487,0.00000000,completed,structures/reference/10-P2.xyz,
10-R1,polar-1-m,mace,-5252.166236426887,-193.013549142549,,10,0,3,cuda,1,0.12397879,0.12397879,0.12397879,0.00000000,completed,structures/reference/10-R1.xyz,
10-TS,polar-1-m,mace,-5251.422577062859,-192.986220164991,,10,0,3,cuda,1,0.08023961,0.08023961,0.08023961,0.00000000,completed,structures/reference/10-TS.xyz,
11-P1,polar-1-m,mace,-9385.838909688500,-344.923217980941,,13,0,2,cuda,1,0.06806144,0.06806144,0.06806144,0.00000000,completed,structures/reference/11-P1.xyz,
11-P2,polar-1-m,mace,-5535.943716667094,-203.442179190092,,6,0,2,cuda,1,0.07218295,0.07218295,0.07218295,0.00000000,completed,structures/reference/11-P2.xyz,
11-R1,polar-1-m,mace,-14922.239457358597,-548.382185400742,,19,0,3,cuda,1,0.07954233,0.07954233,0.07954233,0.00000000,completed,structures/reference/11-R1.xyz,
