species,model,backend,energy_eV,energy_hartree,max_force_eV_per_A,n_atoms,charge,spin_multiplicity,device,repeats,mean_time_seconds,median_time_seconds,min_time_seconds,stdev_time_seconds,status,input_file,error
1-P1,polar-1-s,mace,-16783.324152409576,-616.775786455351,,28,0,3,cuda,1,0.28701622,0.28701622,0.28701622,0.00000000,completed,structures/reference/1-P1.xyz,
1-R1,polar-1-s,mace,-16783.174320280679,-616.770280226174,,28,0,3,cuda,1,0.37909042,0.37909042,0.37909042,0.00000000,completed,structures/reference/1-R1.xyz,
1-TS,polar-1-s,mace,-16782.881148191376,-616.759506350611,,28,0,3,cuda,1,0.28587895,0.28587895,0.28587895,0.00000000,completed,structures/reference/1-TS.xyz,
10-P1,polar-1-s,mace,-4168.234436911601,-153.179790225724,,6,0,2,cuda,1,0.39727423,0.39727423,0.39727423,0.00000000,completed,structures/reference/10-P1.xyz,
10-P2,polar-1-s,mace,-1083.460266762982,-39.816430407794,,4,0,2,cuda,1,0.06404936,0.06404936,0.06404936,0.00000000,completed,structures/reference/10-P2.xyz,
10-R1,polar-1-s,mace,-5252.177411733334,-193.013959827486,,10,0,3,cuda,1,0.07191586,0.07191586,0.07191586,0.00000000,completed,structures/reference/10-R1.xyz,
10-TS,polar-1-s,mace,-5251.459374271934,-192.987572437483,,10,0,3,cuda,1,0.04731949,0.04731949,0.04731949,0.00000000,completed,structures/reference/10-TS.xyz,
11-P1,polar-1-s,mace,-9385.686207498247,-344.917606278955,,13,0,2,cuda,1,0.04595303,0.04595303,0.04595303,0.00000000,completed,structures/reference/11-P1.xyz,
11-P2,polar-1-s,mace,-5535.844279342703,-203.438524935822,,6,0,2,cuda,1,0.04255301,0.04255301,0.04255301,0.00000000,completed,structures/reference/11-P2.xyz,
11-R1,polar-1-s,mace,-14921.976637964162,-548.372526966142,,19,0,3,cuda,1,0.04277070,0.04277070,0.04277070,0.00000000,completed,structures/reference/11-R1.xyz,
11-TS,polar-1-s,mace,-14921.450245767808,-548.353182409728,,19,0,3,cuda,1,0.04348770,0.04348770,0.04348770,0.00000000,completed,structures/reference/11-TS.xyz,
12-P1,polar-1-s,mace,-21866.626434738726,-803.583699744908,,24,0,3,cuda,1,0.04345698,0.04345698,0.04345698,0.00000000,completed,structures/reference/12-P1.xyz,
12-R1,polar-1-s,mace,-17587.666983506773,-646.334840295021,,12,0,3,cuda,1,0.04114465,0.04114465,0.04114465,0.00000000,completed,structures/reference/12-R1.xyz,
12-R2,polar-1-s,mace,-4277.223058855376,-157.185048207017,,12,0,1,cuda,1,0.03974163,0.03974163,0.03974163,0.00000000,completed,structures/reference/12-R2.xyz,
12-TS,polar-1-s,mace,-21864.464105909337,-803.504235626107,,24,0,3,cuda,1,0.04576306,0.04576306,0.04576306,0.00000000,completed,structures/reference/12-TS.xyz,
13-P1,polar-1-s,mace,-12412.023966984025,-456.133467614647,,18,0,3,cuda,1,0.04066726,0.04066726,0.04066726,0.00000000,completed,structures/reference/13-P1.xyz,
