species,model,backend,energy_eV,energy_hartree,max_force_eV_per_A,n_atoms,charge,spin_multiplicity,device,repeats,mean_time_seconds,median_time_seconds,min_time_seconds,stdev_time_seconds,status,input_file,error
1-P1,uma-m-1p1,fairchem,-16783.557148320186,-616.784348897136,,28,0,3,cuda,1,0.10653535,0.10653535,0.10653535,0.00000000,completed,structures/reference/1-P1.xyz,
1-R1,uma-m-1p1,fairchem,-16783.555179533207,-616.784276545549,,28,0,3,cuda,1,0.10944411,0.10944411,0.10944411,0.00000000,completed,structures/reference/1-R1.xyz,
1-TS,uma-m-1p1,fairchem,-16783.158362224545,-616.769693778428,,28,0,3,cuda,1,0.10864425,0.10864425,0.10864425,0.00000000,completed,structures/reference/1-TS.xyz,
10-P1,uma-m-1p1,fairchem,-4168.319307989434,-153.182909180307,,6,0,2,cuda,1,0.11350024,0.11350024,0.11350024,0.00000000,completed,structures/reference/10-P1.xyz,
10-P2,uma-m-1p1,fairchem,-1083.502582287930,-39.817985474653,,4,0,2,cuda,1,0.10544704,0.10544704,0.10544704,0.00000000,completed,structures/reference/10-P2.xyz,
10-R1,uma-m-1p1,fairchem,-5252.191597074472,-193.014481129158,,10,0,3,cuda,1,0.10492311,0.10492311,0.10492311,0.00000000,completed,structures/reference/10-R1.xyz,
10-TS,uma-m-1p1,fairchem,-5251.447131743498,-192.987122532861,,10,0,3,cuda,1,0.10512176,0.10512176,0.10512176,0.00000000,completed,structures/reference/10-TS.xyz,
11-P1,uma-m-1p1,fairchem,-9385.887148667520,-344.924990730722,,13,0,2,cuda,1,0.11038610,0.11038610,0.11038610,0.00000000,completed,structures/reference/11-P1.xyz,
11-P2,uma-m-1p1,fairchem,-5536.175282058149,-203.450689061253,,6,0,2,cuda,1,0.10522784,0.10522784,0.10522784,0.00000000,completed,structures/reference/11-P2.xyz,
11-R1,uma-m-1p1,fairchem,-14922.238188142357,-548.382138757906,,19,0,3,cuda,1,0.10616113,0.10616113,0.10616113,0.00000000,completed,structures/reference/11-R1.xyz,
11-TS,uma-m-1p1,fairchem,-14921.749203671714,-548.364168910055,,19,0,3,cuda,1,0.10428972,0.10428972,0.10428972,0.00000000,completed,structures/reference/11-TS.xyz,
12-P1,uma-m-1p1,fairchem,-21866.882810191091,-803.593121369004,,24,0,3,cuda,1,0.10098733,0.10098733,0.10098733,0.00000000,completed,structures/reference/12-P1.xyz,
12-R1,uma-m-1p1,fairchem,-17588.028307261840,-646.348118698105,,12,0,3,cuda,1,0.10378466,0.10378466,0.10378466,0.00000000,completed,structures/reference/12-R1.xyz,
12-R2,uma-m-1p1,fairchem,-4277.227650082766,-157.185216931511,,12,0,1,cuda,1,0.10250178,0.10250178,0.10250178,0.00000000,completed,structures/reference/12-R2.xyz,
12-TS,uma-m-1p1,fairchem,-21865.276134415381,-803.534077123291,,24,0,3,cuda,1,0.10298885,0.10298885,0.10298885,0.00000000,completed,structures/reference/12-TS.xyz,
13-P1,uma-m-1p1,fairchem,-12412.138239146479,-456.137667039161,,18,0,3,cuda,1,0.10483056,0.10483056,0.10483056,0.00000000,completed,structures/reference/13-P1.xyz,
13-R2,uma-m-1p1,fairchem,-7158.971761903742,-263.087359724617,,8,0,1,cuda,1,0.09701678,0.09701678,0.09701678,0.00000000,completed,structures/reference/13-R2.xyz,
13-TS,uma-m-1p1,fairchem,-12410.784486675479,-456.087917553458,,18,0,3,cuda,1,0.09555829,0.09555829,0.09555829,0.00000000,completed,structures/reference/13-TS.xyz,
14-P1,uma-m-1p1,fairchem,-10567.172773412438,-388.336436735943,,23,0,3,cuda,1,0.09608469,0.09608469,0.09608469,0.00000000,completed,structures/reference/14-P1.xyz,
14-R1,uma-m-1p1,fairchem,-5252.013936877301,-193.007952237334,,10,0,3,cuda,1,0.10003052,0.10003052,0.10003052,0.00000000,completed,structures/reference/14-R1.xyz,
14-R2,uma-m-1p1,fairchem,-5313.132759175144,-195.254027528954,,13,0,1,cuda,1,0.09695304,0.09695304,0.09695304,0.00000000,completed,structures/reference/14-R2.xyz,
14-TS,uma-m-1p1,fairchem,-10565.813205492168,-388.286473536422,,23,0,3,cuda,1,0.09594664,0.09594664,0.09594664,0.00000000,completed,structures/reference/14-TS.xyz,
15-P1,uma-m-1p1,fairchem,-10475.869527547711,-384.981104337977,,18,0,3,cuda,1,0.09518071,0.09518071,0.09518071,0.00000000,completed,structures/reference/15-P1.xyz,
15-R1,uma-m-1p1,fairchem,-8337.380757823095,-306.393091570348,,12,0,3,cuda,1,0.09522665,0.09522665,0.09522665,0.00000000,completed,structures/reference/15-R1.xyz,
15-R2,uma-m-1p1,fairchem,-2137.902942309713,-78.566484007220,,6,0,1,cuda,1,0.09493454,0.09493454,0.09493454,0.00000000,completed,structures/reference/15-R2.xyz,
15-TS,uma-m-1p1,fairchem,-10474.387564140194,-384.926643187262,,18,0,3,cuda,1,0.09555298,0.09555298,0.09555298,0.00000000,completed,structures/reference/15-TS.xyz,
16-P1,uma-m-1p1,fairchem,-12522.948471522286,-460.209867969099,,19,0,3,cuda,1,0.09718194,0.09718194,0.09718194,0.00000000,completed,structures/reference/16-P1.xyz,
16-R1,uma-m-1p1,fairchem,-10384.642135096477,-381.628559501542,,13,0,3,cuda,1,0.09625402,0.09625402,0.09625402,0.00000000,completed,structures/reference/16-R1.xyz,
16-TS,uma-m-1p1,fairchem,-12521.724965198740,-460.164904941031,,19,0,3,cuda,1,0.09675655,0.09675655,0.09675655,0.00000000,completed,structures/reference/16-TS.xyz,
17-P1,uma-m-1p1,fairchem,-17623.456108299037,-647.650066372396,,20,0,3,cuda,1,0.10053853,0.10053853,0.10053853,0.00000000,completed,structures/reference/17-P1.xyz,
17-R2,uma-m-1p1,fairchem,-9285.196888163657,-341.224691907515,,8,0,1,cuda,1,0.10013345,0.10013345,0.10013345,0.00000000,completed,structures/reference/17-R2.xyz,
17-TS,uma-m-1p1,fairchem,-17622.348302828021,-647.609355272234,,20,0,3,cuda,1,0.09676708,0.09676708,0.09676708,0.00000000,completed,structures/reference/17-TS.xyz,
18-P1,uma-m-1p1,fairchem,-15110.178864104653,-555.288831208754,,13,0,3,cuda,1,0.09607988,0.09607988,0.09607988,0.00000000,completed,structures/reference/18-P1.xyz,
18-R1,uma-m-1p1,fairchem,-10832.622070312500,-398.091518469025,,1,0,3,cuda,1,0.00125452,0.00125452,0.00125452,0.00000000,completed,structures/reference/18-R1.xyz,
18-TS,uma-m-1p1,fairchem,-15109.790007967322,-555.274541009284,,13,0,3,cuda,1,0.09518889,0.09518889,0.09518889,0.00000000,completed,structures/reference/18-TS.xyz,
19-P1,uma-m-1p1,fairchem,-15076.731008947929,-554.059645203515,,11,0,3,cuda,1,0.09575115,0.09575115,0.09575115,0.00000000,completed,structures/reference/19-P1.xyz,
19-R2,uma-m-1p1,fairchem,-4243.963189911792,-155.962770567689,,10,0,1,cuda,1,0.09417337,0.09417337,0.09417337,0.00000000,completed,structures/reference/19-R2.xyz,
