species,model,backend,energy_eV,energy_hartree,max_force_eV_per_A,n_atoms,charge,spin_multiplicity,device,repeats,mean_time_seconds,median_time_seconds,min_time_seconds,stdev_time_seconds,status,input_file,error
1-P1,uma-s-1p1,fairchem,-16783.533198603567,-616.783468761284,,28,0,3,cuda,1,0.04741826,0.04741826,0.04741826,0.00000000,completed,structures/reference/1-P1.xyz,
1-R1,uma-s-1p1,fairchem,-16783.420881048536,-616.779341167268,,28,0,3,cuda,1,0.04481655,0.04481655,0.04481655,0.00000000,completed,structures/reference/1-R1.xyz,
1-TS,uma-s-1p1,fairchem,-16783.021327233426,-616.764657835390,,28,0,3,cuda,1,0.04848411,0.04848411,0.04848411,0.00000000,completed,structures/reference/1-TS.xyz,
10-P1,uma-s-1p1,fairchem,-4168.327177756752,-153.183198388922,,6,0,2,cuda,1,0.04453999,0.04453999,0.04453999,0.00000000,completed,structures/reference/10-P1.xyz,
10-P2,uma-s-1p1,fairchem,-1083.532567655052,-39.819087416570,,4,0,2,cuda,1,0.04426401,0.04426401,0.04426401,0.00000000,completed,structures/reference/10-P2.xyz,
10-R1,uma-s-1p1,fairchem,-5252.216691364908,-193.015403327322,,10,0,3,cuda,1,0.04433061,0.04433061,0.04433061,0.00000000,completed,structures/reference/10-R1.xyz,
10-TS,uma-s-1p1,fairchem,-5251.434005760552,-192.986640161885,,10,0,3,cuda,1,0.04436566,0.04436566,0.04436566,0.00000000,completed,structures/reference/10-TS.xyz,
11-P1,uma-s-1p1,fairchem,-9385.879370467223,-344.924704887134,,13,0,2,cuda,1,0.04852413,0.04852413,0.04852413,0.00000000,completed,structures/reference/11-P1.xyz,
11-P2,uma-s-1p1,fairchem,-5536.169074826005,-203.450460949679,,6,0,2,cuda,1,0.04379758,0.04379758,0.04379758,0.00000000,completed,structures/reference/11-P2.xyz,
11-R1,uma-s-1p1,fairchem,-14922.160962524338,-548.379300768789,,19,0,3,cuda,1,0.04388337,0.04388337,0.04388337,0.00000000,completed,structures/reference/11-R1.xyz,
11-TS,uma-s-1p1,fairchem,-14921.698215708637,-548.362295136973,,19,0,3,cuda,1,0.04333042,0.04333042,0.04333042,0.00000000,completed,structures/reference/11-TS.xyz,
12-P1,uma-s-1p1,fairchem,-21866.864051289253,-803.592431992077,,24,0,3,cuda,1,0.04434076,0.04434076,0.04434076,0.00000000,completed,structures/reference/12-P1.xyz,
