species,charge,multiplicity,xyz_file,comment
1-P1,0,3,structures/reference/1-P1.xyz,cyc3-trip-i1-wb97xd0
1-R1,0,3,structures/reference/1-R1.xyz,cyc3-trip-r1-wb97xd0
1-TS,0,3,structures/reference/1-TS.xyz,cyc3-trip-ts1-wb97xd0
10-P1,0,2,structures/reference/10-P1.xyz,frag1-p1-doublet-wb97xd0
10-P2,0,2,structures/reference/10-P2.xyz,methyl-doublet-wb97xd0
10-R1,0,3,structures/reference/10-R1.xyz,acetone-triplet-wb97xd0
10-TS,0,3,structures/reference/10-TS.xyz,frag1-ts1-triplet-wb97xd-c10
11-P1,0,2,structures/reference/11-P1.xyz,frag4-p1-doublet-wb97xd0
11-P2,0,2,structures/reference/11-P2.xyz,frag4-p2-doublet-wb97xd0
11-R1,0,3,structures/reference/11-R1.xyz,FRAG34-R1_rdkit_conf_2_wb97xd0_triplet
11-TS,0,3,structures/reference/11-TS.xyz,frag4-ts1-triplet-c8-wb97xd0
12-P1,0,3,structures/reference/12-P1.xyz,N7-P1_rdkit_conf_4_wb97xd0_triplet
12-R1,0,3,structures/reference/12-R1.xyz,n7-i1-triplet0
12-R2,0,1,structures/reference/12-R2.xyz,n7-r2-singlet0
12-TS,0,3,structures/reference/12-TS.xyz,n6-ts2-triplet-conf30
13-P1,0,3,structures/reference/13-P1.xyz,CA2-P1_rdkit_conf_2_wb97xd0_triplet
13-R2,0,1,structures/reference/13-R2.xyz,dicyanoethene-singlet-wb97xd0
13-TS,0,3,structures/reference/13-TS.xyz,ca2-ts1-triplet-wb97xd0
14-P1,0,3,structures/reference/14-P1.xyz,CA3-P1_rdkit_conf_2_wb97xd0_triplets
14-R1,0,3,structures/reference/14-R1.xyz,CA3-R1_rdkit_conf_2_wb97xd-triplet0
14-R2,0,1,structures/reference/14-R2.xyz,dimethylallene-singlet-wb97xd0
14-TS,0,3,structures/reference/14-TS.xyz,ca3-ts1-triplet-wb97xd-conf90
15-P1,0,3,structures/reference/15-P1.xyz,CA8-P1_rdkit_conf_4_wb97xd0_triplet
15-R1,0,3,structures/reference/15-R1.xyz,ca8-r1-triplet-wb97xd-r0
15-R2,0,1,structures/reference/15-R2.xyz,ethene-neutral-wb97xd0_singlet
15-TS,0,3,structures/reference/15-TS.xyz,ca8-ts1-triplet-unfrz-cx20
16-P1,0,3,structures/reference/16-P1.xyz,ca9-p1-triplet-wb97xd0
16-R1,0,3,structures/reference/16-R1.xyz,ca9-r1-triplet-wb97xd0
16-TS,0,3,structures/reference/16-TS.xyz,ca9-ts1-triplet-conf30
17-P1,0,3,structures/reference/17-P1.xyz,CA11-P1_rdkit_conf_2_wb97xd0_triplet
17-R2,0,1,structures/reference/17-R2.xyz,ca11-r2-neutral-wb97xd0_singlet
17-TS,0,3,structures/reference/17-TS.xyz,ca11-ts1-triplet-conf30
18-P1,0,3,structures/reference/18-P1.xyz,S1-P1_rdkit_conf_1_wb97xd0_triplet
18-R1,0,3,structures/reference/18-R1.xyz,sulfur-triplet-wb97xd0
18-TS,0,3,structures/reference/18-TS.xyz,s1-ts1-triplet-c30
19-P1,0,3,structures/reference/19-P1.xyz,s6-i1-triplet-wb97xd0
19-R2,0,1,structures/reference/19-R2.xyz,butadiene-singlet-wb97xd0
19-TS,0,3,structures/reference/19-TS.xyz,s6-ts1-triplet-c40
2-P1,0,3,structures/reference/2-P1.xyz,cyc3-trip-p1-wb97xd0
2-TS,0,3,structures/reference/2-TS.xyz,cyc3-trip-ts2-wb97xd0
20-P1,0,2,structures/reference/20-P1.xyz,s3-p1-doublet-wb97xd0
20-P2,0,2,structures/reference/20-P2.xyz,benzene-doublet-wb97xd0
20-R1,0,3,structures/reference/20-R1.xyz,s3-r1-triplet-wb97xd0
20-TS,0,3,structures/reference/20-TS.xyz,s3-ts1-triplet-cx20-unfrz0
21-P1,0,3,structures/reference/21-P1.xyz,s7-p1-triplet-wb97xd0
21-R1,0,3,structures/reference/21-R1.xyz,s7-r1-triplet-wb97xd0
21-TS,0,3,structures/reference/21-TS.xyz,s7-ts1-triplet-wb97xd-unfrz60
22-P1,0,3,structures/reference/22-P1.xyz,53-P1-c8-wb97xd0_triplet
22-R1,0,3,structures/reference/22-R1.xyz,53-R1-c5-wb97xd0_triplet
22-TS,0,3,structures/reference/22-TS.xyz,53-ts1-c10_triplet
23-P1,0,3,structures/reference/23-P1.xyz,HAT2-P1_rdkit_conf_8_wb97xd0_triplet
23-R1,0,3,structures/reference/23-R1.xyz,HAT2-R1_rdkit_conf_4_wb97xd0_triplet
23-TS,0,3,structures/reference/23-TS.xyz,hat2-ts1-triplet-wb97xd-c10
24-P1,0,3,structures/reference/24-P1.xyz,hat8-p1-triplet-wb97xd0
24-R1,0,3,structures/reference/24-R1.xyz,hat8-r1-triplet-wb97xd0
24-TS,0,3,structures/reference/24-TS.xyz,hat8-ts1-triplet0
25-P1,0,2,structures/reference/25-P1.xyz,hat1-p1-doublet-wb97xd0
25-R1,0,3,structures/reference/25-R1.xyz,acetophenone-triplet-wb97xd0
25-R2,0,1,structures/reference/25-R2.xyz,methane-neutral-wb97xd0_singlet
25-TS,0,3,structures/reference/25-TS.xyz,hat9-ts1-triplet-c20
26-P2,0,2,structures/reference/26-P2.xyz,methanol-doublet-wb97xd0
26-R2,0,1,structures/reference/26-R2.xyz,methanol-neutral-wb97xd0_singlet
26-TS,0,3,structures/reference/26-TS.xyz,hat10-ts1-triplet-conf30
27-P1,0,2,structures/reference/27-P1.xyz,hydroxide-doublet-wb97xd0
27-P2,0,2,structures/reference/27-P2.xyz,hat345-p2-doublet-wb97xd0
27-R1,0,3,structures/reference/27-R1.xyz,sulfurdioxide-triplet-wb97xd0
27-R2,0,1,structures/reference/27-R2.xyz,water-neutral-wb97xd0_singlet
27-TS,0,3,structures/reference/27-TS.xyz,hat7-ts1-triplet0
28-TS,0,3,structures/reference/28-TS.xyz,hat3-ts1-triplet-wb97xd-cx20
29-P1,0,2,structures/reference/29-P1.xyz,isopropyl-doublet-wb97xd0
29-R1,0,1,structures/reference/29-R1.xyz,isopropane-neutral-wb97xd0_singlet
29-TS,0,3,structures/reference/29-TS.xyz,hat3b-ts1-triplet0
3-P1,0,3,structures/reference/3-P1.xyz,CA1-P1_rdkit_conf_1_wb97xd0_triplet
3-R1,0,3,structures/reference/3-R1.xyz,CA1-R1_rdkit_conf_4_wb97xd0_triplet
3-TS,0,3,structures/reference/3-TS.xyz,ca1-ts1-triplet-wb97xd-conf30
30-P1,0,2,structures/reference/30-P1.xyz,propene-doublet-wb97xd0
30-R1,0,1,structures/reference/30-R1.xyz,propene-neutral-wb97xd0_singlet
