rxn_number,functional,program,thermo_kcal_mol,forward_kinetic_kcal_mol,reverse_kinetic_kcal_mol,thermo_reference_kcal_mol,forward_kinetic_reference_kcal_mol,reverse_kinetic_reference_kcal_mol,thermo_error_kcal_mol,forward_kinetic_error_kcal_mol,reverse_kinetic_error_kcal_mol,kinetic_error_kcal_mol
1,B2GP-PLYP-D4,ORCA,5.31577351,12.72351654,7.40774303,1.78142475,9.26353255,7.48210496,3.53434876,3.45998400,-0.07436193,1.76717296
1,B3PW91-D4,Q-Chem,0.70210186,8.57995352,7.87785166,1.78142475,9.26353255,7.48210496,-1.07932289,-0.68357903,0.39574670,0.53966286
1,B97M-V,Q-Chem,0.03234648,7.32612666,7.29378018,1.78142475,9.26353255,7.48210496,-1.74907827,-1.93740589,-0.18832478,1.06286533
1,M06-2X-D30,ORCA,0.40062245,9.99769786,9.59707541,1.78142475,9.26353255,7.48210496,-1.38080230,0.73416532,2.11497045,1.42456788
1,M06-D4,Q-Chem,-2.47238957,7.80244615,10.27483572,1.78142475,9.26353255,7.48210496,-4.25381432,-1.46108640,2.79273076,2.12690858
1,OLYP-D3BJ,Q-Chem,0.59920543,7.86617244,7.26696701,1.78142475,9.26353255,7.48210496,-1.18221932,-1.39736010,-0.21513795,0.80624903
1,wB97M-V,Q-Chem,0.64860405,9.62775690,8.97915285,1.78142475,9.26353255,7.48210496,-1.13282070,0.36422435,1.49704789,0.93063612
2,B2GP-PLYP-D4,ORCA,-16.63188612,2.34956425,18.98145037,-16.33705422,2.30338290,18.64046316,-0.29483190,0.04618135,0.34098721,0.19358428
2,B3PW91-D4,Q-Chem,-14.83681416,1.77361501,16.61042917,-16.33705422,2.30338290,18.64046316,1.50024006,-0.52976789,-2.03003399,1.27990094
2,B97M-V,Q-Chem,-14.89986230,0.63340696,15.53326926,-16.33705422,2.30338290,18.64046316,1.43719192,-1.66997594,-3.10719390,2.38858492
2,M06-2X-D30,ORCA,-13.76756250,2.91639429,16.68395679,-16.33705422,2.30338290,18.64046316,2.56949172,0.61301139,-1.95650637,1.28475888
2,M06-D4,Q-Chem,-12.51844034,3.86453382,16.38297416,-16.33705422,2.30338290,18.64046316,3.81861388,1.56115092,-2.25748900,1.90931996
2,OLYP-D3BJ,Q-Chem,-14.20147403,1.20870591,15.41017994,-16.33705422,2.30338290,18.64046316,2.13558019,-1.09467699,-3.23028322,2.16248010
2,wB97M-V,Q-Chem,-14.48786084,3.32484214,17.81270298,-16.33705422,2.30338290,18.64046316,1.84919338,1.02145924,-0.82776018,0.92460971
3,B2GP-PLYP-D4,ORCA,-9.14137765,14.26067394,23.40205159,-12.59943859,12.19529510,24.79475377,3.45806094,2.06537884,-1.39270218,1.72904051
3,B3PW91-D4,Q-Chem,-9.12140643,10.99643494,20.11784137,-12.59943859,12.19529510,24.79475377,3.47803216,-1.19886016,-4.67691240,2.93788628
3,B97M-V,Q-Chem,-9.58288188,11.66903149,21.25191337,-12.59943859,12.19529510,24.79475377,3.01655671,-0.52626361,-3.54284040,2.03455200
3,M06-2X-D30,ORCA,-8.93823653,14.47705436,23.41529089,-12.59943859,12.19529510,24.79475377,3.66120206,2.28175926,-1.37946288,1.83061107
3,M06-D4,Q-Chem,-9.01726445,13.14714838,22.16441283,-12.59943859,12.19529510,24.79475377,3.58217414,0.95185328,-2.63034094,1.79109711
3,OLYP-D3BJ,Q-Chem,-7.90236770,8.21223747,16.11460517,-12.59943859,12.19529510,24.79475377,4.69707089,-3.98305763,-8.68014860,6.33160312
3,wB97M-V,Q-Chem,-11.64476564,13.19351092,24.83827656,-12.59943859,12.19529510,24.79475377,0.95467295,0.99821582,0.04352279,0.52086931
4,B2GP-PLYP-D4,ORCA,-14.26048353,18.07509032,32.33557385,-17.20695792,16.38184196,33.58882731,2.94647439,1.69324836,-1.25325346,1.47325091
4,B3PW91-D4,Q-Chem,-14.58805754,13.63005303,28.21811057,-17.20695792,16.38184196,33.58882731,2.61890038,-2.75178893,-5.37071674,4.06125284
4,B97M-V,Q-Chem,-13.93003633,15.40535082,29.33538715,-17.20695792,16.38184196,33.58882731,3.27692159,-0.97649114,-4.25344016,2.61496565
4,M06-2X-D30,ORCA,-14.30425598,17.05700623,31.36126221,-17.20695792,16.38184196,33.58882731,2.90270194,0.67516427,-2.22756510,1.45136468
4,M06-D4,Q-Chem,-14.63029570,15.42372718,30.05402288,-17.20695792,16.38184196,33.58882731,2.57666222,-0.95811478,-3.53480443,2.24645960
4,OLYP-D3BJ,Q-Chem,-12.63188189,10.87156023,23.50344212,-17.20695792,16.38184196,33.58882731,4.57507603,-5.51028173,-10.08538519,7.79783346
4,wB97M-V,Q-Chem,-16.46888122,16.16414171,32.63302293,-17.20695792,16.38184196,33.58882731,0.73807670,-0.21770025,-0.95580438,0.58675231
5,B2GP-PLYP-D4,ORCA,-28.35593563,-8.03342891,20.32250672,-27.89519480,-7.24034115,20.65489811,-0.46074083,-0.79308776,-0.33239139,0.56273958
5,B3PW91-D4,Q-Chem,-25.28126488,-8.55551478,16.72575010,-27.89519480,-7.24034115,20.65489811,2.61392992,-1.31517363,-3.92914801,2.62216082
5,B97M-V,Q-Chem,-21.11999042,-5.30156791,15.81842251,-27.89519480,-7.24034115,20.65489811,6.77520438,1.93877324,-4.83647560,3.38762442
5,M06-2X-D30,ORCA,-28.00814576,-7.37847658,20.62966918,-27.89519480,-7.24034115,20.65489811,-0.11295096,-0.13813543,-0.02522893,0.08168218
5,M06-D4,Q-Chem,-26.26051097,-8.59764195,17.66286902,-27.89519480,-7.24034115,20.65489811,1.63468383,-1.35730080,-2.99202909,2.17466495
5,OLYP-D3BJ,Q-Chem,-21.67966030,-9.51245102,12.16720928,-27.89519480,-7.24034115,20.65489811,6.21553450,-2.27210987,-8.48768883,5.37989935
5,wB97M-V,Q-Chem,-26.79724846,-6.15231574,20.64493272,-27.89519480,-7.24034115,20.65489811,1.09794634,1.08802541,-0.00996539,0.54899540
6,B2GP-PLYP-D4,ORCA,-43.72641626,-3.08387666,40.64253960,-44.28782078,-2.49402015,41.79387120,0.56140452,-0.58985651,-1.15133160,0.87059405
6,B3PW91-D4,Q-Chem,-44.14953221,-2.79272187,41.35681034,-44.28782078,-2.49402015,41.79387120,0.13828857,-0.29870172,-0.43706086,0.36788129
6,B97M-V,Q-Chem,-43.04698767,-2.43467800,40.61230967,-44.28782078,-2.49402015,41.79387120,1.24083311,0.05934215,-1.18156153,0.62045184
6,M06-2X-D30,ORCA,-44.45139273,-3.99207246,40.45932027,-44.28782078,-2.49402015,41.79387120,-0.16357195,-1.49805231,-1.33455093,1.41630162
6,M06-D4,Q-Chem,-44.12357253,-5.71601391,38.40755862,-44.28782078,-2.49402015,41.79387120,0.16424825,-3.22199376,-3.38631258,3.30415317
6,OLYP-D3BJ,Q-Chem,-42.88235892,-4.10253763,38.77982129,-44.28782078,-2.49402015,41.79387120,1.40546186,-1.60851748,-3.01404991,2.31128369
6,wB97M-V,Q-Chem,-44.49416915,-1.95932311,42.53484604,-44.28782078,-2.49402015,41.79387120,-0.20634837,0.53469704,0.74097484,0.63783594
7,B2GP-PLYP-D4,ORCA,-13.77656976,6.18298577,19.95955553,-17.29839366,6.47177450,23.77019572,3.52182390,-0.28878873,-3.81064019,2.04971446
7,B3PW91-D4,Q-Chem,-14.26460620,2.75207732,17.01668352,-17.29839366,6.47177450,23.77019572,3.03378746,-3.71969717,-6.75351220,5.23660469
7,B97M-V,Q-Chem,-11.66896272,3.82762579,15.49658851,-17.29839366,6.47177450,23.77019572,5.62943094,-2.64414870,-8.27360721,5.45887796
7,M06-2X-D30,ORCA,-13.81345524,7.74242029,21.55587553,-17.29839366,6.47177450,23.77019572,3.48493842,1.27064580,-2.21432019,1.74248299
7,M06-D4,Q-Chem,-12.54043292,6.41041008,18.95084300,-17.29839366,6.47177450,23.77019572,4.75796074,-0.06136442,-4.81935272,2.44035857
7,OLYP-D3BJ,Q-Chem,-10.15645674,0.23152842,10.38798516,-17.29839366,6.47177450,23.77019572,7.14193692,-6.24024607,-13.38221056,9.81122832
7,wB97M-V,Q-Chem,-15.41541249,8.13450103,23.54991352,-17.29839366,6.47177450,23.77019572,1.88298117,1.66272654,-0.22028220,0.94150437
8,B2GP-PLYP-D4,ORCA,-34.64748236,-1.01977636,33.62770600,-34.68937600,-0.44372677,34.24570451,0.04189364,-0.57604959,-0.61799851,0.59702405
8,B3PW91-D4,Q-Chem,-36.28612344,-3.70000089,32.58612255,-34.68937600,-0.44372677,34.24570451,-1.59674744,-3.25627412,-1.65958196,2.45792804
8,B97M-V,Q-Chem,-34.80038037,-2.50307992,32.29730045,-34.68937600,-0.44372677,34.24570451,-0.11100437,-2.05935315,-1.94840406,2.00387861
8,M06-2X-D30,ORCA,-34.53737230,-1.37056833,33.16680397,-34.68937600,-0.44372677,34.24570451,0.15200370,-0.92684156,-1.07890054,1.00287105
8,M06-D4,Q-Chem,-35.58111237,-3.46025912,32.12085325,-34.68937600,-0.44372677,34.24570451,-0.89173637,-3.01653235,-2.12485126,2.57069181
