model,model_category,average_run_time_seconds,mae_thermo_kcal_mol,mae_kinetic_kcal_mol,combined_mae_kcal_mol
B2GP-PLYP-D4,DFT,1159.33647733,1.44144054,1.10545394,1.27344724
B3PW91-D4,DFT,6125.67006000,3.25588566,3.60220390,3.42904478
B97M-V,DFT,3637.45628667,3.62721499,3.83616375,3.73168937
M06-2X-D30,DFT,1159.37332533,1.88803865,1.49161455,1.68982660
M06-D4,DFT,9481.61941333,2.41093788,2.88229108,2.64661448
OLYP-D3BJ,DFT,2388.70023667,6.67442608,6.86267744,6.76855176
wB97M-V,DFT,6830.67139333,1.87851345,1.46966811,1.67409078
aimnet2-nse,MLIP,0.00482677,2.91815322,6.28495874,4.60155598
allscaip-md-conserving-all-omol,MLIP,0.05700820,2.53883537,1.91162046,2.22522791
allscaip-md-direct-all-omol,MLIP,0.01872114,2.67414561,1.97074628,2.32244595
esen-md-direct-all-omol,MLIP,0.02555550,1.90813877,1.69677171,1.80245524
esen-sm-conserving-all-omol,MLIP,0.03508077,2.24033374,2.20838537,2.22435956
esen-sm-direct-all-omol,MLIP,0.01277818,2.25416469,2.83137605,2.54277037
MACE-OMOL,MLIP,0.07873073,2.50241418,2.61977137,2.56109277
orbmol_v1_conservative,MLIP,0.04422113,4.08231764,3.64295829,3.86263797
orbmol_v1_direct,MLIP,0.01126536,3.92021894,4.42541994,4.17281944
orbmol_v2,MLIP,0.05226899,4.19863945,2.60376508,3.40120226
polar-1-l,MLIP,0.17677891,2.24377085,2.59793199,2.42085142
polar-1-m,MLIP,0.09016023,2.62817605,3.17267696,2.90042650
polar-1-s,MLIP,0.05143251,4.89179820,5.38854835,5.14017328
uma-m-1p1,MLIP,0.10080548,2.12359423,1.74930136,1.93644780
uma-s-1p1,MLIP,0.04283490,4.01324915,3.15680469,3.58502692
uma-s-1p2,MLIP,0.04574958,2.68717716,2.42311583,2.55514649
gxtb,Semiempirical tight-binding,0.08368002,5.25846173,4.32296456,4.79071314
