rxn_number,functional,program,thermo_kcal_mol,forward_kinetic_kcal_mol,reverse_kinetic_kcal_mol,thermo_reference_kcal_mol,forward_kinetic_reference_kcal_mol,reverse_kinetic_reference_kcal_mol,thermo_error_kcal_mol,forward_kinetic_error_kcal_mol,reverse_kinetic_error_kcal_mol,kinetic_error_kcal_mol
1,gxtb,gxTB,-4.71953660,8.39959744,13.11913404,1.78142475,9.26353255,7.48210496,-6.50096135,-0.86393511,5.63702908,3.25048209
2,gxtb,gxTB,-12.48742650,4.51208196,16.99950846,-16.33705422,2.30338290,18.64046316,3.84962772,2.20869906,-1.64095470,1.92482688
3,gxtb,gxTB,-12.22462552,12.41477972,24.63940524,-12.59943859,12.19529510,24.79475377,0.37481307,0.21948462,-0.15534853,0.18741657
4,gxtb,gxTB,-16.41736162,11.86693883,28.28430045,-17.20695792,16.38184196,33.58882731,0.78959630,-4.51490313,-5.30452686,4.90971499
5,gxtb,gxTB,-20.99929166,-2.19312060,18.80617106,-27.89519480,-7.24034115,20.65489811,6.89590314,5.04722055,-1.84872705,3.44797380
6,gxtb,gxTB,-41.96326709,3.14307586,45.10634295,-44.28782078,-2.49402015,41.79387120,2.32455369,5.63709601,3.31247175,4.47478388
7,gxtb,gxTB,-16.59531704,7.11530512,23.71062216,-17.29839366,6.47177450,23.77019572,0.70307662,0.64353063,-0.05957356,0.35155209
8,gxtb,gxTB,-33.34220899,-2.51680254,30.82540645,-34.68937600,-0.44372677,34.24570451,1.34716701,-2.07307577,-3.42029806,2.74668692
9,gxtb,gxTB,-11.85260024,9.75810531,21.61070555,-10.56816073,9.12405835,19.69223593,-1.28443951,0.63404696,1.91846962,1.27625829
10,gxtb,gxTB,15.70198824,20.96479119,5.26280295,6.90495634,16.32527518,9.42030784,8.79703190,4.63951601,-4.15750489,4.39851045
11,gxtb,gxTB,18.55814794,17.90375593,-0.65439201,2.71586670,10.72382225,8.00795122,15.84228124,7.17993368,-8.66234323,7.92113845
12,gxtb,gxTB,-34.04496316,-0.87449096,33.17047220,-36.55596898,-0.46273835,36.09328889,2.51100582,-0.41175261,-2.92281669,1.66728465
13,gxtb,gxTB,-19.22111800,5.71435250,24.93547050,-22.03969206,10.05828918,32.09801636,2.81857406,-4.34393668,-7.16254586,5.75324127
14,gxtb,gxTB,-43.95412884,-14.24738985,29.70673899,-47.26601405,-16.58549018,30.68059919,3.31188521,2.33810033,-0.97386020,1.65598026
15,gxtb,gxTB,-0.54017900,30.91075401,31.45093301,-11.75110654,20.29632703,32.04745230,11.21092754,10.61442698,-0.59651929,5.60547313
16,gxtb,gxTB,-1.06776388,23.58752990,24.65529378,-9.58725019,16.58002536,26.16729082,8.51948631,7.00750454,-1.51199704,4.25975079
17,gxtb,gxTB,-2.88496866,12.96121499,15.84618365,-17.46272979,9.70442026,27.16717789,14.57776113,3.25679473,-11.32099424,7.28889448
18,gxtb,gxTB,-4.20952198,2.36489505,6.57441703,-6.59231391,0.76752310,7.35984752,2.38279193,1.59737195,-0.78543049,1.19140122
