rxn_number,functional,program,thermo_kcal_mol,forward_kinetic_kcal_mol,reverse_kinetic_kcal_mol,thermo_reference_kcal_mol,forward_kinetic_reference_kcal_mol,reverse_kinetic_reference_kcal_mol,thermo_error_kcal_mol,forward_kinetic_error_kcal_mol,reverse_kinetic_error_kcal_mol,kinetic_error_kcal_mol
1,aimnet2-nse,ASE,2.62022181,17.20531567,14.58509386,1.78142475,9.26353255,7.48210496,0.83879706,7.94178312,7.10298890,7.52238601
1,allscaip-md-conserving-all-omol,ASE,-2.29747570,8.18854603,10.48602173,1.78142475,9.26353255,7.48210496,-4.07890045,-1.07498651,3.00391677,2.03945164
1,allscaip-md-direct-all-omol,ASE,0.53637731,9.24334948,8.70697217,1.78142475,9.26353255,7.48210496,-1.24504744,-0.02018307,1.22486721,0.62252514
1,esen-md-direct-all-omol,ASE,0.17430133,10.16125236,9.98695103,1.78142475,9.26353255,7.48210496,-1.60712342,0.89771981,2.50484607,1.70128294
1,esen-sm-conserving-all-omol,ASE,-2.33362815,9.17788127,11.51150942,1.78142475,9.26353255,7.48210496,-4.11505290,-0.08565127,4.02940446,2.05752787
1,esen-sm-direct-all-omol,ASE,-3.31342095,6.61188836,9.92530931,1.78142475,9.26353255,7.48210496,-5.09484570,-2.65164419,2.44320435,2.54742427
1,extra_large,ASE,-2.71966678,9.86806385,12.58773063,1.78142475,9.26353255,7.48210496,-4.50109153,0.60453131,5.10562567,2.85507849
1,orbmol_v1_conservative,ASE,-2.62473417,10.38396669,13.00870086,1.78142475,9.26353255,7.48210496,-4.40615892,1.12043414,5.52659590,3.32351502
1,orbmol_v1_direct,ASE,-2.87185893,10.98192039,13.85377932,1.78142475,9.26353255,7.48210496,-4.65328368,1.71838784,6.37167436,4.04503110
1,orbmol_v2,ASE,-1.27516582,6.91650862,8.19167444,1.78142475,9.26353255,7.48210496,-3.05659057,-2.34702393,0.70956948,1.52829670
1,polar-1-l,ASE,0.34931796,11.87219011,11.52287215,1.78142475,9.26353255,7.48210496,-1.43210679,2.60865756,4.04076719,3.32471238
1,polar-1-m,ASE,-1.35636575,11.67284747,13.02921322,1.78142475,9.26353255,7.48210496,-3.13779050,2.40931493,5.54710826,3.97821159
1,polar-1-s,ASE,-3.45521111,6.76070927,10.21592038,1.78142475,9.26353255,7.48210496,-5.23663586,-2.50282327,2.73381542,2.61831935
1,uma-m-1p1,ASE,-0.04540131,9.15082491,9.19622622,1.78142475,9.26353255,7.48210496,-1.82682606,-0.11270763,1.71412126,0.91341445
1,uma-s-1p1,ASE,-2.59010446,9.21393024,11.80403470,1.78142475,9.26353255,7.48210496,-4.37152921,-0.04960230,4.32192974,2.18576602
1,uma-s-1p2,ASE,0.01991097,9.79587558,9.77596461,1.78142475,9.26353255,7.48210496,-1.76151378,0.53234303,2.29385965,1.41310134
2,aimnet2-nse,ASE,-21.49774328,5.41521363,26.91295691,-16.33705422,2.30338290,18.64046316,-5.16068906,3.11183073,8.27249375,5.69216224
2,allscaip-md-conserving-all-omol,ASE,-14.81202163,3.27051744,18.08253907,-16.33705422,2.30338290,18.64046316,1.52503259,0.96713454,-0.55792409,0.76252931
2,allscaip-md-direct-all-omol,ASE,-14.26890095,1.80211944,16.07102039,-16.33705422,2.30338290,18.64046316,2.06815327,-0.50126346,-2.56944277,1.53535311
2,esen-md-direct-all-omol,ASE,-14.38095528,2.82787357,17.20882885,-16.33705422,2.30338290,18.64046316,1.95609894,0.52449067,-1.43163431,0.97806249
2,esen-sm-conserving-all-omol,ASE,-15.11250127,3.68704794,18.79954921,-16.33705422,2.30338290,18.64046316,1.22455295,1.38366504,0.15908605,0.77137554
2,esen-sm-direct-all-omol,ASE,-15.35510882,4.50159890,19.85670772,-16.33705422,2.30338290,18.64046316,0.98194540,2.19821600,1.21624456,1.70723028
2,extra_large,ASE,-14.44636278,4.58144658,19.02780936,-16.33705422,2.30338290,18.64046316,1.89069144,2.27806368,0.38734620,1.33270494
2,orbmol_v1_conservative,ASE,-13.64042008,3.60664979,17.24706987,-16.33705422,2.30338290,18.64046316,2.69663414,1.30326689,-1.39339329,1.34833009
2,orbmol_v1_direct,ASE,-15.03615220,2.20249184,17.23864404,-16.33705422,2.30338290,18.64046316,1.30090202,-0.10089106,-1.40181912,0.75135509
2,orbmol_v2,ASE,-13.66914196,3.75520471,17.42434667,-16.33705422,2.30338290,18.64046316,2.66791226,1.45182181,-1.21611649,1.33396915
2,polar-1-l,ASE,-13.95835181,3.24123764,17.19958945,-16.33705422,2.30338290,18.64046316,2.37870241,0.93785474,-1.44087371,1.18936423
2,polar-1-m,ASE,-14.53268314,4.96637182,19.49905496,-16.33705422,2.30338290,18.64046316,1.80437108,2.66298892,0.85859180,1.76079036
2,polar-1-s,ASE,-12.49565771,3.99498334,16.49064105,-16.33705422,2.30338290,18.64046316,3.84139651,1.69160044,-2.14982211,1.92071127
2,uma-m-1p1,ASE,-14.20450792,2.94123766,17.14574558,-16.33705422,2.30338290,18.64046316,2.13254630,0.63785476,-1.49471758,1.06628617
2,uma-s-1p1,ASE,-14.67215902,4.14895078,18.82110980,-16.33705422,2.30338290,18.64046316,1.66489520,1.84556788,0.18064664,1.01310726
2,uma-s-1p2,ASE,-15.81970421,3.50400976,19.32371397,-16.33705422,2.30338290,18.64046316,0.51735001,1.20062686,0.68325081,0.94193883
3,aimnet2-nse,ASE,-14.49287944,21.82704171,36.31992115,-12.59943859,12.19529510,24.79475377,-1.89344085,9.63174661,11.52516738,10.57845700
3,allscaip-md-conserving-all-omol,ASE,-13.67004365,11.96204829,25.63209194,-12.59943859,12.19529510,24.79475377,-1.07060506,-0.23324681,0.83733817,0.53529249
3,allscaip-md-direct-all-omol,ASE,-12.77930242,12.37131313,25.15061555,-12.59943859,12.19529510,24.79475377,-0.17986383,0.17601803,0.35586178,0.26593991
3,esen-md-direct-all-omol,ASE,-12.16738277,13.88404002,26.05142279,-12.59943859,12.19529510,24.79475377,0.43205582,1.68874492,1.25666902,1.47270697
3,esen-sm-conserving-all-omol,ASE,-14.60487062,12.79396944,27.39884006,-12.59943859,12.19529510,24.79475377,-2.00543203,0.59867434,2.60408629,1.60138031
3,esen-sm-direct-all-omol,ASE,-13.32453821,15.98494013,29.30947834,-12.59943859,12.19529510,24.79475377,-0.72509962,3.78964503,4.51472457,4.15218480
3,extra_large,ASE,-17.52757954,13.01369079,30.54127033,-12.59943859,12.19529510,24.79475377,-4.92814095,0.81839569,5.74651656,3.28245612
3,orbmol_v1_conservative,ASE,-12.08412180,16.98020212,29.06432392,-12.59943859,12.19529510,24.79475377,0.51531679,4.78490702,4.26957015,4.52723859
3,orbmol_v1_direct,ASE,-15.74562705,14.26134403,30.00697108,-12.59943859,12.19529510,24.79475377,-3.14618846,2.06604893,5.21221731,3.63913312
3,orbmol_v2,ASE,-11.40737068,14.33655187,25.74392255,-12.59943859,12.19529510,24.79475377,1.19206791,2.14125677,0.94916878,1.54521277
3,polar-1-l,ASE,-13.00465617,14.71992530,27.72458147,-12.59943859,12.19529510,24.79475377,-0.40521758,2.52463020,2.92982770,2.72722895
3,polar-1-m,ASE,-11.98141565,17.75486294,29.73627859,-12.59943859,12.19529510,24.79475377,0.61802294,5.55956784,4.94152482,5.25054633
3,polar-1-s,ASE,-23.38052068,16.18382497,39.56434565,-12.59943859,12.19529510,24.79475377,-10.78108209,3.98852987,14.76959188,9.37906088
3,uma-m-1p1,ASE,-12.88072561,11.75430508,24.63503069,-12.59943859,12.19529510,24.79475377,-0.28128702,-0.44099002,-0.15972308,0.30035655
3,uma-s-1p1,ASE,-16.65122461,9.74683894,26.39806355,-12.59943859,12.19529510,24.79475377,-4.05178602,-2.44845616,1.60330978,2.02588297
3,uma-s-1p2,ASE,-12.32325609,14.31016874,26.63342483,-12.59943859,12.19529510,24.79475377,0.27618250,2.11487364,1.83867106,1.97677235
4,aimnet2-nse,ASE,-15.51493002,19.32093542,34.83586544,-17.20695792,16.38184196,33.58882731,1.69202790,2.93909346,1.24703813,2.09306579
4,allscaip-md-conserving-all-omol,ASE,-18.22941708,15.06584796,33.29526504,-17.20695792,16.38184196,33.58882731,-1.02245916,-1.31599400,-0.29356227,0.80477813
4,allscaip-md-direct-all-omol,ASE,-18.01668052,15.50005201,33.51673253,-17.20695792,16.38184196,33.58882731,-0.80972260,-0.88178995,-0.07209478,0.47694236
4,esen-md-direct-all-omol,ASE,-16.33541673,15.72193206,32.05734879,-17.20695792,16.38184196,33.58882731,0.87154119,-0.65990990,-1.53147852,1.09569421
4,esen-sm-conserving-all-omol,ASE,-18.81559460,14.85454574,33.67014034,-17.20695792,16.38184196,33.58882731,-1.60863668,-1.52729622,0.08131303,0.80430462
4,esen-sm-direct-all-omol,ASE,-17.83874278,19.49857791,37.33732069,-17.20695792,16.38184196,33.58882731,-0.63178486,3.11673595,3.74849338,3.43261466
4,extra_large,ASE,-21.37391183,15.39238672,36.76629855,-17.20695792,16.38184196,33.58882731,-4.16695391,-0.98945524,3.17747124,2.08346324
4,orbmol_v1_conservative,ASE,-15.85028414,19.36596572,35.21624986,-17.20695792,16.38184196,33.58882731,1.35667378,2.98412376,1.62742255,2.30577316
4,orbmol_v1_direct,ASE,-20.40104069,15.87861233,36.27965302,-17.20695792,16.38184196,33.58882731,-3.19408277,-0.50322963,2.69082571,1.59702767
4,orbmol_v2,ASE,-15.94307495,17.84826385,33.79133880,-17.20695792,16.38184196,33.58882731,1.26388297,1.46642189,0.20251149,0.83446669
4,polar-1-l,ASE,-17.18140580,17.86629581,35.04770161,-17.20695792,16.38184196,33.58882731,0.02555212,1.48445385,1.45887430,1.47166408
4,polar-1-m,ASE,-17.22716460,20.93015792,38.15732252,-17.20695792,16.38184196,33.58882731,-0.02020668,4.54831596,4.56849521,4.55840558
4,polar-1-s,ASE,-29.46192889,19.39024636,48.85217525,-17.20695792,16.38184196,33.58882731,-12.25497097,3.00840440,15.26334794,9.13587617
4,uma-m-1p1,ASE,-17.38152761,15.48354219,32.86506980,-17.20695792,16.38184196,33.58882731,-0.17456969,-0.89829977,-0.72375751,0.81102864
4,uma-s-1p1,ASE,-20.53833289,13.83780893,34.37614182,-17.20695792,16.38184196,33.58882731,-3.33137497,-2.54403303,0.78731451,1.66567377
4,uma-s-1p2,ASE,-16.56102656,17.48697467,34.04800123,-17.20695792,16.38184196,33.58882731,0.64593136,1.10513271,0.45917392,0.78215332
5,aimnet2-nse,ASE,-27.10307321,1.45243195,28.55550516,-27.89519480,-7.24034115,20.65489811,0.79212159,8.69277310,7.90060705,8.29669007
5,allscaip-md-conserving-all-omol,ASE,-28.43280262,-7.12138020,21.31142242,-27.89519480,-7.24034115,20.65489811,-0.53760782,0.11896095,0.65652431,0.38774263
5,allscaip-md-direct-all-omol,ASE,-27.82059604,-7.28960720,20.53098884,-27.89519480,-7.24034115,20.65489811,0.07459876,-0.04926605,-0.12390927,0.08658766
5,esen-md-direct-all-omol,ASE,-26.77240029,-6.05007479,20.72232550,-27.89519480,-7.24034115,20.65489811,1.12279451,1.19026636,0.06742739,0.62884687
5,esen-sm-conserving-all-omol,ASE,-27.13698078,-6.26207499,20.87490579,-27.89519480,-7.24034115,20.65489811,0.75821402,0.97826616,0.22000768,0.59913692
