reaction_type,model,model_category,average_run_time_seconds,mae_thermo_kcal_mol,mae_kinetic_kcal_mol,combined_mae_kcal_mol
C-C,allscaip-md-direct-all-omol,MLIP,0.01954455,1.08614256,0.77943290,0.93278773
C-C,uma-m-1p1,MLIP,0.10118804,1.15182595,0.81056238,0.98119416
C-C,wB97M-V,DFT,10026.41041667,1.21034533,0.75780107,0.98407320
C-C,uma-s-1p2,MLIP,0.04735356,1.28268564,1.28586424,1.28427494
C-C,esen-md-direct-all-omol,MLIP,0.02601972,1.48517918,1.08448694,1.28483306
C-C,allscaip-md-conserving-all-omol,MLIP,0.05732484,1.63609040,1.02739819,1.33174429
C-C,orbmol_v2,MLIP,0.01544409,1.88773710,1.39160017,1.63966864
C-C,uma-s-1p1,MLIP,0.04476050,1.68403345,1.60963337,1.64683341
C-C,M06-2X-D30,DFT,1369.64094444,2.04826500,1.30636824,1.67731662
C-C,esen-sm-conserving-all-omol,MLIP,0.03687175,1.71360706,1.72198310,1.71779508
C-C,B2GP-PLYP-D4,DFT,1383.07302778,2.15082550,1.29547058,1.72314804
C-C,polar-1-l,MLIP,0.21653428,2.33068434,2.27909488,2.30488961
C-C,esen-sm-direct-all-omol,MLIP,0.01308712,1.55201943,3.07522146,2.31362044
C-C,M06-D4,DFT,14281.88111111,2.52745852,2.16935453,2.34840653
C-C,B3PW91-D4,DFT,9065.03569444,2.49901913,2.31999200,2.40950556
C-C,orbmol_v1_direct,MLIP,0.02070607,2.11201381,2.93503406,2.52352394
C-C,orbmol_v1_conservative,MLIP,0.01387509,2.28003572,3.07067109,2.67535340
C-C,B97M-V,DFT,4911.76986111,3.19256386,2.34467019,2.76861702
C-C,MACE-OMOL,MLIP,0.11246962,3.08373463,3.02702143,3.05537803
C-C,polar-1-m,MLIP,0.12179016,2.45885344,3.81611800,3.13748572
C-C,gxtb,Semiempirical tight-binding,0.09630821,4.26837145,3.04638576,3.65737860
C-C,aimnet2-nse,MLIP,0.00570622,2.26800517,5.71736115,3.99268316
C-C,OLYP-D3BJ,DFT,3278.16826389,3.99121979,4.88461378,4.43791679
C-C,polar-1-s,MLIP,0.08140445,6.04535678,6.84119348,6.44327513
C-Hal,B2GP-PLYP-D4,DFT,870.39650000,0.43104652,0.98717251,0.70910951
C-Hal,esen-sm-conserving-all-omol,MLIP,0.02710593,1.02922621,1.15945956,1.09434289
C-Hal,gxtb,Semiempirical tight-binding,0.09095084,1.39297234,1.11002324,1.25149779
C-Hal,wB97M-V,DFT,5835.45312500,1.60152408,1.01795813,1.30974110
C-Hal,allscaip-md-conserving-all-omol,MLIP,0.04603005,1.05001679,1.59862385,1.32432032
C-Hal,uma-m-1p1,MLIP,0.07958460,1.34770913,1.42280831,1.38525872
C-Hal,M06-2X-D30,DFT,967.73650000,1.91209684,0.97180528,1.44195106
C-Hal,uma-s-1p2,MLIP,0.04256211,1.29970644,2.13083170,1.71526907
C-Hal,esen-md-direct-all-omol,MLIP,0.01996120,1.76682214,1.88286409,1.82484311
C-Hal,esen-sm-direct-all-omol,MLIP,0.01022758,0.68049331,3.06046243,1.87047787
C-Hal,allscaip-md-direct-all-omol,MLIP,0.01466965,1.86091085,1.92447599,1.89269342
C-Hal,polar-1-l,MLIP,0.14766586,1.32424127,2.67120502,1.99772315
C-Hal,uma-s-1p1,MLIP,0.03354472,1.03670069,3.21902859,2.12786464
C-Hal,aimnet2-nse,MLIP,0.00348145,2.18054533,2.34672135,2.26363334
C-Hal,polar-1-m,MLIP,0.07547075,1.87051344,2.90914335,2.38982840
C-Hal,orbmol_v1_conservative,MLIP,0.01256503,3.20849472,1.79573509,2.50211490
C-Hal,orbmol_v1_direct,MLIP,0.00786042,2.02679488,3.56476859,2.79578174
C-Hal,M06-D4,DFT,8064.55687500,2.98963250,2.75415176,2.87189213
C-Hal,MACE-OMOL,MLIP,0.06027170,4.02255000,2.01128285,3.01691642
C-Hal,B97M-V,DFT,2576.61125000,1.92146370,4.60862422,3.26504396
C-Hal,B3PW91-D4,DFT,5038.20875000,3.50930473,3.66938512,3.58934492
C-Hal,polar-1-s,MLIP,0.04158474,4.25355462,5.38503654,4.81929558
C-Hal,orbmol_v2,MLIP,0.01292209,6.17710237,3.60259304,4.88984771
C-Hal,OLYP-D3BJ,DFT,1350.24375000,3.51717106,6.79074410,5.15395758
C-O,uma-m-1p1,MLIP,0.09750156,1.16467734,1.70005908,1.43236821
C-O,wB97M-V,DFT,3318.50750000,1.21898495,1.70159141,1.46028818
C-O,B2GP-PLYP-D4,DFT,620.89220000,1.98616986,1.17529524,1.58073255
C-O,allscaip-md-direct-all-omol,MLIP,0.02008401,1.68235481,1.59496183,1.63865832
C-O,esen-md-direct-all-omol,MLIP,0.02590914,1.30268639,2.08463527,1.69366083
C-O,uma-s-1p2,MLIP,0.05097130,1.23879770,2.23526274,1.73703022
C-O,allscaip-md-conserving-all-omol,MLIP,0.05904220,1.26017131,2.93634394,2.09825763
C-O,M06-2X-D30,DFT,584.89520000,2.65674634,1.92235992,2.28955313
C-O,uma-s-1p1,MLIP,0.04459199,1.24706242,3.79764167,2.52235205
C-O,MACE-OMOL,MLIP,0.06127371,1.04387081,4.03532272,2.53959676
C-O,esen-sm-conserving-all-omol,MLIP,0.03599599,1.52277227,3.88737712,2.70507469
C-O,orbmol_v2,MLIP,0.01821712,2.39012883,3.55805994,2.97409439
C-O,esen-sm-direct-all-omol,MLIP,0.01303252,2.70334022,3.34463247,3.02398635
C-O,polar-1-l,MLIP,0.16283903,2.39305016,3.71562977,3.05433996
C-O,B3PW91-D4,DFT,2929.39500000,2.15498985,4.18711765,3.17105375
C-O,M06-D4,DFT,3777.14850000,2.04342710,4.44264495,3.24303602
C-O,orbmol_v1_conservative,MLIP,0.01125053,2.78752227,4.48629256,3.63690742
C-O,polar-1-m,MLIP,0.07843498,2.80732541,4.52282292,3.66507417
C-O,polar-1-s,MLIP,0.04139744,3.58909589,5.35856673,4.47383131
C-O,aimnet2-nse,MLIP,0.00338583,1.97098327,7.55437384,4.76267855
C-O,orbmol_v1_direct,MLIP,0.00882033,1.94234868,7.62738775,4.78486821
C-O,B97M-V,DFT,2452.08600000,5.19169238,6.74626570,5.96897904
C-O,gxtb,Semiempirical tight-binding,0.06874731,8.08772685,4.91266799,6.50019742
C-O,OLYP-D3BJ,DFT,2148.71500000,10.13507661,10.16436111,10.14971886
C-S,B2GP-PLYP-D4,DFT,809.70683333,1.88997527,0.97008245,1.43002886
C-S,gxtb,Semiempirical tight-binding,0.07434597,1.81003853,1.15898304,1.48451079
C-S,wB97M-V,DFT,5439.50770833,2.13389580,1.11422262,1.62405921
C-S,uma-s-1p2,MLIP,0.04776284,2.03068935,1.29784021,1.66426478
C-S,allscaip-md-direct-all-omol,MLIP,0.01668754,1.80803465,1.64329163,1.72566314
C-S,uma-s-1p1,MLIP,0.03816935,2.05861377,1.42366876,1.74114126
C-S,allscaip-md-conserving-all-omol,MLIP,0.05122843,2.13415794,1.35455303,1.74435549
C-S,uma-m-1p1,MLIP,0.08396821,2.34384454,1.23735304,1.79059879
C-S,esen-md-direct-all-omol,MLIP,0.02304703,2.32108211,1.31256343,1.81682277
C-S,M06-2X-D30,DFT,999.44316667,2.64447496,1.32223819,1.98335657
C-S,esen-sm-conserving-all-omol,MLIP,0.03173596,2.98063861,1.52645591,2.25354726
C-S,MACE-OMOL,MLIP,0.05681336,3.03320721,1.83690600,2.43505660
C-S,polar-1-l,MLIP,0.14812710,2.91617878,2.02883177,2.47250528
C-S,esen-sm-direct-all-omol,MLIP,0.01142736,2.27862049,2.82736299,2.55299174
C-S,polar-1-m,MLIP,0.07449190,3.18840543,2.01240137,2.60040340
