reaction_type,measure,pareto_rank,model,model_category,average_run_time_seconds,mae_kcal_mol
C-C,thermo,1,aimnet2-nse,MLIP,0.00570622,2.26800517
C-C,thermo,2,esen-sm-direct-all-omol,MLIP,0.01308712,1.55201943
C-C,thermo,3,allscaip-md-direct-all-omol,MLIP,0.01954455,1.08614256
C-O,thermo,1,aimnet2-nse,MLIP,0.00338583,1.97098327
C-O,thermo,2,orbmol_v1_direct,MLIP,0.00882033,1.94234868
C-O,thermo,3,allscaip-md-direct-all-omol,MLIP,0.02008401,1.68235481
C-O,thermo,4,esen-md-direct-all-omol,MLIP,0.02590914,1.30268639
C-O,thermo,5,uma-s-1p1,MLIP,0.04459199,1.24706242
C-O,thermo,6,uma-s-1p2,MLIP,0.05097130,1.23879770
C-O,thermo,7,extra_large,MLIP,0.06127371,1.04387081
C-S,thermo,1,orbmol_v1_direct,MLIP,0.01078226,5.07693675
C-S,thermo,2,esen-sm-direct-all-omol,MLIP,0.01142736,2.27862049
C-S,thermo,3,allscaip-md-direct-all-omol,MLIP,0.01668754,1.80803465
HAT,thermo,1,aimnet2-nse,MLIP,0.00350257,2.71554841
HAT,thermo,2,esen-sm-direct-all-omol,MLIP,0.01283239,1.38157227
HAT,thermo,3,B2GP-PLYP-D4,DFT,710.56968889,0.87731633
Si-X,thermo,1,aimnet2-nse,MLIP,0.00332556,3.15720885
Si-X,thermo,2,orbmol_v2,MLIP,0.01362235,2.85462829
Si-X,thermo,3,extra_large,MLIP,0.08944955,1.97387765
Si-X,thermo,4,M06-2X-D30,DFT,1624.92800000,1.02520766
Si-X,thermo,5,B2GP-PLYP-D4,DFT,1763.40828571,0.39528190
C-Hal,thermo,1,aimnet2-nse,MLIP,0.00348145,2.18054533
C-Hal,thermo,2,orbmol_v1_direct,MLIP,0.00786042,2.02679488
C-Hal,thermo,3,esen-sm-direct-all-omol,MLIP,0.01022758,0.68049331
C-Hal,thermo,4,B2GP-PLYP-D4,DFT,870.39650000,0.43104652
N-X,thermo,1,aimnet2-nse,MLIP,0.00349732,2.62674290
N-X,thermo,2,orbmol_v1_direct,MLIP,0.00771692,2.59471769
N-X,thermo,3,orbmol_v1_conservative,MLIP,0.01275069,1.47650557
N-X,thermo,4,polar-1-l,MLIP,0.16603494,1.11727589
C-C,kinetic,1,aimnet2-nse,MLIP,0.00570622,5.71736115
C-C,kinetic,2,esen-sm-direct-all-omol,MLIP,0.01308712,3.07522146
C-C,kinetic,3,orbmol_v1_conservative,MLIP,0.01387509,3.07067109
C-C,kinetic,4,orbmol_v2,MLIP,0.01544409,1.39160017
C-C,kinetic,5,allscaip-md-direct-all-omol,MLIP,0.01954455,0.77943290
C-C,kinetic,6,wB97M-V,DFT,10026.41041667,0.75780107
C-O,kinetic,1,aimnet2-nse,MLIP,0.00338583,7.55437384
C-O,kinetic,2,orbmol_v1_conservative,MLIP,0.01125053,4.48629256
C-O,kinetic,3,esen-sm-direct-all-omol,MLIP,0.01303252,3.34463247
C-O,kinetic,4,allscaip-md-direct-all-omol,MLIP,0.02008401,1.59496183
C-O,kinetic,5,B2GP-PLYP-D4,DFT,620.89220000,1.17529524
C-S,kinetic,1,orbmol_v1_direct,MLIP,0.01078226,5.33162315
C-S,kinetic,2,esen-sm-direct-all-omol,MLIP,0.01142736,2.82736299
C-S,kinetic,3,allscaip-md-direct-all-omol,MLIP,0.01668754,1.64329163
C-S,kinetic,4,esen-md-direct-all-omol,MLIP,0.02304703,1.31256343
C-S,kinetic,5,uma-s-1p2,MLIP,0.04776284,1.29784021
C-S,kinetic,6,gxtb,Semiempirical tight-binding,0.07434597,1.15898304
C-S,kinetic,7,B2GP-PLYP-D4,DFT,809.70683333,0.97008245
HAT,kinetic,1,aimnet2-nse,MLIP,0.00350257,5.84047100
HAT,kinetic,2,esen-sm-direct-all-omol,MLIP,0.01283239,2.02142864
HAT,kinetic,3,B2GP-PLYP-D4,DFT,710.56968889,1.63290054
Si-X,kinetic,1,aimnet2-nse,MLIP,0.00332556,10.33498222
Si-X,kinetic,2,orbmol_v1_direct,MLIP,0.00770709,2.02883384
Si-X,kinetic,3,orbmol_v2,MLIP,0.01362235,1.43048687
Si-X,kinetic,4,M06-2X-D30,DFT,1624.92800000,0.55185335
Si-X,kinetic,5,B2GP-PLYP-D4,DFT,1763.40828571,0.32179662
C-Hal,kinetic,1,aimnet2-nse,MLIP,0.00348145,2.34672135
C-Hal,kinetic,2,orbmol_v1_conservative,MLIP,0.01256503,1.79573509
C-Hal,kinetic,3,esen-sm-conserving-all-omol,MLIP,0.02710593,1.15945956
C-Hal,kinetic,4,gxtb,Semiempirical tight-binding,0.09095084,1.11002324
C-Hal,kinetic,5,B2GP-PLYP-D4,DFT,870.39650000,0.98717251
C-Hal,kinetic,6,M06-2X-D30,DFT,967.73650000,0.97180528
N-X,kinetic,1,aimnet2-nse,MLIP,0.00349732,5.81512144
N-X,kinetic,2,orbmol_v1_direct,MLIP,0.00771692,3.19661265
N-X,kinetic,3,orbmol_v1_conservative,MLIP,0.01275069,2.91402786
N-X,kinetic,4,esen-sm-direct-all-omol,MLIP,0.01371706,2.85691101
N-X,kinetic,5,orbmol_v2,MLIP,0.01384107,1.06058317
N-X,kinetic,6,esen-md-direct-all-omol,MLIP,0.02736205,1.00187469
