species,functional,program,energy_hartree,wall_time_seconds,cpu_time_seconds,cpu_time_source,nprocs,completed,output_file
1-P1,B2GP-PLYP-D4,ORCA,-616.44871970082,249.289,2991.468,estimated_from_wall_time_and_nprocs,12,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/1-P1_B2GP-PLYP-D4.out
1-R1,B2GP-PLYP-D4,ORCA,-616.457190924782,270.84,3250.08,estimated_from_wall_time_and_nprocs,12,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/1-R1_B2GP-PLYP-D4.out
1-TS,B2GP-PLYP-D4,ORCA,-616.436914711358,284.82,3417.84,estimated_from_wall_time_and_nprocs,12,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/1-TS_B2GP-PLYP-D4.out
10-P1,B2GP-PLYP-D4,ORCA,-153.117667601688,6.693,53.544,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/10-P1_B2GP-PLYP-D4.out
10-P2,B2GP-PLYP-D4,ORCA,-39.810039180143,2.749,21.992,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/10-P2_B2GP-PLYP-D4.out
10-R1,B2GP-PLYP-D4,ORCA,-192.936614774161,43.545,174.18,estimated_from_wall_time_and_nprocs,4,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/10-R1_B2GP-PLYP-D4.out
10-TS,B2GP-PLYP-D4,ORCA,-192.911676577485,16.553,132.424,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/10-TS_B2GP-PLYP-D4.out
11-P1,B2GP-PLYP-D4,ORCA,-344.751619486125,46.986,375.888,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/11-P1_B2GP-PLYP-D4.out
11-P2,B2GP-PLYP-D4,ORCA,-203.351896491212,9.292,74.336,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/11-P2_B2GP-PLYP-D4.out
11-R1,B2GP-PLYP-D4,ORCA,-548.104060479202,162.009,1296.072,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/11-R1_B2GP-PLYP-D4.out
11-TS,B2GP-PLYP-D4,ORCA,-548.092041130137,139.699,1117.592,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/11-TS_B2GP-PLYP-D4.out
12-P1,B2GP-PLYP-D4,ORCA,-803.269846341202,164.333,1314.664,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/12-P1_B2GP-PLYP-D4.out
12-R1,B2GP-PLYP-D4,ORCA,-646.085374217204,40.166,321.328,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/12-R1_B2GP-PLYP-D4.out
12-R2,B2GP-PLYP-D4,ORCA,-157.125138480883,14.595,116.76,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/12-R2_B2GP-PLYP-D4.out
12-TS,B2GP-PLYP-D4,ORCA,-803.211474343511,177.694,1421.552,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/12-TS_B2GP-PLYP-D4.out
13-P1,B2GP-PLYP-D4,ORCA,-455.916369051723,233.866,935.464,estimated_from_wall_time_and_nprocs,4,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/13-P1_B2GP-PLYP-D4.out
