rxn_number,functional,program,R1_energy_kcal_mol,R2_energy_kcal_mol,TS_energy_kcal_mol,P1_energy_kcal_mol,P2_energy_kcal_mol,R1_cpu_time_s,R2_cpu_time_s,TS_cpu_time_s,P1_cpu_time_s,P2_cpu_time_s
1,B2GP-PLYP-D4,ORCA,-386832.74364861,,-386820.02013207,-386827.42787510,,3250.08000000,,3417.84000000,2991.46800000,
1,B3PW91-D4,Q-Chem,-387099.85152261,,-387091.27156909,-387099.14942075,,19911.01000000,,22149.07000000,18786.26000000,
1,B97M-V,Q-Chem,-387238.62462536,,-387231.29849870,-387238.59227888,,8309.43000000,,8700.59000000,8941.79000000,
1,M06-2X-D30,ORCA,-387057.30994081,,-387047.31224295,-387056.90931836,,2551.91200000,,3139.32800000,2640.92000000,
1,M06-D4,Q-Chem,-386917.93030377,,-386910.12785762,-386920.40269334,,35662.79000000,,28420.06000000,32050.58000000,
1,OLYP-D3BJ,Q-Chem,-387178.18152233,,-387170.31534989,-387177.58231690,,4688.55000000,,5396.98000000,4733.08000000,
1,wB97M-V,Q-Chem,-387052.60798748,,-387042.98023058,-387051.95938343,,19746.38000000,,22052.76000000,21907.57000000,
2,B2GP-PLYP-D4,ORCA,-386827.42787510,,-386825.07831085,-386844.05976122,,2991.46800000,,3639.73200000,3127.90800000,
2,B3PW91-D4,Q-Chem,-387099.14942075,,-387097.37580574,-387113.98623491,,18786.26000000,,18056.54000000,18395.40000000,
2,B97M-V,Q-Chem,-387238.59227888,,-387237.95887192,-387253.49214118,,8941.79000000,,8820.56000000,8115.94000000,
2,M06-2X-D30,ORCA,-387056.90931836,,-387053.99292407,-387070.67688086,,2640.92000000,,2575.44800000,2634.48800000,
2,M06-D4,Q-Chem,-386920.40269334,,-386916.53815952,-386932.92113368,,32050.58000000,,32825.88000000,32262.06000000,
2,OLYP-D3BJ,Q-Chem,-387177.58231690,,-387176.37361099,-387191.78379093,,4733.08000000,,4847.30000000,4210.71000000,
2,wB97M-V,Q-Chem,-387051.95938343,,-387048.63454129,-387066.44724427,,21907.57000000,,19371.57000000,19174.86000000,
3,B2GP-PLYP-D4,ORCA,-523266.22210191,,-523251.96142797,-523275.36347956,,1187.17600000,,1476.98400000,1458.87200000,
3,B3PW91-D4,Q-Chem,-523486.54345343,,-523475.54701849,-523495.66485986,,7802.56000000,,10276.13000000,10075.46000000,
3,B97M-V,Q-Chem,-523552.46424727,,-523540.79521578,-523562.04712915,,3693.67000000,,5086.79000000,5304.96000000,
3,M06-2X-D30,ORCA,-523483.21486522,,-523468.73781086,-523492.15310175,,1139.78400000,,1520.44800000,1511.78400000,
3,M06-D4,Q-Chem,-523397.69946044,,-523384.55231206,-523406.71672489,,11192.65000000,,17118.53000000,15251.10000000,
3,OLYP-D3BJ,Q-Chem,-523577.11692083,,-523568.90468336,-523585.01928853,,2108.48000000,,2743.81000000,2616.26000000,
3,wB97M-V,Q-Chem,-523501.28532641,,-523488.09181549,-523512.93009205,,8026.83000000,,11550.53000000,10713.64000000,
4,B2GP-PLYP-D4,ORCA,-523266.22210191,,-523248.14701159,-523280.48258544,,1187.17600000,,1432.02400000,1319.16800000,
4,B3PW91-D4,Q-Chem,-523486.54345343,,-523472.91340040,-523501.13151097,,7802.56000000,,9067.46000000,8141.71000000,
4,B97M-V,Q-Chem,-523552.46424727,,-523537.05889645,-523566.39428360,,3693.67000000,,4902.18000000,4624.32000000,
4,M06-2X-D30,ORCA,-523483.21486522,,-523466.15785899,-523497.51912120,,1139.78400000,,1587.43200000,1501.60800000,
4,M06-D4,Q-Chem,-523397.69946044,,-523382.27573326,-523412.32975614,,11192.65000000,,13977.88000000,15394.04000000,
4,OLYP-D3BJ,Q-Chem,-523577.11692083,,-523566.24536060,-523589.74880272,,2108.48000000,,2690.71000000,2667.58000000,
4,wB97M-V,Q-Chem,-523501.28532641,,-523485.12118470,-523517.75420763,,8026.83000000,,10753.07000000,11505.48000000,
5,B2GP-PLYP-D4,ORCA,-107144.50903030,-168860.55728334,-276013.09974255,-276033.42224927,,72.34000000,339.28800000,1112.97200000,927.31600000,
5,B3PW91-D4,Q-Chem,-107204.11197427,-168970.97037735,-276183.63786640,-276200.36361650,,390.70000000,2984.81000000,10059.09000000,9823.64000000,
5,B97M-V,Q-Chem,-107239.52120753,-169014.19020385,-276259.01297929,-276274.83140180,,396.49000000,3023.68000000,9933.72000000,9915.50000000,
5,M06-2X-D30,ORCA,-107201.86959153,-168949.51447724,-276158.76254535,-276179.39221453,,106.98400000,462.73600000,1108.77600000,1016.49600000,
5,M06-D4,Q-Chem,-107168.93740044,-168908.42818702,-276085.96322941,-276103.62609843,,399.37000000,2999.18000000,9991.82000000,9469.08000000,
5,OLYP-D3BJ,Q-Chem,-107226.63581871,-169001.31255869,-276237.46082842,-276249.62803770,,384.93000000,2879.23000000,10151.14000000,9897.98000000,
5,wB97M-V,Q-Chem,-107202.08469131,-168949.57159237,-276157.80859942,-276178.45353214,,365.09000000,3071.53000000,9934.51000000,10013.80000000,
6,B2GP-PLYP-D4,ORCA,-107144.50903030,-168860.55728334,-276008.15019030,-276048.79272990,,72.34000000,339.28800000,1100.08000000,1090.27200000,
6,B3PW91-D4,Q-Chem,-107204.11197427,-168970.97037735,-276177.87507349,-276219.23188383,,390.70000000,2984.81000000,8729.71000000,9508.75000000,
6,B97M-V,Q-Chem,-107239.52120753,-169014.19020385,-276256.14608938,-276296.75839905,,396.49000000,3023.68000000,9159.22000000,9795.87000000,
6,M06-2X-D30,ORCA,-107201.86959153,-168949.51447724,-276155.37614123,-276195.83546150,,106.98400000,462.73600000,1259.12000000,1044.67200000,
6,M06-D4,Q-Chem,-107168.93740044,-168908.42818702,-276083.08160137,-276121.48915999,,399.37000000,2999.18000000,8679.62000000,9899.08000000,
6,OLYP-D3BJ,Q-Chem,-107226.63581871,-169001.31255869,-276232.05091503,-276270.83073632,,384.93000000,2879.23000000,8548.61000000,9766.19000000,
6,wB97M-V,Q-Chem,-107202.08469131,-168949.57159237,-276153.61560679,-276196.15045283,,365.09000000,3071.53000000,8790.72000000,9689.98000000,
7,B2GP-PLYP-D4,ORCA,-386358.29479462,,-386352.11180885,-386372.07136438,,2397.92000000,,2254.76000000,2301.80000000,
7,B3PW91-D4,Q-Chem,-386602.61550824,,-386599.86343092,-386616.88011444,,14099.37000000,,16429.13000000,14401.24000000,
7,B97M-V,Q-Chem,-386708.25700083,,-386704.42937504,-386719.92596355,,6946.20000000,,7815.67000000,6348.72000000,
7,M06-2X-D30,ORCA,-386564.20112707,,-386556.45870678,-386578.01458231,,2414.02400000,,2520.75200000,2215.28000000,
7,M06-D4,Q-Chem,-386461.71488034,,-386455.30447026,-386474.25531326,,20859.69000000,,28911.17000000,23537.57000000,
7,OLYP-D3BJ,Q-Chem,-386672.00291833,,-386671.77138991,-386682.15937507,,12695.02000000,,4027.65000000,3151.46000000,
