species,functional,program,energy_hartree,calculation_time_seconds,completed,output_file
1-P1,gxtb,gxTB,-616.793726470000,0.18856494,True,calculations/gxtb/raw_outputs/1-P1/gxtb.out
1-R1,gxtb,gxTB,-616.786205410000,0.12107418,True,calculations/gxtb/raw_outputs/1-R1/gxtb.out
1-TS,gxtb,gxTB,-616.772819800000,0.15845132,True,calculations/gxtb/raw_outputs/1-TS/gxtb.out
10-P1,gxtb,gxTB,-153.168105040000,0.02457557,True,calculations/gxtb/raw_outputs/10-P1/gxtb.out
10-P2,gxtb,gxTB,-39.820703130000,0.02144434,True,calculations/gxtb/raw_outputs/10-P2/gxtb.out
10-R1,gxtb,gxTB,-193.013830880000,0.03393827,True,calculations/gxtb/raw_outputs/10-R1/gxtb.out
10-TS,gxtb,gxTB,-192.980421360000,0.03374316,True,calculations/gxtb/raw_outputs/10-TS/gxtb.out
11-P1,gxtb,gxTB,-344.912120950000,0.05796306,True,calculations/gxtb/raw_outputs/11-P1/gxtb.out
11-P2,gxtb,gxTB,-203.438814100000,0.03060655,True,calculations/gxtb/raw_outputs/11-P2/gxtb.out
11-R1,gxtb,gxTB,-548.380509340000,0.10308040,True,calculations/gxtb/raw_outputs/11-R1/gxtb.out
11-TS,gxtb,gxTB,-548.351977890000,0.08296011,True,calculations/gxtb/raw_outputs/11-TS/gxtb.out
12-P1,gxtb,gxTB,-803.594805820000,0.09998114,True,calculations/gxtb/raw_outputs/12-P1/gxtb.out
12-R1,gxtb,gxTB,-646.349765330000,0.05913830,True,calculations/gxtb/raw_outputs/12-R1/gxtb.out
12-R2,gxtb,gxTB,-157.190786390000,0.03976270,True,calculations/gxtb/raw_outputs/12-R2/gxtb.out
12-TS,gxtb,gxTB,-803.541945310000,0.10530074,True,calculations/gxtb/raw_outputs/12-TS/gxtb.out
13-P1,gxtb,gxTB,-456.132226890000,0.10039216,True,calculations/gxtb/raw_outputs/13-P1/gxtb.out
13-R2,gxtb,gxTB,-263.087765210000,0.03842697,True,calculations/gxtb/raw_outputs/13-R2/gxtb.out
13-TS,gxtb,gxTB,-456.092489690000,0.22869307,True,calculations/gxtb/raw_outputs/13-TS/gxtb.out
14-P1,gxtb,gxTB,-388.334363180000,0.09924811,True,calculations/gxtb/raw_outputs/14-P1/gxtb.out
14-R1,gxtb,gxTB,-193.005781560000,0.03525441,True,calculations/gxtb/raw_outputs/14-R1/gxtb.out
14-R2,gxtb,gxTB,-195.258536260000,0.04077196,True,calculations/gxtb/raw_outputs/14-R2/gxtb.out
14-TS,gxtb,gxTB,-388.287022480000,0.08550713,True,calculations/gxtb/raw_outputs/14-TS/gxtb.out
15-P1,gxtb,gxTB,-384.977965560000,0.06989724,True,calculations/gxtb/raw_outputs/15-P1/gxtb.out
15-R1,gxtb,gxTB,-306.406382340000,0.05081791,True,calculations/gxtb/raw_outputs/15-R1/gxtb.out
15-R2,gxtb,gxTB,-78.570722390000,0.02448848,True,calculations/gxtb/raw_outputs/15-R2/gxtb.out
15-TS,gxtb,gxTB,-384.927845310000,0.07067475,True,calculations/gxtb/raw_outputs/15-TS/gxtb.out
16-P1,gxtb,gxTB,-460.205378200000,0.07382038,True,calculations/gxtb/raw_outputs/16-P1/gxtb.out
16-R1,gxtb,gxTB,-381.632954220000,0.05846043,True,calculations/gxtb/raw_outputs/16-R1/gxtb.out
16-TS,gxtb,gxTB,-460.166087490000,0.07136610,True,calculations/gxtb/raw_outputs/16-TS/gxtb.out
17-P1,gxtb,gxTB,-647.636591400000,0.09242608,True,calculations/gxtb/raw_outputs/17-P1/gxtb.out
17-R2,gxtb,gxTB,-341.225611570000,0.03587562,True,calculations/gxtb/raw_outputs/17-R2/gxtb.out
17-TS,gxtb,gxTB,-647.611338900000,0.08958074,True,calculations/gxtb/raw_outputs/17-TS/gxtb.out
18-P1,gxtb,gxTB,-555.289689340000,0.05399801,True,calculations/gxtb/raw_outputs/18-P1/gxtb.out
18-R1,gxtb,gxTB,-398.095793140000,0.02238187,True,calculations/gxtb/raw_outputs/18-R1/gxtb.out
18-TS,gxtb,gxTB,-555.279212340000,0.05019787,True,calculations/gxtb/raw_outputs/18-TS/gxtb.out
19-P1,gxtb,gxTB,-554.060398630000,0.05024575,True,calculations/gxtb/raw_outputs/19-P1/gxtb.out
19-R2,gxtb,gxTB,-155.967092700000,0.03661584,True,calculations/gxtb/raw_outputs/19-R2/gxtb.out
19-TS,gxtb,gxTB,-554.053554090000,0.06213477,True,calculations/gxtb/raw_outputs/19-TS/gxtb.out
2-P1,gxtb,gxTB,-616.813626450000,0.18706229,True,calculations/gxtb/raw_outputs/2-P1/gxtb.out
2-TS,gxtb,gxTB,-616.786536010000,0.12568042,True,calculations/gxtb/raw_outputs/2-TS/gxtb.out
20-P1,gxtb,gxTB,-780.261565660000,0.06080583,True,calculations/gxtb/raw_outputs/20-P1/gxtb.out
20-P2,gxtb,gxTB,-231.541474400000,0.06732108,True,calculations/gxtb/raw_outputs/20-P2/gxtb.out
