rxn_number,functional,program,R1_energy_kcal_mol,R2_energy_kcal_mol,TS_energy_kcal_mol,P1_energy_kcal_mol,P2_energy_kcal_mol,R1_calculation_time_s,R2_calculation_time_s,TS_calculation_time_s,P1_calculation_time_s,P2_calculation_time_s
1,gxtb,gxTB,-387039.20336373,,-387030.80376629,-387043.92290033,,0.12107418,,0.15845132,0.18856494,
2,gxtb,gxTB,-387043.92290033,,-387039.41081837,-387056.41032683,,0.18856494,,0.12568042,0.18706229,
3,gxtb,gxTB,-523478.87800345,,-523466.46322373,-523491.10262897,,0.09411337,,0.10514130,0.10347084,
4,gxtb,gxTB,-523478.87800345,,-523467.01106462,-523495.29536507,,0.09411337,,0.11314768,0.10425434,
5,gxtb,gxTB,-107199.08176914,-168947.80310123,-276149.07799097,-276167.88416203,,0.03432369,0.04719320,0.09848524,0.07800835,
6,gxtb,gxTB,-107199.08176914,-168947.80310123,-276143.74179451,-276188.84813746,,0.03432369,0.04719320,0.11096376,0.07962479,
7,gxtb,gxTB,-386541.46090187,,-386534.34559675,-386558.05621891,,0.14069765,,0.12999096,0.17156557,
8,gxtb,gxTB,-98636.45368554,-601374.54676908,-700013.51725716,-700044.34266361,,0.03843399,0.03697079,0.06772660,0.06661688,
9,gxtb,gxTB,-385813.79962438,,-385804.04151907,-385825.65222462,,0.11945105,,0.12439679,0.12308569,
10,gxtb,gxTB,-121118.01250859,,-121097.04771740,-96114.44100960,-24987.86951075,0.03393827,,0.03374316,0.02457557,0.02144434
11,gxtb,gxTB,-344113.97922569,,-344096.07546976,-216435.63256127,-127659.78851648,0.10308040,,0.08296011,0.05796306,0.03060655
12,gxtb,gxTB,-405590.61806735,-98638.71177220,-504230.20433051,-504263.37480271,,0.05913830,0.03976270,0.10530074,0.09998114,
13,gxtb,gxTB,-121118.01250859,-165090.07200304,-286202.37015913,-286227.30562963,,0.03393827,0.03842697,0.22869307,0.10039216,
14,gxtb,gxTB,-121112.96148382,-122526.58645924,-243653.79533291,-243683.50207190,,0.03525441,0.04077196,0.08550713,0.09924811,
15,gxtb,gxTB,-192272.91577898,-49303.87472159,-241545.87974656,-241577.33067957,,0.05081791,0.02448848,0.07067475,0.06989724,
16,gxtb,gxTB,-239478.30428612,-49303.87472159,-288758.59147781,-288783.24677159,,0.05846043,0.02448848,0.07136610,0.07382038,
17,gxtb,gxTB,-192272.91577898,-214122.31290348,-406382.26746747,-406398.11365112,,0.05081791,0.03587562,0.08958074,0.09242608,
18,gxtb,gxTB,-249808.89210538,-98636.45368554,-348442.98089587,-348449.55531290,,0.02238187,0.03843399,0.05019787,0.05399801,
19,gxtb,gxTB,-249808.89210538,-97870.83235663,-347673.86870024,-347678.16371411,,0.02238187,0.03661584,0.06213477,0.05024575,
20,gxtb,gxTB,-634920.69320001,,-634910.96967048,-489621.54493652,-145294.47483001,0.13360612,,0.12600228,0.06080583,0.06732108
21,gxtb,gxTB,-573901.82768418,,-573894.45434088,-573910.59031469,,0.12341736,,0.10802969,0.11761069,
22,gxtb,gxTB,-373487.44336744,,-373477.01316181,-373500.05610132,,0.11713134,,0.11523268,0.10931494,
23,gxtb,gxTB,-195113.32436558,,-195106.92610929,-195115.94463818,,0.06055972,,0.06079537,0.06589439,
24,gxtb,gxTB,-290778.19697452,,-290778.85802440,-290784.30310631,,0.12004927,,0.11503035,0.08975640,
25,gxtb,gxTB,-241448.55983158,-25410.31703868,-266847.77138911,-241870.19300905,-24987.86951075,0.06427856,0.02250862,0.11879797,0.11988999,0.02144434
26,gxtb,gxTB,-241448.55983158,-72618.34844012,-314064.64493907,-241870.19300905,-72194.35183597,0.06427856,0.02521597,0.11077487,0.11988999,0.02573599
27,gxtb,gxTB,-344216.67734261,-47965.07395385,-392178.20077868,-47531.67811708,-344642.59437056,0.02719142,0.02106399,0.03425337,0.02313659,0.02743830
28,gxtb,gxTB,-25410.31703868,-344216.67734261,-369627.30792896,-344642.59437056,-24987.86951075,0.02250862,0.02719142,0.03889106,0.02743830,0.02144434
29,gxtb,gxTB,-99404.41392432,-344216.67734261,-443625.83367625,-98989.26878093,-344642.59437056,0.04019691,0.02719142,0.07156556,0.04982942,0.02743830
30,gxtb,gxTB,-73970.92186167,-344216.67734261,-418192.69823352,-73565.75341024,-344642.59437056,0.02919456,0.02719142,0.05388109,0.03089807,0.02743830
31,gxtb,gxTB,-473218.59852030,,-473212.70478165,-473225.22673999,,0.12750134,,0.11810212,0.12242026,
32,gxtb,gxTB,-352890.75547460,,-352884.49905428,-352894.10163763,,0.06301508,,0.06820387,0.06972886,
33,gxtb,gxTB,-426119.76135844,,-426111.51530631,-426120.74297783,,0.09830844,,0.09934624,0.09399894,
34,gxtb,gxTB,-715291.10092473,,-715284.25839172,-715292.86206779,,0.11520127,,0.11512198,0.11001707,
35,gxtb,gxTB,-2041733.53476216,,-2041725.44688634,-2041734.76102240,,0.11127707,,0.11403703,0.10573710,
36,gxtb,gxTB,-674504.91328627,,-674498.41847510,-674511.93512385,,0.09712158,,0.10642369,0.13167863,
37,gxtb,gxTB,-471840.92852773,,-471832.50790245,-471846.85508513,,0.10031715,,0.09934021,0.10004185,
38,gxtb,gxTB,-507302.71404763,,-507294.08758041,-218558.98244660,-288733.35837955,0.11115699,,0.13349422,0.07079844,0.02200430
39,gxtb,gxTB,-1833747.02644143,,-1833746.08115484,-218558.98244660,-1615191.82785202,0.10500848,,0.10382991,0.07079844,0.02373989
40,gxtb,gxTB,-579172.01010167,,-579163.44073781,-290425.00576876,-288733.35837955,0.12303690,,0.10251899,0.15018283,0.02200430
41,gxtb,gxTB,-805008.49366330,,-805001.92446715,-516260.57085101,-288733.35837955,0.13567453,,0.14794462,0.11101635,0.02200430
42,gxtb,gxTB,-270314.37288548,-49303.87472159,-319611.91839565,-319638.61511589,,0.05393439,0.02448848,0.08577469,0.06991128,
43,gxtb,gxTB,-191181.94318019,,-191173.83398160,-191200.04078007,,0.05612731,,0.05662567,0.05469753,
44,gxtb,gxTB,-191200.04078007,,-191199.71057202,-68727.67947496,-122484.99418205,0.05469753,,0.05391178,0.02274152,0.04491060
45,gxtb,gxTB,-265181.34971237,,-265171.17180321,-265191.39719996,,0.08212436,,0.09307048,0.09328575,
46,gxtb,gxTB,-265191.39719996,,-265191.70028704,-196487.64560978,-68727.67947496,0.09328575,,0.08634283,0.10426841,0.02274152
47,gxtb,gxTB,-262959.69623446,,-262949.50919504,-194230.47958086,-68727.67947496,0.08791574,,0.09453959,0.10005916,0.02274152
48,gxtb,gxTB,-665789.97482926,,-665789.25634344,-597084.88761649,-68727.67947496,0.18833491,,0.19433140,0.15637269,0.02274152
49,gxtb,gxTB,-368176.54428696,,-368168.88704581,-299484.17267569,-68727.67947496,0.09756638,,0.09524465,0.07659401,0.02274152
50,gxtb,gxTB,-404748.79655303,-261020.11671680,-665766.39116483,-665789.97482926,,0.08400901,0.05431917,0.20325505,0.18833491,
