species,functional,program,energy_hartree,wall_time_seconds,gpu_time_seconds,cpu_time_seconds,cpu_time_source,nprocs,completed,output_file
1-P1,aimnet2-nse,ASE,-617.219569179699,,0.00450748,,,,True,structures/reference/1-P1.xyz
1-R1,aimnet2-nse,ASE,-617.223744768767,,0.00348474,,,,True,structures/reference/1-R1.xyz
1-TS,aimnet2-nse,ASE,-617.196326354124,,0.00335264,,,,True,structures/reference/1-TS.xyz
10-P1,aimnet2-nse,ASE,-153.279249223098,,0.11027549,,,,True,structures/reference/10-P1.xyz
10-P2,aimnet2-nse,ASE,-39.857696414616,,0.00406610,,,,True,structures/reference/10-P2.xyz
10-R1,aimnet2-nse,ASE,-193.148651625483,,0.00386710,,,,True,structures/reference/10-R1.xyz
10-TS,aimnet2-nse,ASE,-193.117219197173,,0.00359197,,,,True,structures/reference/10-TS.xyz
11-P1,aimnet2-nse,ASE,-345.157994490910,,0.00352990,,,,True,structures/reference/11-P1.xyz
11-P2,aimnet2-nse,ASE,-203.571973673372,,0.00325782,,,,True,structures/reference/11-P2.xyz
11-R1,aimnet2-nse,ASE,-548.732285485490,,0.00341729,,,,True,structures/reference/11-R1.xyz
11-TS,aimnet2-nse,ASE,-548.710967731400,,0.00332134,,,,True,structures/reference/11-TS.xyz
12-P1,aimnet2-nse,ASE,-803.968067533056,,0.00339711,,,,True,structures/reference/12-P1.xyz
12-R1,aimnet2-nse,ASE,-646.588147259365,,0.00338359,,,,True,structures/reference/12-R1.xyz
12-R2,aimnet2-nse,ASE,-157.326325930535,,0.00326478,,,,True,structures/reference/12-R2.xyz
12-TS,aimnet2-nse,ASE,-803.904139267410,,0.00337311,,,,True,structures/reference/12-TS.xyz
13-P1,aimnet2-nse,ASE,-456.441779607101,,0.00370209,,,,True,structures/reference/13-P1.xyz
13-R2,aimnet2-nse,ASE,-263.254061939492,,0.00392046,,,,True,structures/reference/13-R2.xyz
13-TS,aimnet2-nse,ASE,-456.403568584723,,0.00335843,,,,True,structures/reference/13-TS.xyz
14-P1,aimnet2-nse,ASE,-388.633992270504,,0.00342267,,,,True,structures/reference/14-P1.xyz
14-R1,aimnet2-nse,ASE,-193.145219303344,,0.00329499,,,,True,structures/reference/14-R1.xyz
14-R2,aimnet2-nse,ASE,-195.418884145687,,0.00331682,,,,True,structures/reference/14-R2.xyz
14-TS,aimnet2-nse,ASE,-388.559636895598,,0.00331282,,,,True,structures/reference/14-TS.xyz
15-P1,aimnet2-nse,ASE,-385.242919727104,,0.00331257,,,,True,structures/reference/15-P1.xyz
15-R1,aimnet2-nse,ASE,-306.588583637853,,0.00327848,,,,True,structures/reference/15-R1.xyz
15-R2,aimnet2-nse,ASE,-78.637526821099,,0.00329745,,,,True,structures/reference/15-R2.xyz
15-TS,aimnet2-nse,ASE,-385.183889809521,,0.00330374,,,,True,structures/reference/15-TS.xyz
16-P1,aimnet2-nse,ASE,-460.503974839734,,0.00330246,,,,True,structures/reference/16-P1.xyz
16-R1,aimnet2-nse,ASE,-381.853357798642,,0.00328162,,,,True,structures/reference/16-R1.xyz
16-TS,aimnet2-nse,ASE,-460.458733512296,,0.00327676,,,,True,structures/reference/16-TS.xyz
17-P1,aimnet2-nse,ASE,-648.021920865787,,0.00336255,,,,True,structures/reference/17-P1.xyz
17-R2,aimnet2-nse,ASE,-341.407730137618,,0.00325058,,,,True,structures/reference/17-R2.xyz
17-TS,aimnet2-nse,ASE,-647.976189697695,,0.00327915,,,,True,structures/reference/17-TS.xyz
18-P1,aimnet2-nse,ASE,-555.495325912216,,0.00324752,,,,True,structures/reference/18-P1.xyz
18-R1,aimnet2-nse,ASE,-398.177440796408,,0.08752440,,,,True,structures/reference/18-R1.xyz
18-TS,aimnet2-nse,ASE,-555.488050451813,,0.00436636,,,,True,structures/reference/18-TS.xyz
19-P1,aimnet2-nse,ASE,-554.254130892331,,0.00380305,,,,True,structures/reference/19-P1.xyz
19-R2,aimnet2-nse,ASE,-156.093395589995,,0.00330045,,,,True,structures/reference/19-R2.xyz
19-TS,aimnet2-nse,ASE,-554.247254081452,,0.00326819,,,,True,structures/reference/19-TS.xyz
2-P1,aimnet2-nse,ASE,-617.253828012877,,0.00332701,,,,True,structures/reference/2-P1.xyz
2-TS,aimnet2-nse,ASE,-617.210939487832,,0.00330432,,,,True,structures/reference/2-TS.xyz
20-P1,aimnet2-nse,ASE,-780.558202431013,,0.00337781,,,,True,structures/reference/20-P1.xyz
20-P2,aimnet2-nse,ASE,-231.718219267782,,0.00327517,,,,True,structures/reference/20-P2.xyz
20-R1,aimnet2-nse,ASE,-1012.268757416538,,0.00336798,,,,True,structures/reference/20-R1.xyz
20-TS,aimnet2-nse,ASE,-1012.244584272251,,0.00330466,,,,True,structures/reference/20-TS.xyz
21-P1,aimnet2-nse,ASE,-914.996645298904,,0.00340093,,,,True,structures/reference/21-P1.xyz
21-R1,aimnet2-nse,ASE,-914.978439998506,,0.00328966,,,,True,structures/reference/21-R1.xyz
21-TS,aimnet2-nse,ASE,-914.963711269810,,0.00329389,,,,True,structures/reference/21-TS.xyz
22-P1,aimnet2-nse,ASE,-595.630085405129,,0.00329261,,,,True,structures/reference/22-P1.xyz
22-R1,aimnet2-nse,ASE,-595.607804430092,,0.00328919,,,,True,structures/reference/22-R1.xyz
22-TS,aimnet2-nse,ASE,-595.566288027913,,0.00328842,,,,True,structures/reference/22-TS.xyz
