rxn_number,functional,program,R1_energy_kcal_mol,R2_energy_kcal_mol,TS_energy_kcal_mol,P1_energy_kcal_mol,P2_energy_kcal_mol,R1_gpu_time_s,R2_gpu_time_s,TS_gpu_time_s,P1_gpu_time_s,P2_gpu_time_s
1,MACE-OMOL,ASE,-387034.07910963,,-387024.21104578,-387036.79877641,,0.43358249,,0.31249228,0.35547172,
1,aimnet2-nse,ASE,-387313.76346798,,-387296.55815231,-387311.14324617,,0.00348474,,0.00335264,0.00450748,
1,allscaip-md-conserving-all-omol,ASE,-387035.46456673,,-387027.27602070,-387037.76204243,,0.05935305,,0.05885653,0.05570123,
1,allscaip-md-direct-all-omol,ASE,-387038.41782393,,-387029.17447445,-387037.88144662,,0.02037696,,0.02532201,0.02047630,
1,esen-md-direct-all-omol,ASE,-387038.12433647,,-387027.96308411,-387037.95003514,,0.02623922,,0.02606100,0.02621213,
1,esen-sm-conserving-all-omol,ASE,-387034.61057430,,-387025.43269303,-387036.94420245,,0.03629195,,0.03751369,0.04336151,
1,esen-sm-direct-all-omol,ASE,-387032.31123020,,-387025.69934184,-387035.62465115,,0.01338690,,0.01303364,0.01392626,
1,orbmol_v1_conservative,ASE,-387035.60405942,,-387025.22009273,-387038.22879359,,0.01235696,,0.06087796,0.01439037,
1,orbmol_v1_direct,ASE,-387034.81399073,,-387023.83207034,-387037.68584966,,0.00931140,,0.05945404,0.15319107,
1,orbmol_v2,ASE,-387037.35979445,,-387030.44328583,-387038.63496027,,0.01549673,,0.01498217,0.01844292,
1,polar-1-l,ASE,-387036.77000126,,-387024.89781115,-387036.42068330,,0.59129105,,0.42349104,0.49959145,
1,polar-1-m,ASE,-387034.29035740,,-387022.61750993,-387035.64672315,,0.42402861,,0.31673289,0.36893323,
1,polar-1-s,ASE,-387029.21015959,,-387022.44945032,-387032.66537070,,0.37909042,,0.28587895,0.28701622,
1,uma-m-1p1,ASE,-387037.99298296,,-387028.84215805,-387038.03838427,,0.10944411,,0.10864425,0.10653535,
1,uma-s-1p1,ASE,-387034.89598620,,-387025.68205596,-387037.48609066,,0.04481655,,0.04848411,0.04741826,
1,uma-s-1p2,ASE,-387036.16043956,,-387026.36456398,-387036.14052859,,0.05034047,,0.04752313,0.05825260,
2,MACE-OMOL,ASE,-387036.79877641,,-387032.21732983,-387051.24513919,,0.35547172,,0.10497401,0.10502351,
2,aimnet2-nse,ASE,-387311.14324617,,-387305.72803254,-387332.64098945,,0.00450748,,0.00330432,0.00332701,
2,allscaip-md-conserving-all-omol,ASE,-387037.76204243,,-387034.49152499,-387052.57406406,,0.05570123,,0.05839878,0.06350159,
2,allscaip-md-direct-all-omol,ASE,-387037.88144662,,-387036.07932718,-387052.15034757,,0.02047630,,0.01909354,0.02151907,
2,esen-md-direct-all-omol,ASE,-387037.95003514,,-387035.12216157,-387052.33099042,,0.02621213,,0.02590663,0.02589602,
2,esen-sm-conserving-all-omol,ASE,-387036.94420245,,-387033.25715451,-387052.05670372,,0.04336151,,0.03482735,0.03562758,
2,esen-sm-direct-all-omol,ASE,-387035.62465115,,-387031.12305225,-387050.97975997,,0.01392626,,0.01274622,0.01278858,
2,orbmol_v1_conservative,ASE,-387038.22879359,,-387034.62214380,-387051.86921367,,0.01439037,,0.01274330,0.01213157,
2,orbmol_v1_direct,ASE,-387037.68584966,,-387035.48335782,-387052.72200186,,0.15319107,,0.00859668,0.00856100,
2,orbmol_v2,ASE,-387038.63496027,,-387034.87975556,-387052.30410223,,0.01844292,,0.01321455,0.01386084,
2,polar-1-l,ASE,-387036.42068330,,-387033.17944566,-387050.37903511,,0.49959145,,0.20791175,0.20942525,
2,polar-1-m,ASE,-387035.64672315,,-387030.68035133,-387050.17940629,,0.36893323,,0.09811632,0.09836402,
2,polar-1-s,ASE,-387032.66537070,,-387028.67038736,-387045.16102841,,0.28701622,,0.04606347,0.04782485,
2,uma-m-1p1,ASE,-387038.03838427,,-387035.09714661,-387052.24289219,,0.10653535,,0.09741990,0.10065807,
2,uma-s-1p1,ASE,-387037.48609066,,-387033.33713988,-387052.15824968,,0.04741826,,0.04776075,0.04425872,
2,uma-s-1p2,ASE,-387036.14052859,,-387032.63651883,-387051.96023280,,0.05825260,,0.04992071,0.05632692,
3,MACE-OMOL,ASE,-523483.25631619,,-523470.24262540,-523500.78389573,,0.07240981,,0.07603757,0.07536156,
3,aimnet2-nse,ASE,-523759.69756150,,-523737.87051979,-523774.19044094,,0.00331129,,0.00330126,0.00340110,
3,allscaip-md-conserving-all-omol,ASE,-523487.30972434,,-523475.34767605,-523500.97976799,,0.05883113,,0.05768927,0.05865269,
3,allscaip-md-direct-all-omol,ASE,-523487.89773121,,-523475.52641808,-523500.67703363,,0.01900723,,0.01887207,0.02131640,
3,esen-md-direct-all-omol,ASE,-523488.70788804,,-523474.82384802,-523500.87527081,,0.02601191,,0.02623255,0.02600433,
3,esen-sm-conserving-all-omol,ASE,-523485.97760770,,-523473.18363826,-523500.58247832,,0.03587282,,0.03575083,0.03580042,
3,esen-sm-direct-all-omol,ASE,-523488.09404380,,-523472.10910367,-523501.41858201,,0.01315800,,0.01342240,0.01305350,
3,orbmol_v1_conservative,ASE,-523488.53317612,,-523471.55297400,-523500.61729792,,0.01284752,,0.01352042,0.01307795,
3,orbmol_v1_direct,ASE,-523484.67106166,,-523470.40971763,-523500.41668871,,0.00761076,,0.00763730,0.00761899,
3,orbmol_v2,ASE,-523489.07609338,,-523474.73954151,-523500.48346406,,0.01356952,,0.01377865,0.01365438,
3,polar-1-l,ASE,-523486.19067133,,-523471.47074603,-523499.19532750,,0.17057162,,0.17206257,0.17203756,
3,polar-1-m,ASE,-523485.41963848,,-523467.66477554,-523497.40105413,,0.08360738,,0.08329225,0.08665655,
3,polar-1-s,ASE,-523472.03310867,,-523455.84928370,-523495.41362935,,0.04164674,,0.04135048,0.04155097,
3,uma-m-1p1,ASE,-523487.91589520,,-523476.16159012,-523500.79662081,,0.10349796,,0.10554694,0.10319994,
3,uma-s-1p1,ASE,-523483.68320741,,-523473.93636847,-523500.33443202,,0.04455346,,0.04382509,0.04356773,
3,uma-s-1p2,ASE,-523488.11264285,,-523473.80247411,-523500.43589894,,0.04337072,,0.04462373,0.04373757,
4,MACE-OMOL,ASE,-523483.25631619,,-523467.86392947,-523504.63022802,,0.07240981,,0.07609473,0.07597439,
4,aimnet2-nse,ASE,-523759.69756150,,-523740.37662608,-523775.21249152,,0.00331129,,0.00331624,0.00330581,
4,allscaip-md-conserving-all-omol,ASE,-523487.30972434,,-523472.24387638,-523505.53914142,,0.05883113,,0.05914591,0.05945954,
4,allscaip-md-direct-all-omol,ASE,-523487.89773121,,-523472.39767920,-523505.91441173,,0.01900723,,0.01889421,0.01890883,
4,esen-md-direct-all-omol,ASE,-523488.70788804,,-523472.98595598,-523505.04330477,,0.02601191,,0.02600282,0.02630766,
4,esen-sm-conserving-all-omol,ASE,-523485.97760770,,-523471.12306196,-523504.79320230,,0.03587282,,0.03585708,0.03722313,
4,esen-sm-direct-all-omol,ASE,-523488.09404380,,-523468.59546589,-523505.93278658,,0.01315800,,0.01256429,0.01284632,
4,orbmol_v1_conservative,ASE,-523488.53317612,,-523469.16721040,-523504.38346026,,0.01284752,,0.01325715,0.01349480,
4,orbmol_v1_direct,ASE,-523484.67106166,,-523468.79244933,-523505.07210235,,0.00761076,,0.00860536,0.00904790,
