rxn_number,funvctional,r1,r2,ts,p1,p2,thermo,forward_kinetic,reverse_kinetic
1,Reference,-615.909006,0,-615.8942436,-615.9061671,0,1.781424749,9.263532545,7.482104957
2,Reference,-615.9061671,0,-615.9024964,-615.9322019,0,-16.33705422,2.3033829,18.64046316
3,Reference,-833.3322737,0,-833.3128392,-833.3523522,0,-12.59943859,12.1952951,24.79475377
4,Reference,-833.3322737,0,-833.3061676,-833.3596947,0,-17.20695792,16.38184196,33.58882731
5,Reference,-170.6081426,-268.8896164,-439.5092972,-439.5422128,0,-27.8951948,-7.240341149,20.65489811
6,Reference,-170.6081426,-268.8896164,-439.5017334,-439.5683362,0,-44.28782078,-2.494020152,41.7938712
7,Reference,-615.2185463,0,-615.2082329,-615.2461131,0,-17.29839366,6.471774495,23.77019572
8,Reference,-156.9981848,-957.456765,-1114.455657,-1114.510231,0,-34.689376,-0.443726769,34.24570451
9,Reference,-614.038181,0,-614.0236409,-614.0550225,0,-10.56816073,9.124058354,19.69223593
10,Reference,-192.7978996,0,-192.7718836,-153.0074443,-39.7794515,6.904956338,16.32527518,9.420307842
11,Reference,-547.6709516,0,-547.6538621,-344.4647084,-203.2019152,2.715866702,10.72382225,8.007951215
12,Reference,-645.598216,-157.0017806,-802.6007341,-802.6582523,0,-36.55596898,-0.462738349,36.09328889
13,Reference,-192.7978996,-262.7330631,-455.5149338,-455.5660852,0,-22.03969206,10.05828918,32.09801636
14,Reference,-192.7912869,-195.0095383,-387.8272558,-387.8761484,0,-47.26601405,-16.58549018,30.68059919
15,Reference,-306.041369,-78.47558637,-384.4846112,-384.535682,0,-11.75110654,20.29632703,32.0474523
16,Reference,-381.1976062,-78.47558637,-459.6467706,-459.6884708,0,-9.587250187,16.58002536,26.16729082
17,Reference,-340.8340895,-306.041369,-646.8599935,-646.9032872,0,-17.46272979,9.704420265,27.16717789
18,Reference,-156.9981848,-397.6785062,-554.6754678,-554.6871965,0,-6.592313912,0.7675231,7.359847518
19,Reference,-155.7671773,-397.6785062,-553.438595,-553.4462171,0,-0.334905537,4.448089791,4.782995862
20,Reference,-1010.58419,0,-1010.567076,-231.2183894,-779.3620978,2.323780372,10.73938745,8.415603374
21,Reference,-913.4697134,0,-913.457916,-913.4827022,0,-8.150574847,7.40297583,15.55356367
22,Reference,-594.473085,0,-594.4581496,-594.4921939,0,-11.99106066,9.372114069,21.36319384
23,Reference,-310.5726257,0,-310.5582001,-310.5803394,0,-4.840390318,9.052217354,13.89261539
24,Reference,-462.7840988,0,-462.7769417,-462.8008472,0,-10.50979169,4.491124404,15.00093284
25,Reference,-384.2662899,-40.45898358,-424.7047243,-384.9495196,-39.7794515,-2.320324633,12.8947845,15.21511283
26,Reference,-384.2662899,-115.6120986,-499.853525,-384.9495196,-114.9308233,-1.226500328,15.60207321,16.82857549
27,Reference,-547.9762072,-76.37679382,-624.3323373,-548.6684131,-75.67581408,5.505646127,12.96668081,7.461025914
28,Reference,-40.45898358,-547.9762072,-588.423394,-548.6684131,-39.7794515,-7.95295089,7.402599935,15.3555635
29,Reference,-158.2332219,-547.9762072,-706.2049073,-548.6684131,-157.5658877,-15.60721093,2.837455637,18.44469144
30,Reference,-117.7380734,-547.9762072,-665.707253,-548.6684131,-117.0870702,-25.8550883,4.409835733,30.26496523
31,Reference,-753.1213727,0,-753.1124781,-753.148723,0,-17.16257659,5.581463897,22.74406784
32,Reference,-561.652972,0,-561.6424735,-561.674705,0,-13.63762243,6.587941287,20.22558545
33,Reference,-678.194936,0,-678.1822395,-678.2139808,0,-11.95080421,7.967155552,19.9179788
34,Reference,-1138.608218,0,-1138.596462,-1138.628545,0,-12.75544212,7.376563499,20.13202595
35,Reference,-3252.115405,0,-3252.103792,-3252.135722,0,-12.7493342,7.287232645,20.03658717
36,Reference,-1073.578691,0,-1073.569059,-1073.607935,0,-18.35055037,6.04442954,24.39500915
37,Reference,-750.9551358,0,-750.9423465,-750.9800242,0,-15.61770673,8.025438362,23.64316998
38,Reference,-807.5435198,0,-807.5284216,-459.7106507,-347.8167989,10.08422346,9.474312635,-0.609926899
39,Reference,-2921.053096,0,-2921.047069,-2573.234396,-347.8167989,1.193267253,3.781881688,2.588612533
40,Reference,-921.9531805,0,-921.9383781,-459.7106507,-462.2205995,13.761469,9.28861903,-4.472871896
41,Reference,-1281.42902,0,-1281.418228,-459.7106507,-821.6954622,14.37418149,6.771789006,-7.602415389
42,Reference,-430.2665482,-78.47558637,-508.7275,-508.7736129,0,-19.75293292,9.183361929,28.93632632
43,Reference,-304.3025092,0,-304.2905239,-304.3363363,0,-21.22682342,7.520909309,28.74776656
44,Reference,-304.3363363,0,-304.3336087,-109.4211586,-194.9423133,-17.02782678,1.711605447,18.73945936
45,Reference,-422.0867381,0,-422.0683913,-422.1063057,0,-12.27883239,11.51278688,23.79163884
46,Reference,-422.1063057,0,-422.1057192,-109.4211586,-312.7329954,-30.025266,0.367999708,30.39331356
47,Reference,-418.511021,0,-418.4926184,-109.4211586,-309.0960527,-3.884468286,11.54783907,15.43231355
48,Reference,-1059.820401,0,-1059.818205,-109.4211586,-950.4437907,-27.95446284,1.377852347,29.33235973
49,Reference,-586.0215272,0,-586.0123327,-109.4211586,-476.6852608,-53.27066903,5.769589813,59.04034374
50,Reference,-644.2852268,-415.4895994,-1059.773986,-1059.820401,0,-28.59864169,0.527432659,29.12611992
